Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Amygdala,0.25196404143052575,-0.006247743613015644,0.12963507145111614,0.059942830213541444,0.12232896997940962
Caudate,-0.12317764315028336,-0.0014959970571519308,-0.03934436934730793,0.02761645708496265,-0.08383327380297542
Hippocampus,0.28354504592534685,-0.001250337195785987,0.15120645182355438,-0.001236300720390656,0.13233859410179247
Pallidum,0.041919093218682826,-0.0025339027969986166,0.27869744560899423,0.011133961972086808,-0.23677835239031142
Thalamus,0.13261676763728747,-0.00612151523117493,0.17003515416680273,-0.00832150305597566,-0.03741838652951526
caudalanteriorcingulate,0.15477819034590581,-0.01130417363643547,-0.14032802640397576,-0.008522090684683223,0.2951062167498816
caudalmiddlefrontal,0.7256986515536448,-0.013566350299115626,0.0683493721468405,-0.029035978905873103,0.6573492794068043
cuneus,0.820500293140512,-8.11737854634757e-05,0.5341689250225835,0.036130534225247,0.2863313681179285
entorhinal,0.5569669728356459,-0.004560017804581804,0.11786202853234316,-0.09194028924452238,0.4391049443033027
fusiform,0.4837209302325581,-0.014303130091953315,0.021457885479773307,-0.056528074720158715,0.4622630447527848
inferiorparietal,0.8181356263435606,-0.012370246768662756,0.2803297199638663,-0.013571588843194975,0.5378059063796943
inferiortemporal,0.500547195622435,-0.015833626424361102,0.14725425053742427,-0.045378482335227004,0.35329294508501075
insula,0.41854602306038696,0.00021882948717145625,0.3575167880192858,-0.0011744684992341609,0.06102923504110114
isthmuscingulate,0.24143052569865153,-0.0036552067022762474,0.22103590513816784,0.026054441212470927,0.02039462056048369
lateraloccipital,0.6549931600547196,-0.005460182476028368,0.19757011238230235,-0.006098658447922526,0.45742304767241726
lateralorbitofrontal,0.4913621262458472,-0.004798779928222998,-0.028438959088386066,-0.006598505585232856,0.5198010853342333
lingual,0.6883720930232559,-0.003324692354229782,0.2758934899260909,0.02670004780797512,0.41247860309716494
medialorbitofrontal,0.48463943717021696,0.0003903049032509565,0.05281831934785212,0.025864917252920866,0.4318211178223648
middletemporal,0.7684189955051789,-0.018750216656446304,0.2810570011136985,-0.05355458836424866,0.48736199439148037
paracentral,0.568673050615595,9.325800534584532e-05,0.2640524032929096,-0.00973868205440656,0.30462064732268546
parahippocampal,0.379343365253078,-0.0013712649484550529,0.12993941762751612,-0.08612203492148393,0.24940394762556187
parsopercularis,0.7373851866327926,-0.01109140459023742,0.12123769338959214,-0.020383559676096445,0.6161474932432005
parsorbitalis,0.6093414109829979,-0.002847738304200508,0.0014679313459801263,-0.031063763543124314,0.6078734796370178
parstriangularis,0.6782098886066054,-0.0025525388038938183,0.08579515820094699,-0.06277300768190999,0.5924147304056584
pericalcarine,0.35155364471369943,-0.008740005562266843,0.16797651309846431,-0.0006996645133805647,0.18357713161523512
postcentral,0.8112761383623217,-0.010924077679966327,0.1827687443541102,-0.05807197710250063,0.6285073940082115
posteriorcingulate,0.25352745749462574,-0.00791251135413982,0.26270691333982477,-0.014608850536151146,-0.009179455845199025
precentral,0.8198162986124683,-0.014223346638926703,0.046657633242999104,-0.012817629261662387,0.7731586653694692
precuneus,0.6724252491694352,-0.0018739035139206089,0.46113369467028,0.01017095568782966,0.21129155449915527
rostralanteriorcingulate,-0.02716435411373852,-0.005576355292931435,0.004103133400811919,-0.011911383556863437,-0.03126748751455044
rostralmiddlefrontal,0.6000586281024037,-0.012017398212438093,-0.10552580331061344,-0.10862516932077253,0.7055844314130172
superiorfrontal,0.4116669923783467,-0.003971086114296839,0.03473371010505961,-0.0015648767154263139,0.3769332822732871
superiorparietal,0.6804377564979481,-0.013480593901241622,0.1026290165530672,-0.02340662124767301,0.5778087399448809
superiortemporal,0.8286495993746336,-0.010823934854358655,0.3727852586817859,-0.04305258559903617,0.45586434069284765
supramarginal,0.8378346687512214,-0.014762311090899944,0.3832204155374887,-0.05454322669438268,0.45461425321373267
transversetemporal,0.5142075434825093,-0.019151155164035975,0.2955888595030529,-0.06911762207234774,0.21861868397945639
