Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Accumbens,0.43347664647254247,0.0015360276896220365,0.1675982020715263,0.028666538121120976,0.26587844440101616
Amygdala,0.3768614422513191,-0.012708312950103046,0.07291381668946649,-0.016167858546272208,0.3039476255618526
AngularGyrus,0.6020910689857338,-0.005801095023931224,0.4767441860465116,-0.0157020516667199,0.12534688293922225
Brain-Stem,0.3473519640414305,-0.0025357154509946882,-0.06898573382841508,0.010296450934068387,0.41633769786984554
Caudate,0.5787766269298417,0.018868196439681992,0.3043384795778777,0.016697458665463693,0.274438147351964
CentralOpercularCortex,0.4398866523353528,-0.0027209962336746463,0.3032050029314051,-0.017842059704938594,0.13668164940394767
CingulateGyrusanteriordivision,0.21401211647449678,-0.0014299100922501218,0.05059605237443815,0.017041768263419035,0.16341606410005863
CingulateGyrusposteriordivision,0.29255423099472344,-0.0019608719810036016,0.11772522962673442,-0.009795676524199149,0.174829001367989
CunealCortex,0.5180769982411569,0.005509282741865736,0.20386945475864765,0.018241357218679356,0.3142075434825093
FrontalMedialCortex,-0.04178229431307407,0.0021168391048509956,0.11524330662497556,0.011003046519782244,-0.15702560093804963
FrontalOperculumCortex,0.45772913816689464,-0.00021777792977046496,0.26785225718194255,-0.018546604020106466,0.1898768809849521
FrontalOrbitalCortex,0.44330662497557166,-0.005268742616568282,-0.02835645886261481,-0.017892152263560186,0.47166308383818645
FrontalPole,0.3695133867500488,-0.004849041902616145,0.09474301348446354,0.020889812815337538,0.2747703732655853
HeschlsGyrus,0.4103380887238616,-0.008584174702169272,0.3574359976548759,-0.015708345293882417,0.052902091068985746
Hippocampus,0.4304279851475475,0.001177654838552212,0.10609732264999024,0.0027877457627090278,0.32433066249755726
InferiorFrontalGyrusparsopercularis,0.4977330467070549,-0.008845719481533272,0.24875903849912057,-0.0328328878508458,0.24897400820793436
InferiorFrontalGyrusparstriangularis,0.5313855774868086,-0.010845315996919982,0.29706859487981235,-0.009814369999977864,0.23431698260699624
InferiorTemporalGyrusanteriordivision,0.4343169826069963,-0.015105444103004347,0.14285714285714285,0.009052473500153011,0.29145983974985346
InferiorTemporalGyrusposteriordivision,0.33505960523744377,-0.00816530290549063,0.20535470001954267,-0.037321928901533824,0.1297049052179011
InferiorTemporalGyrustemporooccipitalpart,0.5448895837404729,-0.010045398378013487,0.14608168848934922,-0.030249194516398268,0.3988078952511237
InsularCortex,0.3497752589407856,-0.00350073257483585,0.3334961891733438,-0.010563485233560755,0.01627906976744181
IntracalcarineCortex,0.654641391440297,0.00023737793216499018,0.5645886261481337,-0.002162912806479776,0.09005276529216333
JuxtapositionalLobuleCortex,0.3076998241156928,-0.003894454047762407,0.037912839554426425,0.006039877497312868,0.2697869845612664
LateralOccipitalCortexinferiordivision,0.5465897987101818,-0.011964889339749284,0.11084619894469416,-0.01617219758858154,0.4357435997654876
LateralOccipitalCortexsuperiordivision,0.49683408247019734,-0.0045399031315579335,0.3849130349814344,-0.016097743407234834,0.11192104748876291
LingualGyrus,0.660015634160641,-0.004352452044649747,0.36388508891928867,-0.007062296776680345,0.29613054524135235
MiddleFrontalGyrus,0.512702755520813,-0.005175619667926144,0.26849716630838383,-0.022911549008148385,0.24420558921242919
MiddleTemporalGyrusanteriordivision,0.43674027750635136,-0.009353440906232139,0.3629274965800273,-0.03268651763521749,0.07381278092632404
MiddleTemporalGyrusposteriordivision,0.4548172757475083,-0.012146018476508131,0.3341801837013875,-0.015251973022589505,0.12063709204612078
MiddleTemporalGyrustemporooccipitalpart,0.4421340629274966,-0.007017718011381751,0.33234316982607,-0.027208504285484485,0.10979089310142659
OccipitalFusiformGyrus,0.5708032050029315,-0.007211334361732051,0.08383818643736565,-0.04236504496139777,0.48696501856556584
OccipitalPole,0.711842876685558,-0.0012301954819224053,-0.10160250146570256,-0.018847615274493988,0.8134453781512606
Pallidum,0.24363885088919288,-0.023543008451963002,0.3089310142661716,-0.03897713326525591,-0.06529216337697871
ParacingulateGyrus,0.3531756888802033,-0.0047325334904952734,-0.0773500097713504,0.01057005836931469,0.43052569865155366
ParahippocampalGyrusanteriordivision,0.421360171975767,0.0023714162932503137,0.07863982802423296,-0.015772804882530567,0.342720343951534
ParahippocampalGyrusposteriordivision,0.2630447527848349,-0.0063697201508350915,0.23865546218487396,0.0016703860013292542,0.02438929059996095
ParietalOperculumCortex,0.4184287668555795,-0.0014514826391429766,0.3495798319327731,-0.02697592859728551,0.06884893492280642
PlanumPolare,0.5317764315028336,-0.0010473424773407858,0.5275552081297635,-0.013885223139224115,0.004221223373070071
PlanumTemporale,0.47267930427985144,-0.005505134121599416,0.28835255032245455,-0.035904385894346476,0.1843267539573969
PostcentralGyrus,0.6132694938440493,-0.0023042078846412027,0.03515731874145007,-0.043371671015384125,0.5781121751025992
PrecentralGyrus,0.5572601133476647,-0.008540467919715987,0.11635724057064688,-0.025056839974442087,0.4409028727770178
PrecuneousCortex,0.5807699824115693,-0.0009425392777568121,0.2964236857533711,-0.00406502423242904,0.2843462966581982
