Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Accumbens,0.6372867122189563,0.0026921680282663172,0.2965606748864374,0.0031692537242912744,0.3407260373325189
Amygdala,0.40103828682673587,0.007954812416504479,0.15475054395541474,0.017008799333853217,0.24628774287132113
AngularGyrus,0.5362064358514333,0.005484935544550019,0.32744207351986865,0.014195809086023898,0.2087643623315647
Brain-Stem,0.3061037523380539,0.0024101734124572917,-0.17906630530213383,-0.01387714760735737,0.4851700576401877
Caudate,0.7442073519868686,0.012231348057091165,0.098789937779135,0.011228090022188284,0.6454174142077336
CentralOpercularCortex,0.5674313852731228,0.006582016149093209,0.1518112761003168,0.01602716968169631,0.41562010917280595
CingulateGyrusanteriordivision,0.4087490934076421,-0.0007567105407068376,0.36214070313394664,-0.012649145614391316,0.046608390273695455
CingulateGyrusposteriordivision,0.4226819864870022,0.004654053092433698,0.318547925334962,0.011923659641772485,0.10413406115204021
CunealCortex,0.48181089437721875,-0.00447609683950078,0.3845478489903424,-0.018559967117460018,0.09726304538687636
FrontalMedialCortex,0.29713325953353437,-0.0012562859427331311,0.3259533534374165,-0.03386633638213622,-0.028820093903882127
FrontalOperculumCortex,0.5816696568309347,0.003768055537865973,0.48299423598121916,0.03661394785596307,0.09867542084971559
FrontalOrbitalCortex,0.3987097759285414,0.006880851755057288,0.45596824063824093,0.008756675169644196,-0.05725846470969953
FrontalPole,0.2341871206626713,0.0014679754496479468,0.33606901553613006,-0.00575335406238203,-0.10188189487345875
HeschlsGyrus,0.33656525556361416,0.009956343502213827,0.11337176012520517,0.023037992781778295,0.223193495438409
Hippocampus,0.525212810627171,0.010998353777125177,0.27907775699507575,0.018121413494251334,0.2461350536320952
InferiorFrontalGyrusparsopercularis,0.3897011108142154,-0.0021637363740542046,0.21296331641027594,0.011710362736649419,0.17673779440393944
InferiorFrontalGyrusparstriangularis,0.34870405008207045,0.002593312685145597,0.3522540748940718,0.016390994718883,-0.00355002481200134
InferiorTemporalGyrusanteriordivision,0.39840439745008965,0.002630853544921594,0.46264839485437265,0.009839012655923395,-0.064243997404283
InferiorTemporalGyrusposteriordivision,0.4191701339848074,0.0013635095357930054,0.35359010573729815,-0.009663618925420715,0.06558002824750925
InferiorTemporalGyrustemporooccipitalpart,0.2431194411573844,0.010394332881377682,0.174905523533229,0.006692008039389379,0.0682139176241554
InsularCortex,0.5616291941825399,0.008135970376351461,0.4589075084933389,0.025807309222118564,0.10272168568920098
IntracalcarineCortex,0.6542733900828338,0.005815837569778933,0.49135397182883533,0.0034039273271504744,0.16291941825399847
JuxtapositionalLobuleCortex,0.48261251288315454,-0.0015042423774643192,0.27365728900255754,-0.0035935993876824207,0.208955223880597
LateralOccipitalCortexinferiordivision,0.3670267587891743,0.00031474473373611564,0.41756689697293575,-0.004751486578029266,-0.05054013818376146
LateralOccipitalCortexsuperiordivision,0.329350689010192,0.0030256602691262837,0.2968278810550826,-0.019028555763440907,0.03252280795510937
LingualGyrus,0.5373516051456273,0.01004885400130694,0.18635721647516887,0.008465331475933585,0.3509943886704584
MiddleFrontalGyrus,0.4466541970454632,0.0020536024103631856,0.41313890903538564,0.011013904683091089,0.03351528801007758
MiddleTemporalGyrusanteriordivision,0.4695957552391494,0.0034274776166239853,0.42428522349887393,0.030606804310769512,0.045310531740275495
MiddleTemporalGyrusposteriordivision,0.34061152040309955,0.007558668688014827,0.2942703362980494,0.01907223099036693,0.04634118410505017
MiddleTemporalGyrustemporooccipitalpart,0.32362484253922197,0.009024473931934613,0.26384700538229566,0.015593883789586378,0.059777837156926306
OccipitalFusiformGyrus,0.35477344734129856,0.006304113710924562,0.16662213230522577,-0.024919975356184742,0.1881513150360728
OccipitalPole,0.40294690231705915,-0.0003490477965863331,0.17085925869374352,-0.0012565159986078086,0.23208764362331563
Pallidum,0.7106538916669847,-0.0021726504162518367,0.04302019315188762,-0.017656065797734995,0.667633698515097
ParacingulateGyrus,0.4598236439286941,-0.0002467181581920306,0.28816276672901475,-0.016459522550912247,0.17166087719967937
ParahippocampalGyrusanteriordivision,0.4249723250753903,0.008306097271551292,0.2496469061342902,0.01431174106510044,0.1753254189411001
ParahippocampalGyrusposteriordivision,0.5284956292705271,0.008766152780194315,0.01553613009123182,-0.0007189591761815948,0.5129594991792953
ParietalOperculumCortex,0.6921021491010421,0.012239896482622628,0.12467076382791921,0.028453522568324664,0.5674313852731229
PlanumPolare,0.4362713287781043,0.011995204963793846,0.1906325151734931,0.03264489655575215,0.2456388136046112
PlanumTemporale,0.5712486162537695,0.012292101022696013,0.17001946787800126,0.004176626889233533,0.4012291483757683
PostcentralGyrus,0.5254036721762033,0.0069275567743872285,0.33675611711264647,0.018519634262911384,0.18864755506355685
PrecentralGyrus,0.3913806924456999,0.0034492324676809144,0.24331030270641674,0.019008640635705037,0.14807038973928316
PrecuneousCortex,0.6459518265450241,0.004319765614767495,0.3879833568729244,-0.0023424598594629243,0.25796846967209974
SubcallosalCortex,0.20353475588807873,-0.000988800172775601,0.18231095163568345,-0.04722379025521106,0.021223804252395284
SuperiorFrontalGyrus,0.5143718746421345,0.0020291699446181163,0.47398557086689314,0.0006125120054141782,0.04038630377524138
