Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Amygdala,0.1638655462184874,-0.018870845793510203,0.14707066749382355,-0.32952600503708895,0.016794878724663842
Caudate,0.09577877662692984,-0.008530386351477926,0.12423678453652007,0.08616279194681468,-0.02845800790959023
Hippocampus,0.19941371897596247,-0.04539897678780046,-0.01596630424135567,-0.404697103238278,0.21538002321731814
Pallidum,0.22292358803986712,0.03583222552895886,0.12027513849435684,0.15005566062739117,0.10264844954551028
Thalamus,0.12436974789915967,-0.008549697685126608,-0.01385487750459834,-0.0934791792764702,0.13822462540375802
caudalanteriorcingulate,0.597576705100645,-0.05559429522709771,0.2080086206223626,0.022358288086717634,0.3895680844782824
caudalmiddlefrontal,0.4264608168848935,0.03410533626044289,0.1612064088764488,-0.3075404094773324,0.2652544080084447
cuneus,0.4713894860269689,-0.025011590454240788,0.257561410955475,0.008764330680365626,0.21382807507149387
entorhinal,0.2434629665819816,0.012650707869058309,0.16759721814085612,-0.16844699232661633,0.07586574844112548
fusiform,0.2549736173539183,-0.004556627095553355,0.13609995537706382,-0.18607162854320203,0.1188736619768545
inferiorparietal,0.1965995700605824,-0.00565187239892721,0.297787355383594,-0.3376706329343402,-0.10118778532301162
inferiortemporal,0.13044752784834865,0.016849765882071387,0.2220589675776276,-0.2258665683792716,-0.09161143972927896
insula,0.19134258354504594,-0.06801388654973572,0.07941794277380526,-0.127627767948537,0.11192464077124067
isthmuscingulate,0.2803791283955443,-0.03915702021634924,0.14432798946463363,-0.07300214156953119,0.13605113893091067
lateraloccipital,0.3239984365839359,0.023901919206023137,0.2339874402760092,-0.16111678117535033,0.0900109963079267
lateralorbitofrontal,0.2640805159273012,-0.027067595583931316,0.10118522871975708,-0.17768130156293468,0.16289528720754412
lingual,0.4277701778385773,-0.006412566348155129,0.07867785505164289,-0.03958766954083549,0.3490923227869344
medialorbitofrontal,0.08895837404729334,-0.0064898928489721544,-0.11204710440678704,-0.0371412876485593,0.2010054784540804
middletemporal,0.2691225327340238,-0.001245068665744348,0.3092369477911647,-0.3969233391343486,-0.04011441505714086
paracentral,0.6908344733242133,-0.034174054388012645,0.2153772479135216,-0.13957860017707113,0.4754572254106917
parahippocampal,0.23462966581981629,-0.014984141145212432,-0.029940901818656745,-0.261108783483159,0.26457056763847303
parsopercularis,0.5067031463748289,-0.027098872198472575,0.3128084849388669,-0.316854718594953,0.193894661435962
parsorbitalis,0.19355090873558725,0.005297853928504839,-0.09731065182137766,-0.19939908333567008,0.2908615605569649
parstriangularis,0.44694156732460427,-0.008057635998631208,0.1332273986338913,-0.3325380706436629,0.313714168690713
pericalcarine,0.47385186632792653,0.016531362199824446,0.29358626919602526,0.06906029852102157,0.18026559713190127
postcentral,0.34371702169239793,0.012551641324760434,0.11489861886570672,-0.2950033363217781,0.2288184028266912
posteriorcingulate,0.5991792065663475,-0.07685262048784669,0.034425712085997574,-0.1063002109440094,0.56475349448035
precentral,0.41178424858315416,0.010497159939647942,0.20806260271438057,-0.31697078343321283,0.2037216458687736
precuneus,0.5552081297635334,-0.03399415274566481,0.3263895691165747,-0.012025390464069535,0.2288185606469587
rostralanteriorcingulate,0.4000390854016025,-0.05915164386911789,0.13938681555490257,-0.03685438836173637,0.2606522698466999
rostralmiddlefrontal,0.40113347664647253,0.02144671943146842,0.0925238629285695,-0.34940805088357635,0.308609613717903
superiorfrontal,0.2818057455540356,0.01061691068158545,-0.11624819059435576,-0.22159435305599043,0.39805393614839135
superiorparietal,0.36748094586671876,-0.00485620484157717,0.1983369432004849,-0.10838291288741662,0.16914400266623386
superiortemporal,0.25985929255423096,0.0013460237668481733,0.2647010807457472,-0.32640098484947144,-0.004841788191516261
supramarginal,0.42335352745749455,-0.020442982374260354,0.26143598785385447,-0.35895165443550375,0.16191753960364008
transversetemporal,0.4241156927887434,-0.02319328818552688,0.24574177468682318,-0.19937557297564013,0.17837391810192021
