Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Accumbens,0.5677936290795388,0.00356292439084526,0.005256986515536447,-0.24124293835298738,0.5625366425640024
Amygdala,0.40271643541137386,-0.04109039324895294,0.21457885479773303,-0.19859157963817056,0.18813758061364083
AngularGyrus,0.5021301543873363,-0.02105864004088647,0.2979871018174712,-0.17241168124230388,0.20414305256986515
Brain-Stem,0.025991792065663474,-0.014173645794688305,-0.17078366230213016,-0.040276633919600326,0.19677545436779365
Caudate,0.8127222982216142,-0.031675472789519654,0.41416845808090674,-0.11257279657665925,0.3985538401407075
CentralOpercularCortex,0.46224350205198356,-0.05325345434725972,0.28202071526284933,-0.14737936052783795,0.18022278678913423
CingulateGyrusanteriordivision,0.6746922024623804,-0.06270369286549274,0.3836623021301544,0.005721058461802563,0.291029900332226
CingulateGyrusposteriordivision,0.5067422317764314,-0.07132479628527552,0.18080906781317177,-0.20108816937087293,0.32593316396325966
CunealCortex,0.5182724252491695,-0.06420653578733243,0.3436779362907954,0.0006845495795136426,0.1745944889583741
FrontalMedialCortex,0.18774672659761577,-0.016656579843642792,-0.02466288841117843,-0.2595757133075609,0.21240961500879418
FrontalOperculumCortex,0.4999804572991987,-0.04823608424294048,0.3789329685362517,-0.12952907327133267,0.12104748876294702
FrontalOrbitalCortex,0.27666601524330664,-0.014140920765824537,0.08839163572405707,-0.2809672897434092,0.18827437951924958
FrontalPole,0.3593316396325973,0.0013115155265242585,0.11690443619308187,-0.20409359712085734,0.2424272034395154
HeschlsGyrus,0.5859878835255032,-0.05270005373038217,0.33548954465507136,-0.139022629983256,0.2504983388704319
Hippocampus,0.5645299980457299,-0.05762323543322072,0.07660738714090287,-0.22897380496782915,0.487922610904827
InferiorFrontalGyrusparsopercularis,0.5494430330271642,-0.027696552407803034,0.291967949970686,-0.2591923679918623,0.25747508305647826
InferiorFrontalGyrusparstriangularis,0.28647645104553454,0.006676581690752537,0.2521399257377369,-0.2599680139640797,0.03433652530779763
InferiorTemporalGyrusanteriordivision,0.13031072894273987,0.0055996932638163,0.0803205002931405,-0.2766783214441161,0.04999022864959937
InferiorTemporalGyrusposteriordivision,0.1637482900136799,0.005107621180801852,0.06712917725229627,-0.24724937288986673,0.09661911276138364
InferiorTemporalGyrustemporooccipitalpart,0.27647058823529413,-0.010418663434370498,0.3761188196208716,-0.14815489451517874,-0.09964823138557749
InsularCortex,0.45962478014461605,-0.08298166167601029,0.3449872972444792,-0.14079516448612794,0.11463748290013687
IntracalcarineCortex,0.43531366034786007,-0.04871564623393108,0.22466288841117843,0.058181504109963755,0.21065077193668164
JuxtapositionalLobuleCortex,0.8390072307992964,-0.0651797853167013,0.28972053937854214,-0.12278452030668952,0.5492866914207543
LateralOccipitalCortexinferiordivision,0.2240766073871409,-0.0022726756503061852,0.3312878639828024,-0.23749773962779033,-0.1072112565956615
LateralOccipitalCortexsuperiordivision,0.44594488958374046,-0.019344713514164787,0.3780730897009967,-0.1287523608918239,0.06787179988274378
LingualGyrus,0.667265976157905,-0.05155920660711792,0.06957201485245261,-0.05295446677224571,0.5976939613054524
MiddleFrontalGyrus,0.5481532147742818,-0.012784622522705064,0.21559507523939808,-0.13399030691812228,0.3325581395348837
MiddleTemporalGyrusanteriordivision,0.2859878835255032,-0.004070916010599746,0.10211061168653508,-0.35826312964589896,0.18387727183896813
MiddleTemporalGyrusposteriordivision,0.4016611295681063,-0.005035073682971933,0.07609927692007035,-0.30450310163283,0.32556185264803594
MiddleTemporalGyrustemporooccipitalpart,0.32438929059996086,-0.015142078563692011,0.32948993550908734,-0.3048281819126456,-0.005100644909126484
OccipitalFusiformGyrus,0.38614422513191327,-0.027718866648968218,0.004866132499511432,0.06510422546084171,0.3812780926324018
OccipitalPole,0.42128200117256204,0.01501120919105502,0.39536837991010354,-0.09174158924089956,0.025913621262458497
Pallidum,0.14524135235489544,-0.04917078644097046,0.045671291772522965,-0.006186479353954948,0.09957006058237247
ParacingulateGyrus,0.7381278092632402,-0.07367569621390388,0.4937463357435998,-0.07142209196434159,0.2443814735196404
ParahippocampalGyrusanteriordivision,0.345202266953293,-0.018009765257625033,0.10578463943717023,-0.24481439624979034,0.23941762751612275
ParahippocampalGyrusposteriordivision,0.452608950556967,-0.05402609413589346,0.06095368379910104,-0.18892638865435793,0.39165526675786594
ParietalOperculumCortex,0.46044557357826854,-0.07230582613498103,0.2589603283173735,-0.11090837442068839,0.20148524526089506
PlanumPolare,0.5179988274379519,-0.0579618065708034,0.29157709595466097,-0.19718624682366703,0.22642173148329092
PlanumTemporale,0.5556380691811609,-0.03344917978581271,0.2370920461207739,-0.2593096162725175,0.318546023060387
PostcentralGyrus,0.621203830369357,-0.01143898544413376,0.21432479968731677,-0.15522109636022025,0.40687903068204023
PrecentralGyrus,0.6307406683603675,-0.026446531921007068,0.20930232558139536,-0.11373501218776846,0.4214383427789721
PrecuneousCortex,0.63421926910299,-0.07035197881290663,0.34727379323822555,-0.05386897691478013,0.28694547586476443
SubcallosalCortex,0.4667383232362713,-0.03292492153350558,0.07539573969122532,-0.19597137861355374,0.391342583545046
SuperiorFrontalGyrus,0.6347664647254251,-0.01310689644652068,0.11479382450654682,-0.1313817197705982,0.5199726402188782
SuperiorParietalLobule,0.6673050615595075,-0.038727762039463015,0.2895641977721321,-0.07336166570846811,0.3777408637873754
SuperiorTemporalGyrusanteriordivision,0.37310924369747905,0.002563989597299328,0.046511627906976744,-0.25577022433405844,0.3265976157905023
SuperiorTemporalGyrusposteriordivision,0.3390658589017002,-0.014145553552614869,0.22069572014852454,-0.26744130001930194,0.11837013875317567
SupracalcarineCortex,0.5322259136212625,-0.06342702225978383,0.31168653507914795,0.055272580002796855,0.22053937854211453
SupramarginalGyrusanteriordivision,0.4824115692788743,-0.018818762043289677,0.23132694938440493,-0.19161104847518748,0.2510846198944694
SupramarginalGyrusposteriordivision,0.46077779949188974,-0.021131511448194043,0.32059800664451826,-0.18249342910641655,0.14017979284737148
TemporalFusiformCortexanteriordivision,0.2923783466875122,0.026782888141892298,0.12177056869259333,-0.2289082234963877,0.17060777799491889
TemporalFusiformCortexposteriordivision,0.37723275356654296,-0.0005258458621747597,0.07351964041430525,-0.1695977913033259,0.3037131131522377
TemporalOccipitalFusiformCortex,0.3031072894273989,-0.03201934622310638,0.04279851475473911,-0.003569272561951226,0.2603087746726598
TemporalPole,0.3499902286495994,0.0033927768299879028,0.34309165526675783,-0.2504515450761108,0.006898573382841555
Thalamus,0.6171780340042994,-0.03509489665804759,0.23642759429353138,-0.14692390515983197,0.380750439710768
