Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Amygdala,0.08981944497461541,-0.027726199087191723,-0.05729663701950605,-0.429484982011501,0.14711608199412146
Caudate,0.4546703821048211,0.011608186132621314,0.3345802954536779,0.0162070565750426,0.12009008665114318
Hippocampus,0.0178264686796198,-0.06295301002046307,-0.10760774134442874,-0.5050176585188414,0.12543421002404853
Pallidum,0.49288086422109395,-0.04994811139258302,0.07680268733061037,-0.13707397990396994,0.4160781768904836
Thalamus,-0.02019315188762072,-0.030981399838169114,0.060350421804023356,-0.2620095259643383,-0.08054357369164408
caudalanteriorcingulate,0.3102263617971523,-0.04626932448700661,0.24266137343970678,-0.5512907833162319,0.06756498835744551
caudalmiddlefrontal,0.20677940222162844,0.006033808983752749,0.3956941634538305,-0.3185898636001033,-0.18891476123220208
cuneus,0.17219528953696986,-0.05489136808858502,0.2704126426690079,-0.5011019501240925,-0.09821735313203803
entorhinal,-0.05889987403137764,-0.001333312495364834,0.12726648089475892,-0.28662704417126006,-0.18616635492613656
fusiform,0.27934496316372104,-0.03892980898101468,0.16742375081116156,-0.266202516926396,0.11192121235255947
inferiorparietal,0.13184715807153488,-0.016764382507330113,0.339504523418712,-0.4938478462387769,-0.20765736534717713
inferiortemporal,0.032370118715883495,0.013752348116502142,0.24525709050654654,-0.33863155511132564,-0.21288697179066304
insula,0.3246173225941901,-0.06523957567627094,0.07821506279344963,-0.3890280608646652,0.2464022598007405
isthmuscingulate,0.22674352025041034,-0.04943307507058208,0.26877123334732983,-0.5373517612938743,-0.042027713096919495
lateraloccipital,-0.016223231667748212,0.010591295481322614,0.13871817383669882,-0.5140970721043266,-0.15494140550444704
lateralorbitofrontal,0.1229911821964347,0.007904547785735737,0.21021491010421037,-0.3123470720205171,-0.08722372790777566
lingual,0.27457342443791266,-0.041356724344811434,0.16280490132457914,-0.48380226897027245,0.11176852311333352
medialorbitofrontal,0.13039661029888916,-0.010523847801005723,0.2070084360804672,-0.36566896875639054,-0.07661182578157805
middletemporal,0.05164713516814901,0.0024518249696333944,0.2509065923579036,-0.5657028115672034,-0.19925945718975457
paracentral,0.4264992174676489,-0.047511807785110965,0.2863686681681108,-0.39868357060468285,0.1401305492995381
parahippocampal,0.32518990724128716,-0.04060026336701877,0.17360766499980912,-0.5027344262929435,0.15158224224147804
parsopercularis,0.3183952360957361,-0.0036769578179265405,0.35683475207084775,-0.4678633688725924,-0.03843951597511164
parsorbitalis,0.15593388555941518,0.00516424007036624,0.13577890598160094,-0.41692963272489625,0.02015497957781423
parstriangularis,0.07623010268351338,0.010865374463635617,0.31702103294270334,-0.4926596435529697,-0.24079093025918996
pericalcarine,0.2366683208000916,0.00036209081285346875,0.3648509371302057,-0.44429610684606335,-0.12818261633011413
postcentral,0.20941329159827457,-0.021597130634609676,0.22239187693247317,-0.3759598826929987,-0.0129785853341986
posteriorcingulate,0.24613505363209526,-0.0554676091221419,0.24124899797686752,-0.5870146740682051,0.0048860556552277334
precentral,0.22036874451273045,-0.009651398991022733,0.17089743100355,-0.4111796606265363,0.04947131350918044
precuneus,0.21105470091995263,-0.053711266946780675,0.38805970149253727,-0.3926272199646428,-0.17700500057258464
rostralanteriorcingulate,0.2926289269763713,-0.0479246957832519,0.3353055693400007,-0.4281289427820221,-0.04267664236362945
rostralmiddlefrontal,0.10634805512081535,0.012595035526591485,0.41394052754132143,-0.39484678041356336,-0.3075924724205061
superiorfrontal,0.29923273657289,0.0019362412825313451,0.2915219299919838,-0.23530706811689056,0.0077108065809062265
superiorparietal,0.23605756384318813,-0.0190009648046848,0.4245906019773256,-0.27052317663215597,-0.1885330381341375
superiortemporal,0.014085582318586098,-0.01822325897659439,0.03061419246478604,-0.5080837188116183,-0.016528610146199944
supramarginal,0.22262091079131197,-0.024158762852772506,0.30801236782837726,-0.44723875392010526,-0.0853914570370653
transversetemporal,-0.034965835782723206,-0.022726087861405328,0.00877963125548727,-0.34752877221328804,-0.04374546703821047
