Region,Congruency_ASL,Congruency_FlowGAN,Congruency_Diff
Accumbens,0.5529411764705883,0.6823529411764706,0.12941176470588234
Amygdala,0.5529411764705883,0.6823529411764706,0.12941176470588234
AngularGyrus,0.7058823529411765,0.9176470588235294,0.21176470588235285
Brain-Stem,0.4588235294117647,0.5529411764705883,0.09411764705882358
Caudate,0.6235294117647059,0.7529411764705882,0.12941176470588234
CentralOpercularCortex,0.6941176470588235,0.788235294117647,0.09411764705882353
CingulateGyrusanteriordivision,0.4823529411764706,0.5882352941176471,0.10588235294117648
CingulateGyrusposteriordivision,0.5764705882352941,0.6235294117647059,0.04705882352941182
CunealCortex,0.5411764705882353,0.6705882352941176,0.12941176470588234
FrontalMedialCortex,0.6705882352941176,0.5176470588235295,-0.15294117647058814
FrontalOperculumCortex,0.6,0.8117647058823529,0.21176470588235297
FrontalOrbitalCortex,0.5764705882352941,0.8352941176470589,0.2588235294117648
FrontalPole,0.7529411764705882,0.9764705882352941,0.22352941176470587
HeschlsGyrus,0.6,0.6235294117647059,0.02352941176470591
Hippocampus,0.5764705882352941,0.6470588235294118,0.07058823529411773
InferiorFrontalGyrusparsopercularis,0.7176470588235294,0.9176470588235294,0.19999999999999996
InferiorFrontalGyrusparstriangularis,0.6588235294117647,0.7529411764705882,0.09411764705882353
InferiorTemporalGyrusanteriordivision,0.6941176470588235,0.9176470588235294,0.22352941176470587
InferiorTemporalGyrusposteriordivision,0.49411764705882355,0.6705882352941176,0.17647058823529405
InferiorTemporalGyrustemporooccipitalpart,0.6,0.8705882352941177,0.2705882352941177
InsularCortex,0.6941176470588235,0.6705882352941176,-0.02352941176470591
IntracalcarineCortex,0.7411764705882353,0.7529411764705882,0.0117647058823529
JuxtapositionalLobuleCortex,0.49411764705882355,0.6588235294117647,0.16470588235294115
LateralOccipitalCortexinferiordivision,0.8117647058823529,0.9882352941176471,0.17647058823529416
LateralOccipitalCortexsuperiordivision,0.6941176470588235,0.8705882352941177,0.17647058823529416
LingualGyrus,0.6235294117647059,0.7176470588235294,0.09411764705882353
MiddleFrontalGyrus,0.47058823529411764,0.7411764705882353,0.2705882352941177
MiddleTemporalGyrusanteriordivision,0.611764705882353,0.7058823529411765,0.09411764705882353
MiddleTemporalGyrusposteriordivision,0.7764705882352941,0.9882352941176471,0.21176470588235297
MiddleTemporalGyrustemporooccipitalpart,0.8,0.9882352941176471,0.18823529411764706
OccipitalFusiformGyrus,0.5882352941176471,0.7764705882352941,0.18823529411764706
OccipitalPole,0.4588235294117647,0.788235294117647,0.32941176470588235
Pallidum,0.6705882352941176,0.6,-0.07058823529411762
ParacingulateGyrus,0.5294117647058824,0.611764705882353,0.08235294117647063
ParahippocampalGyrusanteriordivision,0.611764705882353,0.7176470588235294,0.10588235294117643
ParahippocampalGyrusposteriordivision,0.6588235294117647,0.7058823529411765,0.04705882352941182
ParietalOperculumCortex,0.6470588235294118,0.788235294117647,0.14117647058823524
PlanumPolare,0.7764705882352941,0.7411764705882353,-0.03529411764705881
PlanumTemporale,0.6,0.8705882352941177,0.2705882352941177
PostcentralGyrus,0.788235294117647,0.9882352941176471,0.20000000000000007
PrecentralGyrus,0.7647058823529411,0.9647058823529412,0.20000000000000007
PrecuneousCortex,0.611764705882353,0.7411764705882353,0.12941176470588234
SubcallosalCortex,0.4235294117647059,0.7294117647058823,0.30588235294117644
SuperiorFrontalGyrus,0.6,0.7058823529411765,0.10588235294117654
SuperiorParietalLobule,0.7411764705882353,0.9058823529411765,0.16470588235294115
SuperiorTemporalGyrusanteriordivision,0.6470588235294118,0.8823529411764706,0.23529411764705876
SuperiorTemporalGyrusposteriordivision,0.8,1.0,0.19999999999999996
SupracalcarineCortex,0.611764705882353,0.6352941176470588,0.0235294117647058
SupramarginalGyrusanteriordivision,0.7411764705882353,0.9411764705882353,0.19999999999999996
SupramarginalGyrusposteriordivision,0.788235294117647,0.9882352941176471,0.20000000000000007
TemporalFusiformCortexanteriordivision,0.4588235294117647,0.6470588235294118,0.1882352941176471
TemporalFusiformCortexposteriordivision,0.6705882352941176,0.8117647058823529,0.14117647058823535
TemporalOccipitalFusiformCortex,0.5176470588235295,0.611764705882353,0.09411764705882353
TemporalPole,0.7176470588235294,0.9647058823529412,0.24705882352941178
Thalamus,0.6235294117647059,0.6235294117647059,0.0
