Region,Congruency_ASL,Congruency_FlowGAN,Congruency_Diff
Amygdala,0.6176470588235294,0.5147058823529411,-0.10294117647058831
Caudate,0.6029411764705882,0.75,0.1470588235294118
Hippocampus,0.5441176470588235,0.6176470588235294,0.07352941176470595
Pallidum,0.5441176470588235,0.6176470588235294,0.07352941176470595
Thalamus,0.5735294117647058,0.5882352941176471,0.014705882352941235
caudalanteriorcingulate,0.6176470588235294,0.7058823529411765,0.08823529411764708
caudalmiddlefrontal,0.6764705882352942,0.6911764705882353,0.014705882352941124
cuneus,0.6911764705882353,0.7941176470588235,0.1029411764705882
entorhinal,0.6029411764705882,0.6323529411764706,0.02941176470588236
fusiform,0.5441176470588235,0.6029411764705882,0.05882352941176472
inferiorparietal,0.6176470588235294,0.6617647058823529,0.044117647058823484
inferiortemporal,0.5735294117647058,0.5294117647058824,-0.044117647058823484
insula,0.6029411764705882,0.6176470588235294,0.014705882352941235
isthmuscingulate,0.6176470588235294,0.6176470588235294,0.0
lateraloccipital,0.6470588235294118,0.7352941176470589,0.08823529411764708
lateralorbitofrontal,0.5,0.6911764705882353,0.19117647058823528
lingual,0.7205882352941176,0.7794117647058824,0.05882352941176472
medialorbitofrontal,0.6617647058823529,0.75,0.08823529411764708
middletemporal,0.5294117647058824,0.6176470588235294,0.08823529411764708
paracentral,0.6470588235294118,0.6911764705882353,0.044117647058823484
parahippocampal,0.45588235294117646,0.6764705882352942,0.2205882352941177
parsopercularis,0.6764705882352942,0.7352941176470589,0.05882352941176472
parsorbitalis,0.6029411764705882,0.7058823529411765,0.10294117647058831
parstriangularis,0.6323529411764706,0.6029411764705882,-0.02941176470588236
pericalcarine,0.5588235294117647,0.6470588235294118,0.08823529411764708
postcentral,0.6323529411764706,0.7205882352941176,0.08823529411764708
posteriorcingulate,0.6323529411764706,0.6617647058823529,0.02941176470588236
precentral,0.5735294117647058,0.75,0.17647058823529416
precuneus,0.5882352941176471,0.6617647058823529,0.07352941176470584
rostralanteriorcingulate,0.5735294117647058,0.6911764705882353,0.11764705882352944
rostralmiddlefrontal,0.6911764705882353,0.7647058823529411,0.07352941176470584
superiorfrontal,0.6323529411764706,0.75,0.11764705882352944
superiorparietal,0.6470588235294118,0.6911764705882353,0.044117647058823484
superiortemporal,0.5735294117647058,0.5588235294117647,-0.014705882352941124
supramarginal,0.5588235294117647,0.5735294117647058,0.014705882352941124
transversetemporal,0.5588235294117647,0.5735294117647058,0.014705882352941124
