Region,Congruency_ASL,Congruency_FlowGAN,Congruency_Diff
Accumbens,0.6764705882352942,0.6911764705882353,0.014705882352941124
Amygdala,0.5147058823529411,0.6176470588235294,0.10294117647058831
AngularGyrus,0.7647058823529411,0.75,-0.014705882352941124
Brain-Stem,0.5,0.5441176470588235,0.044117647058823484
Caudate,0.5441176470588235,0.8235294117647058,0.27941176470588236
CentralOpercularCortex,0.5294117647058824,0.75,0.22058823529411764
CingulateGyrusanteriordivision,0.6470588235294118,0.7058823529411765,0.05882352941176472
CingulateGyrusposteriordivision,0.6617647058823529,0.6911764705882353,0.02941176470588236
CunealCortex,0.6617647058823529,0.7205882352941176,0.05882352941176472
FrontalMedialCortex,0.5588235294117647,0.5882352941176471,0.02941176470588236
FrontalOperculumCortex,0.6323529411764706,0.7352941176470589,0.10294117647058831
FrontalOrbitalCortex,0.6176470588235294,0.7794117647058824,0.16176470588235292
FrontalPole,0.8529411764705882,0.9705882352941176,0.11764705882352944
HeschlsGyrus,0.4852941176470588,0.6029411764705882,0.11764705882352938
Hippocampus,0.5588235294117647,0.7352941176470589,0.17647058823529416
InferiorFrontalGyrusparsopercularis,0.9264705882352942,0.9558823529411765,0.02941176470588236
InferiorFrontalGyrusparstriangularis,0.8088235294117647,0.8676470588235294,0.05882352941176472
InferiorTemporalGyrusanteriordivision,0.7941176470588235,0.8529411764705882,0.05882352941176472
InferiorTemporalGyrusposteriordivision,0.6617647058823529,0.7058823529411765,0.044117647058823595
InferiorTemporalGyrustemporooccipitalpart,0.5294117647058824,0.6470588235294118,0.11764705882352944
InsularCortex,0.7058823529411765,0.6911764705882353,-0.014705882352941235
IntracalcarineCortex,0.6911764705882353,0.7058823529411765,0.014705882352941235
JuxtapositionalLobuleCortex,0.6617647058823529,0.75,0.08823529411764708
LateralOccipitalCortexinferiordivision,0.7941176470588235,0.9852941176470589,0.1911764705882354
LateralOccipitalCortexsuperiordivision,0.5441176470588235,0.8382352941176471,0.2941176470588236
LingualGyrus,0.6176470588235294,0.6470588235294118,0.02941176470588236
MiddleFrontalGyrus,0.7352941176470589,0.8529411764705882,0.11764705882352933
MiddleTemporalGyrusanteriordivision,0.6176470588235294,0.6764705882352942,0.05882352941176472
MiddleTemporalGyrusposteriordivision,0.8382352941176471,0.8970588235294118,0.05882352941176472
MiddleTemporalGyrustemporooccipitalpart,0.8382352941176471,0.9117647058823529,0.07352941176470584
OccipitalFusiformGyrus,0.5588235294117647,0.6323529411764706,0.07352941176470584
OccipitalPole,0.5294117647058824,0.6617647058823529,0.13235294117647056
Pallidum,0.4852941176470588,0.8382352941176471,0.35294117647058826
ParacingulateGyrus,0.5294117647058824,0.6176470588235294,0.08823529411764708
ParahippocampalGyrusanteriordivision,0.75,0.9264705882352942,0.17647058823529416
ParahippocampalGyrusposteriordivision,0.5441176470588235,0.6323529411764706,0.08823529411764708
ParietalOperculumCortex,0.5588235294117647,0.7794117647058824,0.22058823529411764
PlanumPolare,0.5441176470588235,0.7058823529411765,0.16176470588235303
PlanumTemporale,0.5294117647058824,0.7205882352941176,0.19117647058823528
PostcentralGyrus,0.9852941176470589,0.9852941176470589,0.0
PrecentralGyrus,1.0,0.9852941176470589,-0.014705882352941124
PrecuneousCortex,0.7205882352941176,0.7941176470588235,0.07352941176470584
SubcallosalCortex,0.5147058823529411,0.5735294117647058,0.05882352941176472
SuperiorFrontalGyrus,0.75,0.7941176470588235,0.044117647058823484
SuperiorParietalLobule,0.6764705882352942,0.6617647058823529,-0.014705882352941235
SuperiorTemporalGyrusanteriordivision,0.6764705882352942,0.7647058823529411,0.08823529411764697
SuperiorTemporalGyrusposteriordivision,0.9264705882352942,0.9264705882352942,0.0
SupracalcarineCortex,0.6470588235294118,0.7647058823529411,0.11764705882352933
SupramarginalGyrusanteriordivision,0.9117647058823529,0.9705882352941176,0.05882352941176472
SupramarginalGyrusposteriordivision,0.8088235294117647,0.9264705882352942,0.11764705882352944
TemporalFusiformCortexanteriordivision,0.6911764705882353,0.5882352941176471,-0.1029411764705882
TemporalFusiformCortexposteriordivision,0.7352941176470589,0.8970588235294118,0.16176470588235292
TemporalOccipitalFusiformCortex,0.5882352941176471,0.5588235294117647,-0.02941176470588236
TemporalPole,0.8823529411764706,0.9558823529411765,0.07352941176470595
Thalamus,0.5735294117647058,0.6764705882352942,0.10294117647058831
