Region,Cohens_d_Real_FDG,Cohens_d_Synthetic_FDG,Cohens_d_ASL,n_hc,n_mci
Accumbens,-1.0503295519258968,-0.7819431484775287,0.1441471588632673,32,53
Amygdala,-0.882195071117775,-0.676231187768771,-0.3572816452818134,32,53
AngularGyrus,-0.48896234800635596,-0.12609230435091415,-0.1997614454327244,32,53
Brain-Stem,0.34929260398432654,-0.11231233513911307,-0.1556952499294982,32,53
Caudate,-1.161333240195187,-0.9020443415004062,-0.10376628156598726,32,53
CentralOpercularCortex,-0.2080139612932065,-0.3592023041006692,-0.06127638825169408,32,53
CingulateGyrusanteriordivision,-0.15170403128325577,-0.2599580582579914,-0.17408218787666688,32,53
CingulateGyrusposteriordivision,-0.02241861079209389,0.10065290373925946,-0.130884152705319,32,53
CunealCortex,0.030908770443748453,0.14911275208999594,-0.18064928628353397,32,53
FrontalMedialCortex,-0.5870215914421703,-0.5160118364516546,0.09209890457383794,32,53
FrontalOperculumCortex,-0.3082202156349137,-0.1370144026338843,-0.08594376193263975,32,53
FrontalOrbitalCortex,-0.4390379618062504,-0.3855416150467645,0.11900111674290136,32,53
FrontalPole,-0.23655242080027816,-0.35315549859022277,-0.5150826657666177,32,53
HeschlsGyrus,-0.563139603401181,-0.5683281115087491,-0.14182423001045438,32,53
Hippocampus,-1.19509428634052,-0.9211741920089155,-0.38095377646030243,32,53
InferiorFrontalGyrusparsopercularis,-0.19355081311657713,-0.2191260803347867,-0.19796347642476594,32,53
InferiorFrontalGyrusparstriangularis,-0.24829468057423165,-0.31083094183079096,-0.30393629661261296,32,53
InferiorTemporalGyrusanteriordivision,-0.3833627669528398,-0.5076320876649816,0.12830145673327126,32,53
InferiorTemporalGyrusposteriordivision,-0.4203895430830726,-0.3186672586070118,0.1509844128165743,32,53
InferiorTemporalGyrustemporooccipitalpart,-0.2704669780743186,-0.1329369035342172,-0.10968762350016473,32,53
InsularCortex,-0.28742879095531554,-0.2611037215410816,-0.14148221816953305,32,53
IntracalcarineCortex,0.18303005542701584,0.05325043376835821,-0.21248077445135585,32,53
JuxtapositionalLobuleCortex,0.28793559667822627,0.3942985373179862,-0.22742202023250316,32,53
LateralOccipitalCortexinferiordivision,-0.11203197004093161,-0.1270226985055473,-0.14451652220696773,32,53
LateralOccipitalCortexsuperiordivision,-0.25247533962768254,0.0640334897383355,-0.2565991088881884,32,53
LingualGyrus,0.41710423866561763,0.3163815292955662,-0.18247327964029386,32,53
MiddleFrontalGyrus,-0.15503054031426874,-0.14167053938132734,-0.29433759731045445,32,53
MiddleTemporalGyrusanteriordivision,-0.400709856711627,-0.6138462269278039,-0.06357042111189143,32,53
MiddleTemporalGyrusposteriordivision,-0.5397780977065473,-0.6294934456141085,-0.17264624714903667,32,53
MiddleTemporalGyrustemporooccipitalpart,-0.4402280066644878,-0.42302341311137315,-0.17930543714979874,32,53
OccipitalFusiformGyrus,0.17764870091497023,0.018782142637769488,-0.27137215539313114,32,53
OccipitalPole,-0.04304913941406056,-0.02497170127582879,-0.25050899401347,32,53
Pallidum,0.03975760296636195,0.2621522281625977,-0.07665251689730276,32,53
ParacingulateGyrus,-0.11944395542372839,-0.18043593394057983,-0.23368757574932608,32,53
ParahippocampalGyrusanteriordivision,-0.6136649386143127,-0.19151512275832192,0.06001602039886093,32,53
ParahippocampalGyrusposteriordivision,-0.16227396069073563,0.17661778573425924,-0.28558889329187004,32,53
ParietalOperculumCortex,-0.49989981827888363,-0.46960222725608775,-0.08507279124976541,32,53
PlanumPolare,-0.19199070301605428,-0.580369809282946,-0.17252650852068835,32,53
PlanumTemporale,-0.5815965518410374,-0.656851165364823,-0.13735545753169576,32,53
PostcentralGyrus,0.11343158211131356,0.02996534869143782,-0.21832991199355967,32,53
PrecentralGyrus,0.17224589153073033,0.05015807502025789,-0.19641475860662577,32,53
PrecuneousCortex,-0.09524882695033537,0.21839344474935513,-0.22622490759210293,32,53
SubcallosalCortex,-0.5878006175757544,-0.3482777025093522,0.12546372191709923,32,53
SuperiorFrontalGyrus,0.05258204334243569,0.060168269267811575,-0.341587061493077,32,53
SuperiorParietalLobule,-0.1023201940266353,0.05355985678392774,-0.32553163093986687,32,53
SuperiorTemporalGyrusanteriordivision,-0.32482394566916106,-0.6495904598799648,-0.2519202762146349,32,53
SuperiorTemporalGyrusposteriordivision,-0.5067524416899353,-0.5794284544952194,-0.20900924039906946,32,53
SupracalcarineCortex,0.06530091395723704,-0.01904185990632357,-0.22471677755320255,32,53
SupramarginalGyrusanteriordivision,-0.3028561619466026,-0.3090055604071902,-0.22735169640366312,32,53
SupramarginalGyrusposteriordivision,-0.39987679518509983,-0.285803229021648,-0.23025121500219273,32,53
TemporalFusiformCortexanteriordivision,-0.4136390597590566,-0.4160287650655173,0.07372776970562397,32,53
TemporalFusiformCortexposteriordivision,-0.40104962628852114,-0.32753225729510776,0.08930576235343288,32,53
TemporalOccipitalFusiformCortex,0.03873098345273812,-0.20408402105901366,-0.25764157582911196,32,53
TemporalPole,-0.5130719983238775,-0.4799897737475288,0.021793652185818756,32,53
Thalamus,-0.8490225663309496,-0.7109603326789129,-0.3760935757782676,32,53
