Region,Cohens_d_Real_FDG,Cohens_d_Synthetic_FDG,Cohens_d_ASL,n_left,n_right
Amygdala,-1.2725255791829078,-0.3250446794218214,-0.1766799056876671,18,13
Caudate,-0.43725596130627287,-0.1647871235748584,0.17457313488291964,18,13
Hippocampus,-1.7442352304236093,-0.9545341055132652,-0.9659278325166868,18,13
Pallidum,-0.0942386219875443,-0.0681927539430008,0.14620175446122283,18,13
Thalamus,-1.2150935454135845,-0.7349949639840464,0.01974826841044768,18,13
caudalanteriorcingulate,-0.5695966763209955,-0.3588339854889296,-0.47450978985057535,18,13
caudalmiddlefrontal,0.06761417629205152,-0.0036720120210776805,0.028785721416991056,18,13
cuneus,0.10559345479279668,0.22963759275078993,-0.159591485816941,18,13
entorhinal,-1.0463799285589945,-0.1977031045253297,0.3044284570326861,18,13
fusiform,-1.4629303436473495,-0.3388957996174736,-0.3763125140802273,18,13
inferiorparietal,-0.6160389447040739,-0.6649266520597586,-1.1788846719856239,18,13
inferiortemporal,-1.9746024934245365,-0.703318029455119,-1.1238482102802048,18,13
insula,-1.5449689147947723,-0.5375568499244768,-0.7530415840880974,18,13
isthmuscingulate,-0.7385154636890898,-0.41837113693144745,-1.037227238632548,18,13
lateraloccipital,-0.9390909407979379,-0.13183260778000808,-1.5307227410864297,18,13
lateralorbitofrontal,-0.8872801329930652,-0.4268677221399522,-0.8173689952178751,18,13
lingual,-0.5036218445947197,-0.12014774687133786,-0.8994414143232407,18,13
medialorbitofrontal,-0.8411973407932388,-0.33051995523866423,-0.26941172917610556,18,13
middletemporal,-1.7155116850184389,-0.5491069725500913,-1.5350587139563505,18,13
paracentral,-0.21246691548385827,-0.4065939666916813,-0.224903876114014,18,13
parahippocampal,-1.0251064941961634,-0.025885112811166126,-0.16411301813351417,18,13
parsopercularis,-1.1594172685610284,-0.5222694144791683,-0.5314113850797192,18,13
parsorbitalis,0.0597144110389553,0.07022990004500412,-0.46443054200762457,18,13
parstriangularis,-1.1023590980661213,-0.9643889809817224,-1.0395467225145625,18,13
pericalcarine,0.22689964372925406,-0.03290058062700556,-0.8683241742987581,18,13
postcentral,-0.7543089620545801,-0.7118817097826362,-0.7574903423846118,18,13
posteriorcingulate,-0.6642231755338462,0.1757217219085705,-0.6602443805676459,18,13
precentral,-0.6440146651159813,-0.6025418112702765,-0.8080110190773417,18,13
precuneus,-0.6614780638754343,-0.14359001415250014,-0.8187269853653387,18,13
rostralanteriorcingulate,-0.5185441577962526,-0.12103106307079298,0.14443286169884811,18,13
rostralmiddlefrontal,-0.6801760182616036,-0.5215195809918227,-0.669131970977992,18,13
superiorfrontal,-0.8654197696076025,-0.3397085701377939,-0.8897315796191826,18,13
superiorparietal,-0.4386658006049045,-0.7533146633757788,-0.5952709948462557,18,13
superiortemporal,-1.994107395294354,-0.658944224369568,-1.2992463678854427,18,13
supramarginal,-1.1385976853502495,-1.4457423735766306,-1.030663334009337,18,13
transversetemporal,-1.1705237595182727,-0.7145029590539327,-0.8176120290930424,18,13
