Region,Cohens_d_Real_FDG,Cohens_d_Synthetic_FDG,Cohens_d_ASL,n_left,n_right
Accumbens,-0.6993263948952546,-0.5922561991305019,-0.3836661533023596,18,13
Amygdala,-0.9855842150329135,-0.4506473918048602,-0.3469034829717243,18,13
AngularGyrus,-0.08370725008127058,-0.39957118574048023,-0.9924787515812906,18,13
Brain-Stem,0.009220890133803119,0.4311866594857819,-0.0492984526669535,18,13
Caudate,-0.8150592580556838,-0.07639255840787788,0.4206383822548111,18,13
CentralOpercularCortex,-1.505448425899648,-0.8273483149263067,-0.7218814058067324,18,13
CingulateGyrusanteriordivision,-0.3506816665775861,0.1584076483460993,-0.2132440809628833,18,13
CingulateGyrusposteriordivision,-0.2965313516838181,-0.014202731205807182,-0.10619906941168325,18,13
CunealCortex,-0.19401292312239116,-0.2573560530730123,-0.34006620747373967,18,13
FrontalMedialCortex,-0.9425244164007502,-0.34547321784980756,-0.3652544524700201,18,13
FrontalOperculumCortex,-1.1260502205810239,-0.5701857552505488,-0.9943413551486107,18,13
FrontalOrbitalCortex,-0.8450137061160868,-0.5094476723892589,-0.9197297653137855,18,13
FrontalPole,-0.707363757537929,-0.5936081074134679,-0.8296045783149875,18,13
HeschlsGyrus,-0.8504616419723112,-0.5697860233311538,-0.7512545567154097,18,13
Hippocampus,-1.4546374375889313,-0.6604719438669557,-0.941957860030564,18,13
InferiorFrontalGyrusparsopercularis,-0.38893059959515386,-0.3651011769446603,-0.6205067426108718,18,13
InferiorFrontalGyrusparstriangularis,-1.0479181958429298,-0.8586204813129665,-0.8074300678192236,18,13
InferiorTemporalGyrusanteriordivision,-1.675043419773686,-0.5810498683556315,-1.7856186390911082,18,13
InferiorTemporalGyrusposteriordivision,-1.761308041954358,-0.3656068969797351,-0.13637246238973,18,13
InferiorTemporalGyrustemporooccipitalpart,-0.9420578001018735,-0.18918987188071457,-0.7256041194793103,18,13
InsularCortex,-1.4088476770905198,-0.8211397795285577,-0.8022356846346715,18,13
IntracalcarineCortex,-0.3925970123765819,-0.2501381458620962,-0.3460857935450526,18,13
JuxtapositionalLobuleCortex,0.09563297573311337,0.35975243818251046,0.04091176793302637,18,13
LateralOccipitalCortexinferiordivision,-1.4491900462659317,-0.8480878717636094,-0.9745076124627929,18,13
LateralOccipitalCortexsuperiordivision,-0.8973011733973077,-1.1012059266457777,-0.940380361281671,18,13
LingualGyrus,-0.5443772652628015,-0.3020583747361477,-0.3110176838452915,18,13
MiddleFrontalGyrus,-0.4272662686948244,-0.765563012457774,-0.535240622320055,18,13
MiddleTemporalGyrusanteriordivision,-1.6727021348491091,-0.6638562025609085,-0.8532435532588099,18,13
MiddleTemporalGyrusposteriordivision,-1.6678999804853154,-0.5106931979287618,-1.4887260962983389,18,13
MiddleTemporalGyrustemporooccipitalpart,-1.578349898083432,-1.031029260605719,-1.2284554470552647,18,13
OccipitalFusiformGyrus,-0.3965595413291314,0.032033196853038716,-0.7007028021844035,18,13
OccipitalPole,-0.3472599584619639,0.1307727714835428,-1.0246728780784697,18,13
Pallidum,-0.8271568053152106,-0.8543687371721403,-0.01433142081283888,18,13
ParacingulateGyrus,-0.5639517120316584,-0.022609392849761722,-0.4171283021059973,18,13
ParahippocampalGyrusanteriordivision,-0.945263762985046,-0.4377226899784091,-0.5969615634524293,18,13
ParahippocampalGyrusposteriordivision,-1.5985193729552536,-0.63033325389842,-0.4610807438567125,18,13
ParietalOperculumCortex,-0.7879155892408465,-0.7825689910174926,-0.34726371763342473,18,13
PlanumPolare,-1.1331607998902187,-0.7879816692727148,-1.0043784805697633,18,13
PlanumTemporale,-0.874060759668259,-0.8960001030744211,-1.0336643711836462,18,13
PostcentralGyrus,-0.32076407959750636,-1.0246574943332551,-1.1853334059879648,18,13
PrecentralGyrus,-0.380883231265614,-0.7955333509082387,-0.8620906907052484,18,13
PrecuneousCortex,-0.45306050019661454,-0.17619504371792255,-0.39352373926132833,18,13
SubcallosalCortex,-0.8166552601517661,0.23475080665435355,0.7421688298628112,18,13
SuperiorFrontalGyrus,-0.6552250621936097,-0.5357955971897624,-0.7106487732946426,18,13
SuperiorParietalLobule,-0.49588205515616135,-0.9122891026634603,-0.8416752797762375,18,13
SuperiorTemporalGyrusanteriordivision,-1.5331002982050852,-0.7434318854333691,-0.5935491147517422,18,13
SuperiorTemporalGyrusposteriordivision,-1.457405034831996,-0.4849496230915044,-0.7635935309938842,18,13
SupracalcarineCortex,-0.38077524395729256,-0.268083588110781,0.08547895628950872,18,13
SupramarginalGyrusanteriordivision,-0.40972064419539056,-0.5987583830290303,-0.42893901346691726,18,13
SupramarginalGyrusposteriordivision,-0.5824920228070077,-0.8295507863723187,-1.072726186973225,18,13
TemporalFusiformCortexanteriordivision,-1.614608038560033,-0.47051027348048835,0.4206062949504405,18,13
TemporalFusiformCortexposteriordivision,-1.6424182410745936,-0.6770527371209666,-0.45681332852940576,18,13
TemporalOccipitalFusiformCortex,-1.9212299611922794,-1.0879576928101562,-0.0761939139634394,18,13
TemporalPole,-1.2546838992640013,-0.5920981937150314,-0.7582246593535329,18,13
Thalamus,-0.9829975591456752,-0.8237575334037837,-0.2622331133449686,18,13
