Region,r_synth_pool,r_asl_pool,n_pool,r_synth_dev,r_asl_dev,n_dev,r_synth_ho,r_asl_ho,n_ho
Amygdala,0.1638655462184874,0.14707066749382355,85,0.19513749161636482,0.16317135549872125,71,0.13406593406593406,0.06593406593406594,14
Caudate,0.09577877662692984,0.12423678453652007,85,0.04064386317907444,0.0720131530873219,71,0.3494505494505495,0.4230769230769231,14
Hippocampus,0.19941371897596247,-0.01596630424135567,85,0.17196512407780012,-0.034234563390573625,71,0.27472527472527475,0.17032967032967034,14
Pallidum,0.22292358803986712,0.12027513849435684,85,0.24074446680080477,0.00453050785531604,71,0.16043956043956045,0.5879120879120878,14
Thalamus,0.12436974789915967,-0.01385487750459834,85,0.03078470824949698,-0.14139568871026675,71,0.4681318681318682,0.3186813186813187,14
caudalanteriorcingulate,0.597576705100645,0.2080086206223626,85,0.618879946344735,0.14428733247966544,71,0.5340659340659341,0.8351648351648352,14
caudalmiddlefrontal,0.4264608168848935,0.1612064088764488,85,0.3893695506371562,0.1412547043216983,71,0.6483516483516484,0.42857142857142855,14
cuneus,0.4713894860269689,0.257561410955475,85,0.431421864520456,0.2654366094263793,71,0.43736263736263736,0.1758241758241758,14
entorhinal,0.2434629665819816,0.16759721814085612,85,0.23722334004024143,0.16759225429302158,71,0.3142857142857143,0.1868131868131868,14
fusiform,0.2549736173539183,0.13609995537706382,85,0.2641180415828303,0.08586043112897332,71,0.12087912087912088,0.4175824175824176,14
inferiorparietal,0.1965995700605824,0.297787355383594,85,0.1874245472837022,0.3415052977712825,71,0.2,0.15934065934065936,14
inferiortemporal,0.13044752784834865,0.2220589675776276,85,0.20224681421864518,0.21165509682133724,71,-0.032967032967032975,0.2857142857142857,14
insula,0.19134258354504594,0.07941794277380526,85,0.18031522468142186,0.10748995250274025,71,0.3186813186813187,-0.13736263736263735,14
isthmuscingulate,0.2803791283955443,0.14432798946463363,85,0.315627095908786,0.1976982097186701,71,0.221978021978022,-0.21428571428571427,14
lateraloccipital,0.3239984365839359,0.2339874402760092,85,0.372468142186452,0.25703324808184147,71,0.1912087912087912,0.049450549450549455,14
lateralorbitofrontal,0.2640805159273012,0.10118522871975708,85,0.2518779342723005,0.060686883449031795,71,-0.02417582417582418,0.2692307692307692,14
lingual,0.4277701778385773,0.07867785505164289,85,0.4456405097250167,0.07873584216295215,71,0.21318681318681318,0.13186813186813187,14
medialorbitofrontal,0.08895837404729334,-0.11204710440678704,85,0.15164319248826288,-0.14841066861527222,71,-0.26593406593406593,0.06043956043956044,14
middletemporal,0.2691225327340238,0.3092369477911647,85,0.33890006706908116,0.3301059554256486,71,-0.05054945054945055,0.38461538461538464,14
paracentral,0.6908344733242133,0.2153772479135216,85,0.6507042253521126,0.12978187008553346,71,0.7538461538461538,0.7142857142857143,14
parahippocampal,0.23462966581981629,-0.029940901818656745,85,0.25905432595573435,-0.0473876507124589,71,0.054945054945054944,0.1758241758241758,14
parsopercularis,0.5067031463748289,0.3128084849388669,85,0.5565392354124749,0.2975182455206824,71,-0.002197802197802198,0.38461538461538464,14
parsorbitalis,0.19355090873558725,-0.09731065182137766,85,0.18574782025486247,-0.17248812568505664,71,-0.07692307692307693,0.1868131868131868,14
parstriangularis,0.44694156732460427,0.1332273986338913,85,0.42287055667337353,0.13028982727824553,71,0.6263736263736264,0.19780219780219782,14
pericalcarine,0.47385186632792653,0.29358626919602526,85,0.44671361502347406,0.2603215199123128,71,0.7318681318681319,0.6813186813186813,14
postcentral,0.34371702169239793,0.11489861886570672,85,0.2867873910127431,0.09214468396054074,71,0.5252747252747253,0.2912087912087912,14
posteriorcingulate,0.5991792065663475,0.034425712085997574,85,0.5238095238095237,-0.03765105636854516,71,0.8505494505494505,0.6538461538461539,14
precentral,0.41178424858315416,0.20806260271438057,85,0.36381623071763913,0.191669711362806,71,0.665934065934066,0.33516483516483514,14
precuneus,0.5552081297635334,0.3263895691165747,85,0.4856472166331321,0.2669345999269273,71,0.6263736263736264,0.7967032967032966,14
rostralanteriorcingulate,0.4000390854016025,0.13938681555490257,85,0.34208584842387657,0.07668980635732554,71,0.6835164835164835,0.4725274725274725,14
rostralmiddlefrontal,0.40113347664647253,0.0925238629285695,85,0.37441314553990607,0.08944426181570549,71,0.6351648351648352,0.07142857142857142,14
superiorfrontal,0.2818057455540356,-0.11624819059435576,85,0.21710261569416497,-0.1688344903178663,71,0.6175824175824175,0.19230769230769232,14
superiorparietal,0.36748094586671876,0.1983369432004849,85,0.30087189805499664,0.1277322591600523,71,0.7274725274725276,0.6263736263736264,14
superiortemporal,0.25985929255423096,0.2647010807457472,85,0.3857478202548625,0.2976251370113263,71,-0.07692307692307693,0.0,14
supramarginal,0.42335352745749455,0.26143598785385447,85,0.4566398390342052,0.2838509316770187,71,0.367032967032967,0.14835164835164835,14
transversetemporal,0.4241156927887434,0.24574177468682318,85,0.4579812206572769,0.2451223967848009,71,0.26153846153846155,0.3186813186813187,14
