Region,r_synth_pool,r_asl_pool,n_pool,r_synth_dev,r_asl_dev,n_dev,r_synth_ho,r_asl_ho,n_ho
Accumbens,0.5677936290795388,0.005256986515536447,85,0.5732059020791415,0.023541247484909454,71,0.6879120879120879,-0.09010989010989012,14
Amygdala,0.40271643541137386,0.21457885479773303,85,0.4002347417840375,0.13081824279007376,71,0.4241758241758242,0.6395604395604396,14
AngularGyrus,0.5021301543873363,0.2979871018174712,85,0.58336686787391,0.35342052313883293,71,0.2571428571428571,0.054945054945054944,14
Brain-Stem,0.025991792065663474,-0.17078366230213016,85,0.06146881287726357,-0.12927565392354123,71,-0.2087912087912088,-0.5340659340659341,14
Caudate,0.8127222982216142,0.41416845808090674,85,0.8033199195171026,0.33521126760563374,71,0.9076923076923077,0.8153846153846154,14
CentralOpercularCortex,0.46224350205198356,0.28202071526284933,85,0.442655935613682,0.3255533199195171,71,0.4945054945054946,0.23076923076923075,14
CingulateGyrusanteriordivision,0.6746922024623804,0.3836623021301544,85,0.6709590878604962,0.3340710932260228,71,0.7406593406593407,0.6747252747252748,14
CingulateGyrusposteriordivision,0.5067422317764314,0.18080906781317177,85,0.4853454057679409,0.2608316566063045,71,0.665934065934066,0.03736263736263736,14
CunealCortex,0.5182724252491695,0.3436779362907954,85,0.5089201877934272,0.3116029510395707,71,0.44175824175824174,0.6043956043956044,14
FrontalMedialCortex,0.18774672659761577,-0.02466288841117843,85,0.27521797451374913,0.037458081824279,71,-0.17362637362637365,-0.27472527472527475,14
FrontalOperculumCortex,0.4999804572991987,0.3789329685362517,85,0.46344735077129434,0.43490945674044257,71,0.665934065934066,0.04615384615384615,14
FrontalOrbitalCortex,0.27666601524330664,0.08839163572405707,85,0.3371898054996646,0.12065727699530515,71,-0.06373626373626373,-0.01098901098901099,14
FrontalPole,0.3593316396325973,0.11690443619308187,85,0.3911804158283031,0.15747820254862507,71,0.2879120879120879,0.01098901098901099,14
HeschlsGyrus,0.5859878835255032,0.33548954465507136,85,0.6044265593561368,0.3045942320590208,71,0.3538461538461538,0.3934065934065934,14
Hippocampus,0.5645299980457299,0.07660738714090287,85,0.5020456069751844,-0.03128772635814889,71,0.9076923076923077,0.5692307692307692,14
InferiorFrontalGyrusparsopercularis,0.5494430330271642,0.291967949970686,85,0.551441985244802,0.31837692823608316,71,0.5736263736263736,0.3142857142857143,14
InferiorFrontalGyrusparstriangularis,0.28647645104553454,0.2521399257377369,85,0.2791079812206573,0.2560026827632461,71,0.4461538461538462,0.38461538461538464,14
InferiorTemporalGyrusanteriordivision,0.13031072894273987,0.0803205002931405,85,0.2809859154929577,0.08973843058350099,71,-0.27472527472527475,-0.02857142857142857,14
InferiorTemporalGyrusposteriordivision,0.1637482900136799,0.06712917725229627,85,0.3097920858484238,0.13943661971830984,71,-0.3098901098901099,-0.2571428571428571,14
InferiorTemporalGyrustemporooccipitalpart,0.27647058823529413,0.3761188196208716,85,0.4057008718980549,0.43286384976525816,71,-0.45494505494505494,0.02857142857142857,14
InsularCortex,0.45962478014461605,0.3449872972444792,85,0.4158283031522467,0.3451710261569416,71,0.6615384615384616,0.3626373626373627,14
IntracalcarineCortex,0.43531366034786007,0.22466288841117843,85,0.4610328638497652,0.1726693494299128,71,0.24835164835164836,0.4769230769230769,14
JuxtapositionalLobuleCortex,0.8390072307992964,0.28972053937854214,85,0.8231723675385647,0.2855130784708249,71,0.8373626373626375,0.18681318681318684,14
LateralOccipitalCortexinferiordivision,0.2240766073871409,0.3312878639828024,85,0.35663983903420515,0.2909456740442655,71,-0.3626373626373627,0.5252747252747253,14
LateralOccipitalCortexsuperiordivision,0.44594488958374046,0.3780730897009967,85,0.48474178403755863,0.37209926224010725,71,0.22637362637362637,0.4813186813186813,14
LingualGyrus,0.667265976157905,0.06957201485245261,85,0.7123407109322601,-0.002749832327297116,71,0.45494505494505494,0.2967032967032967,14
MiddleFrontalGyrus,0.5481532147742818,0.21559507523939808,85,0.5398725687458081,0.210093896713615,71,0.6483516483516484,0.2571428571428571,14
MiddleTemporalGyrusanteriordivision,0.2859878835255032,0.10211061168653508,85,0.37679409792085844,0.18853118712273642,71,0.006593406593406593,-0.178021978021978,14
MiddleTemporalGyrusposteriordivision,0.4016611295681063,0.07609927692007035,85,0.49543930248155593,0.16066398390342052,71,-0.1164835164835165,-0.2527472527472528,14
MiddleTemporalGyrustemporooccipitalpart,0.32438929059996086,0.32948993550908734,85,0.4020791415157612,0.33886653252850435,71,-0.002197802197802198,0.2879120879120879,14
OccipitalFusiformGyrus,0.38614422513191327,0.004866132499511432,85,0.5762240107310529,-0.021428571428571425,71,-0.5648351648351648,0.18681318681318684,14
OccipitalPole,0.42128200117256204,0.39536837991010354,85,0.5308853118712273,0.40415828303152246,71,-0.032967032967032975,0.4021978021978022,14
Pallidum,0.14524135235489544,0.045671291772522965,85,0.11730382293762573,0.010798122065727698,71,0.15604395604395604,0.12967032967032965,14
ParacingulateGyrus,0.7381278092632402,0.4937463357435998,85,0.7375586854460093,0.4355801475519785,71,0.6835164835164835,0.7098901098901099,14
ParahippocampalGyrusanteriordivision,0.345202266953293,0.10578463943717023,85,0.3942655935613682,0.123775989268947,71,0.410989010989011,-0.002197802197802198,14
ParahippocampalGyrusposteriordivision,0.452608950556967,0.06095368379910104,85,0.43044936284372903,-0.012508383635144196,71,0.5164835164835165,0.2,14
ParietalOperculumCortex,0.46044557357826854,0.2589603283173735,85,0.45955734406438625,0.31666666666666665,71,0.5736263736263736,0.2351648351648352,14
PlanumPolare,0.5179988274379519,0.29157709595466097,85,0.5351777330650569,0.26881287726358144,71,0.2923076923076923,0.4769230769230769,14
PlanumTemporale,0.5556380691811609,0.2370920461207739,85,0.5740778001341381,0.22136150234741783,71,0.3626373626373627,0.4241758241758242,14
PostcentralGyrus,0.621203830369357,0.21432479968731677,85,0.599329309188464,0.21160295103957072,71,0.7406593406593407,0.367032967032967,14
PrecentralGyrus,0.6307406683603675,0.20930232558139536,85,0.5976190476190476,0.22159624413145537,71,0.7098901098901099,0.24395604395604395,14
PrecuneousCortex,0.63421926910299,0.34727379323822555,85,0.6415492957746478,0.33655264922870554,71,0.5956043956043956,0.45494505494505494,14
SubcallosalCortex,0.4667383232362713,0.07539573969122532,85,0.49855801475519773,0.1231723675385647,71,0.3318681318681319,-0.17362637362637365,14
SuperiorFrontalGyrus,0.6347664647254251,0.11479382450654682,85,0.650637156270959,0.12397719651240775,71,0.5076923076923077,0.1252747252747253,14
SuperiorParietalLobule,0.6673050615595075,0.2895641977721321,85,0.6432595573440643,0.3155600268276324,71,0.7406593406593407,0.2571428571428571,14
SuperiorTemporalGyrusanteriordivision,0.37310924369747905,0.046511627906976744,85,0.44889336016096576,0.12977867203219315,71,0.0857142857142857,-0.1384615384615385,14
SuperiorTemporalGyrusposteriordivision,0.3390658589017002,0.22069572014852454,85,0.39010731052984565,0.28799463447350765,71,0.02417582417582418,0.0945054945054945,14
SupracalcarineCortex,0.5322259136212625,0.31168653507914795,85,0.5744802146210597,0.25583501006036213,71,0.39780219780219783,0.6483516483516484,14
SupramarginalGyrusanteriordivision,0.4824115692788743,0.23132694938440493,85,0.4854460093896713,0.2723675385647216,71,0.5032967032967033,0.178021978021978,14
SupramarginalGyrusposteriordivision,0.46077779949188974,0.32059800664451826,85,0.5044936284372904,0.3419517102615694,71,0.3142857142857143,0.3626373626373627,14
TemporalFusiformCortexanteriordivision,0.2923783466875122,0.12177056869259333,85,0.3131120053655264,0.14768611670020118,71,0.45054945054945056,-0.059340659340659345,14
TemporalFusiformCortexposteriordivision,0.37723275356654296,0.07351964041430525,85,0.4133802816901408,0.12488262910798122,71,0.3142857142857143,-0.2967032967032967,14
TemporalOccipitalFusiformCortex,0.3031072894273989,0.04279851475473911,85,0.36371562709590877,0.043158953722334005,71,-0.01098901098901099,0.07692307692307693,14
