Region,r_synth_pool,r_asl_pool,n_pool,r_synth_dev,r_asl_dev,n_dev,r_synth_ho,r_asl_ho,n_ho
Amygdala,0.30327900141237546,0.31133335878153984,68,0.2931188286320711,0.20040604140391893,58,0.3696969696969697,0.41818181818181815,10
Caudate,0.7171050120242775,0.23727907775699505,68,0.7120797317665878,0.21966224737764928,58,0.8909090909090909,0.2606060606060606,10
Hippocampus,0.4197808909417109,0.2754132152536549,68,0.42908117752007147,0.3274477836906703,58,0.2727272727272727,-0.10303030303030303,10
Pallidum,0.48043669122418586,0.2125815933122113,68,0.48820326678765885,0.20625057676335784,58,0.5030303030303029,0.2727272727272727,10
Thalamus,0.22659083101118443,0.25426575562087256,68,0.2116029407241072,0.2550370666584638,58,0.5030303030303029,0.12727272727272726,10
caudalanteriorcingulate,0.46047257319540397,0.39439630492041067,68,0.413208649912332,0.43111138453966596,58,0.5151515151515151,0.29696969696969694,10
caudalmiddlefrontal,0.4986448830018703,0.46123601939153336,68,0.5213633147743703,0.413208649912332,58,0.309090909090909,0.7939393939393938,10
cuneus,0.8054739092262472,0.43306485475436113,68,0.807560983112369,0.4076102002522379,58,0.9030303030303028,0.6848484848484848,10
entorhinal,0.40069473603847766,0.18379967171813563,68,0.38337075886677535,0.21277184779599498,58,0.5393939393939393,-0.12727272727272726,10
fusiform,0.28655952971714316,0.165247929152193,68,0.3442431326709527,0.177273985665508,58,0.07878787878787878,-0.05454545454545454,10
inferiorparietal,0.3578272321258159,0.3529793487803947,68,0.44304654095788865,0.3120059060567843,58,-0.13939393939393938,0.41818181818181815,10
inferiortemporal,0.3547352750314921,0.33534374164980724,68,0.4015195791934542,0.3611000030760713,58,0.04242424242424241,-0.006060606060606061,10
insula,0.37569187311524216,0.4037103485131885,68,0.4053339075332985,0.39426005106278267,58,0.07878787878787878,0.3696969696969697,10
isthmuscingulate,0.5492995381150513,0.4587929915639194,68,0.5275769786828264,0.44999846196437915,58,0.7939393939393938,0.5030303030303029,10
lateraloccipital,0.644959346490056,0.4551284498224987,68,0.6575717493617154,0.4194223138207881,58,0.5757575757575757,0.7575757575757575,10
lateralorbitofrontal,0.32858724281406265,0.11779974806275528,68,0.33919837583438434,0.10769325417576672,58,0.22424242424242422,0.19999999999999998,10
lingual,0.7056914913921442,0.3010268351337939,68,0.7043895536620629,0.272693715586453,58,0.6848484848484848,0.709090909090909,10
medialorbitofrontal,0.6354544413482459,0.5320456540825286,68,0.613030237780307,0.4261281491279338,58,0.7696969696969697,0.8545454545454544,10
middletemporal,0.34752070847807,0.3540100011451693,68,0.4035497862130487,0.4713463963825403,58,0.19999999999999998,-0.3939393939393939,10
paracentral,0.5702179638889948,0.4531434897125624,68,0.5573533483035468,0.43904764834353566,58,0.6727272727272726,0.5151515151515151,10
parahippocampal,0.35965950299652627,-0.014658166965683093,68,0.40527238610846233,-0.025069980620751182,58,0.01818181818181818,-0.0303030303030303,10
parsopercularis,0.620643585143337,0.23407260373325187,68,0.5681195976498816,0.25608293088067924,58,0.7818181818181817,0.16363636363636364,10
parsorbitalis,0.42699545749513296,0.2370882162079627,68,0.348672675259159,0.19019348488110988,58,0.8060606060606059,0.35757575757575755,10
parstriangularis,0.3527503149215559,0.3952360957361529,68,0.28819711464517517,0.39358331538958446,58,0.7454545454545454,0.13939393939393938,10
pericalcarine,0.3021720044279879,0.05714394778028018,68,0.3276323479651789,0.03300624442462088,58,-0.19999999999999998,0.309090909090909,10
postcentral,0.5368171928083368,0.16761461236019387,68,0.5304069642252914,0.0862222769079332,58,0.41818181818181815,0.5515151515151515,10
posteriorcingulate,0.43692025804481427,0.28060464938733437,68,0.38583161586022335,0.19320803469808362,58,0.6848484848484848,0.4666666666666666,10
precentral,0.548459747299309,0.3244646333549643,68,0.5678735119505368,0.34774985388661606,58,0.29696969696969694,0.23636363636363633,10
precuneus,0.48639157155399465,0.21639882429285792,68,0.44587652650035375,0.12830293149589345,58,0.7333333333333332,0.7333333333333332,10
rostralanteriorcingulate,0.33290071382219333,0.32725121197083634,68,0.286289950475253,0.2809375865145037,58,0.7696969696969697,0.5393939393939393,10
rostralmiddlefrontal,0.5129594991792953,0.4035194869641561,68,0.49287889507521004,0.38767725860530927,58,0.6121212121212121,0.6,10
superiorfrontal,0.43951597511165397,0.3455739206779402,68,0.4299424774677782,0.35217939647482244,58,0.3696969696969697,-0.16363636363636364,10
superiorparietal,0.5727755086460281,0.3909226247280222,68,0.5720569688393984,0.40336522193854013,58,0.5515151515151515,0.309090909090909,10
superiortemporal,0.22071229530098865,0.4060770317211895,68,0.21357162631886556,0.45535082592512843,58,0.2727272727272727,0.35757575757575755,10
supramarginal,0.39351834179486195,0.17574531434897123,68,0.36848257405641516,0.18465655664585193,58,0.5272727272727272,0.0303030303030303,10
transversetemporal,0.29156010230179025,0.07894033667977249,68,0.2306130609984927,0.16589252207081118,58,0.709090909090909,-0.4787878787878787,10
