Region,r_synth_pool,r_asl_pool,n_pool,r_synth_dev,r_asl_dev,n_dev,r_synth_ho,r_asl_ho,n_ho
Accumbens,0.6372867122189563,0.2965606748864374,68,0.6514811283029315,0.2638346304100403,58,0.6484848484848483,0.32121212121212117,10
Amygdala,0.40103828682673587,0.15475054395541474,68,0.4047186932849365,0.05336983604540282,58,0.29696969696969694,0.6848484848484848,10
AngularGyrus,0.5362064358514333,0.32744207351986865,68,0.5772862899504754,0.32178781260573996,58,0.06666666666666665,0.16363636363636364,10
Brain-Stem,0.3061037523380539,-0.17906630530213383,68,0.3050539850502938,-0.14368328770494326,58,0.32121212121212117,-0.4424242424242424,10
Caudate,0.7442073519868686,0.098789937779135,68,0.7104186532960105,0.04321880094742995,58,0.8666666666666665,0.29696969696969694,10
CentralOpercularCortex,0.5674313852731228,0.1518112761003168,68,0.5488633916761513,0.20446645544310807,58,0.3939393939393939,-0.2727272727272727,10
CingulateGyrusanteriordivision,0.4087490934076421,0.36214070313394664,68,0.29890184256667385,0.259405087821834,58,0.8424242424242423,0.9272727272727272,10
CingulateGyrusposteriordivision,0.4226819864870022,0.318547925334962,68,0.42083730659202073,0.32904734073641145,58,0.6606060606060605,0.5151515151515151,10
CunealCortex,0.48181089437721875,0.3845478489903424,68,0.49367867359808054,0.33938294010889297,58,0.24848484848484845,-0.006060606060606061,10
FrontalMedialCortex,0.29713325953353437,0.3259533534374165,68,0.30013227106339785,0.37340428804331116,58,0.6,0.0303030303030303,10
FrontalOperculumCortex,0.5816696568309347,0.48299423598121916,68,0.5559998769571504,0.46734750376818734,58,0.6242424242424242,0.29696969696969694,10
FrontalOrbitalCortex,0.3987097759285414,0.45596824063824093,68,0.42335968501030485,0.45707342582054206,58,0.04242424242424241,0.49090909090909085,10
FrontalPole,0.2341871206626713,0.33606901553613006,68,0.1963456273647298,0.3131132917038359,58,0.6,0.5272727272727272,10
HeschlsGyrus,0.33656525556361416,0.11337176012520517,68,0.27958411516810733,0.15709495831923467,58,0.12727272727272726,-0.43030303030303024,10
Hippocampus,0.525212810627171,0.27907775699507575,68,0.5533544556891937,0.3475652896121074,58,0.2727272727272727,-0.6363636363636362,10
InferiorFrontalGyrusparsopercularis,0.3897011108142154,0.21296331641027594,68,0.41302408563782345,0.22864437540373436,58,-0.3939393939393939,-0.07878787878787878,10
InferiorFrontalGyrusparstriangularis,0.34870405008207045,0.3522540748940718,68,0.3274477836906703,0.40348826478821254,58,0.5878787878787878,-0.2606060606060606,10
InferiorTemporalGyrusanteriordivision,0.39840439745008965,0.46264839485437265,68,0.416592328278323,0.4665477252453167,58,0.2606060606060606,0.2727272727272727,10
InferiorTemporalGyrusposteriordivision,0.4191701339848074,0.35359010573729815,68,0.428650527546218,0.3284321264880495,58,0.28484848484848485,0.6121212121212121,10
InferiorTemporalGyrustemporooccipitalpart,0.2431194411573844,0.174905523533229,68,0.2810606293641761,0.15912516533882926,58,0.24848484848484845,0.309090909090909,10
InsularCortex,0.5616291941825399,0.4589075084933389,68,0.5707650189178382,0.5035221015718725,58,0.406060606060606,0.23636363636363633,10
IntracalcarineCortex,0.6542733900828338,0.49135397182883533,68,0.6479744070872682,0.5318834784213603,58,0.7939393939393938,0.2121212121212121,10
JuxtapositionalLobuleCortex,0.48261251288315454,0.27365728900255754,68,0.4095173644221601,0.16435448644990622,58,0.7454545454545454,0.8909090909090909,10
LateralOccipitalCortexinferiordivision,0.3670267587891743,0.41756689697293575,68,0.38054077332431024,0.4365867913500877,58,0.06666666666666665,0.18787878787878787,10
LateralOccipitalCortexsuperiordivision,0.329350689010192,0.2968278810550826,68,0.3177273985665508,0.30400812082807843,58,0.4787878787878787,0.13939393939393938,10
LingualGyrus,0.5373516051456273,0.18635721647516887,68,0.5523701128918147,0.16515426497277677,58,0.4666666666666666,0.3939393939393939,10
MiddleFrontalGyrus,0.4466541970454632,0.41313890903538564,68,0.46254883263096375,0.39776677227844603,58,0.29696969696969694,0.6242424242424242,10
MiddleTemporalGyrusanteriordivision,0.4695957552391494,0.42428522349887393,68,0.5485557845519703,0.48961825955889143,58,-0.09090909090909088,-0.01818181818181818,10
MiddleTemporalGyrusposteriordivision,0.34061152040309955,0.2942703362980494,68,0.38417053738964596,0.39112245839613646,58,-0.0303030303030303,-0.43030303030303024,10
MiddleTemporalGyrustemporooccipitalpart,0.32362484253922197,0.26384700538229566,68,0.31944999846196437,0.27201697991325485,58,0.41818181818181815,0.2121212121212121,10
OccipitalFusiformGyrus,0.35477344734129856,0.16662213230522577,68,0.3558706819649944,0.11667538220185181,58,0.4787878787878787,0.5393939393939393,10
OccipitalPole,0.40294690231705915,0.17085925869374352,68,0.4047802147097727,0.23885693192654345,58,0.5272727272727272,-0.5636363636363636,10
Pallidum,0.7106538916669847,0.04302019315188762,68,0.6904241902242456,-0.015226552646959306,58,0.8303030303030302,0.32121212121212117,10
ParacingulateGyrus,0.4598236439286941,0.28816276672901475,68,0.383555323141284,0.2723245870374358,58,0.8303030303030302,0.24848484848484845,10
ParahippocampalGyrusanteriordivision,0.4249723250753903,0.2496469061342902,68,0.43874004121935467,0.2928112215078902,58,0.38181818181818183,0.01818181818181818,10
ParahippocampalGyrusposteriordivision,0.5284956292705271,0.01553613009123182,68,0.5545233627610816,0.038973822633732204,58,0.13939393939393938,-0.06666666666666665,10
ParietalOperculumCortex,0.6921021491010421,0.12467076382791921,68,0.7111569103940447,0.16687686486819034,58,0.3939393939393939,-0.2121212121212121,10
PlanumPolare,0.4362713287781043,0.1906325151734931,68,0.5300378356762744,0.2281522040050448,58,-0.3696969696969697,-0.19999999999999998,10
PlanumTemporale,0.5712486162537695,0.17001946787800126,68,0.5544618413362454,0.13021009566581562,58,0.6,0.35757575757575755,10
PostcentralGyrus,0.5254036721762033,0.33675611711264647,68,0.5119505367744317,0.2863514719000892,58,0.7212121212121211,0.7939393939393938,10
PrecentralGyrus,0.3913806924456999,0.24331030270641674,68,0.3924759297425329,0.22858285397889816,58,0.4787878787878787,0.309090909090909,10
PrecuneousCortex,0.6459518265450241,0.3879833568729244,68,0.6018333384601188,0.3881079085791627,58,0.9030303030303028,0.5636363636363636,10
SubcallosalCortex,0.20353475588807873,0.18231095163568345,68,0.1730905287766465,0.1780737641883786,58,0.6,0.32121212121212117,10
SuperiorFrontalGyrus,0.5143718746421345,0.47398557086689314,68,0.4909102094804516,0.5320065212710327,58,0.309090909090909,-0.406060606060606,10
SuperiorParietalLobule,0.5679276253006069,0.32923617208077255,68,0.5496016487741857,0.3047463779261128,58,0.5030303030303029,0.6,10
SuperiorTemporalGyrusanteriordivision,0.40340497003473674,0.1213879451845631,68,0.5028453658986743,0.21147989787443477,58,-0.29696969696969694,-0.5878787878787878,10
SuperiorTemporalGyrusposteriordivision,0.514486391571554,0.16314845211283732,68,0.5868836322249225,0.2187394260051063,58,-0.2727272727272727,0.12727272727272726,10
SupracalcarineCortex,0.6809176623277474,0.3670267587891743,68,0.6853794333876774,0.34621181826571107,58,0.7939393939393938,0.6848484848484848,10
SupramarginalGyrusanteriordivision,0.553040424476085,0.20990953162575868,68,0.5767941185517858,0.2101879479528746,58,0.10303030303030303,0.13939393939393938,10
