Region,d_real_pool,d_synth_pool,d_asl_pool,d_real_dev,d_synth_dev,d_asl_dev,d_real_ho,d_synth_ho,d_asl_ho
Amygdala,-0.5059244863487412,-0.5942359279105959,0.0817527811789872,-0.2698713364541702,-0.6413400209135878,0.12216490948477526,-2.3456487831855304,-0.7162626449211535,-0.7145257858019163
CC_Anterior,-0.20507121100835107,-0.1529731916343706,-0.10523249187422175,-0.04576198149948987,-0.09989442465527767,-0.10073412111632418,-1.1350466966106294,-0.4232420717423422,-0.055233587797344455
CC_Central,0.6214609883015305,0.6157004525067403,0.1271492301143013,0.6982899566765269,0.6582263903222322,-0.11293151925073895,-0.04758783254021283,0.7577702120845003,0.7569991066469152
CC_Mid_Anterior,0.19217838052853253,0.3498581828321756,0.08875022514780166,0.28388060267472176,0.3896883621870365,-0.04533603641518717,-0.760479033024226,0.13180602639813724,0.7030025353080277
CC_Mid_Posterior,0.1891376106020691,0.44059636078646247,0.012721693208582574,0.459534426039696,0.533209720653675,-0.08710110159603338,-0.7810469138516328,0.5892974616780116,0.6846422988065476
CC_Posterior,0.38432409624906466,0.38772982741077733,-0.38399197986896494,0.4994294997367719,0.6017052139885322,-0.5125874958853618,-0.2428336439497415,0.49435033883691265,0.7323568006797372
Caudate,-0.07255298813136317,0.0651087058516196,-0.29171940104410254,0.2277438498664137,0.018395251554261683,-0.19369971719864568,-1.0050026783198804,0.22458148348849138,-0.9690815932193502
Hippocampus,-0.8911316235094684,-0.7500992940736086,0.07482153374035197,-0.6766675540718858,-0.8199148794019795,0.11907683288740349,-3.3614135784643184,-0.42977054660854735,-0.7367766012370294
Pallidum,0.33121731777267316,0.5506698521793633,0.24272922787979123,0.5841686334992935,0.7470963836026959,0.13946865796325894,-0.27592624339057775,0.4612099411270339,0.7946244772828438
Thalamus,0.20577677715467538,0.038802679715732924,-0.357599223723716,0.47892637977687685,0.17070081719905614,-0.40445785738545825,-0.49644957294647524,-0.29464338591395817,-0.14512803684833456
caudalanteriorcingulate,-0.05069062640722949,-0.10614733280039597,-0.2117826186455317,-0.1548752530502178,-0.2187685467872022,-0.43051888963968427,0.062229865355494365,0.08977967525871625,0.352737659580772
caudalmiddlefrontal,-0.21900736936496484,-0.2932978348426739,-0.703697658472597,-0.37653421116157826,-0.5431517696080029,-0.7163235965815615,0.3631686652423251,0.6277873630814147,-0.5979635978658591
cuneus,0.2086974940813149,0.0620267129288773,-0.4498427962885564,0.2699830848130013,0.11180904266832101,-0.5427198221360633,-0.6758533195453704,-0.6835809786371704,-0.19148467698195987
entorhinal,-0.3220378440118312,-0.32966164224954314,0.04472468337901061,-0.017927848602451692,-0.2476761895405016,0.09867331746913995,-2.471276292182594,-1.2835940182966983,-0.7698020695962705
fusiform,0.17519439169511095,-0.1741110922174052,0.11584559883105933,0.40875737742184654,-0.05822174917494162,0.12588237809158825,-2.2565704494773513,-0.8720292480485641,-0.08787958479744976
inferiorparietal,-0.04747129202865551,0.10265809509281096,-0.37299722222091103,0.008029585473396843,0.07055355853004638,-0.5062259457379993,-0.35288937052114633,0.0531056505215985,0.040307124358559425
inferiortemporal,-0.03392129902691068,-0.12090446650010092,0.0845166478335031,0.09359834145338781,0.0005543926032836481,0.1211811509773683,-0.3007172506771398,-1.1342137935890608,-0.4923733723655989
insula,-0.15691754914877498,-0.42438659356712527,-0.42381620865308633,-0.04518438356193257,-0.4657698306703285,-0.5907420271465273,-1.0487023114977898,-0.45889046228993186,0.04592627005946567
isthmuscingulate,-0.28148918318555133,-0.13071717959571694,-0.7995332088365408,-0.2357859102565905,0.009606851041341914,-0.8520818110304729,-0.7348024896572894,-0.2687796436924427,-0.1509173572247335
lateraloccipital,0.2018943169408784,-0.17356707554563458,-0.3848415489318104,0.3524570073508058,-0.0719770872523782,-0.35450638047322475,-0.7001519171609045,-1.1055951515359814,-0.7846715526467399
lateralorbitofrontal,-0.0894400756022132,-0.15980992136031516,-0.2624682553180719,-0.10748928709050247,0.011367411033254959,-0.17888775530045173,0.480626959627126,-0.6633612799281925,-0.8173033492993702
lingual,0.41384503455875465,0.01155125084357773,-0.0479850650024073,0.5238828845158119,0.11107249762893141,-0.05520950819698455,-0.5608228501805079,-0.5981991650740122,0.0058791787063360215
medialorbitofrontal,-0.03311773140786894,-0.018623077012460527,-0.2327076288964833,0.023230433723180136,0.11718524331716128,-0.14834262989255304,0.21602175692867448,-0.9627044236637461,-0.7840117875537098
middletemporal,-0.3310123981878048,-0.6378273430045485,-0.2376214801312993,-0.31334498094838764,-0.570948911245148,-0.15961542936188713,0.024630347748670536,-0.7306784207692933,-0.8082543184496244
paracentral,0.571880342332942,0.4020811237592937,-0.5297234727272527,0.5544088988351813,0.31247957548760685,-0.6012006616833037,0.24811677426806056,0.29212805023845845,-0.2493577511548779
parahippocampal,-0.1481561056657374,-0.1086510491995779,0.1210422679787209,-0.021588097060026474,-0.22307964664426383,0.12254092843694193,-2.5724229034070265,0.08275949805061877,-0.5521302966228772
parsopercularis,-0.5649081791220338,-0.7424153246710914,-0.42962039503634736,-0.6570473530576012,-0.8009430386030865,-0.5411650138226923,0.16341114707839988,-0.6114712386602914,0.05272680778085036
parsorbitalis,-0.2081161960909511,-0.5257042522305612,-0.5587084530857966,-0.14983177875865067,-0.2889705469068235,-0.5853452360256315,-0.03044871001569142,-1.5961562960787647,-1.0578180055062172
parstriangularis,-0.3378227841405221,-0.49439369206198164,-0.6461222053707066,-0.43252822753238224,-0.5746476608903538,-0.6041975475148175,0.35784362172771983,-0.039541888794829505,-1.2135165966385708
