Region,d_real_pool,d_synth_pool,d_asl_pool,d_real_dev,d_synth_dev,d_asl_dev,d_real_ho,d_synth_ho,d_asl_ho
Accumbens,-1.0503295519258968,-0.7819431484775287,0.1441471588632673,-0.9885630086514938,-0.8785131691709388,-0.05818761151456647,-1.0357194792530866,-0.7592339734592771,0.7268797038540201
Amygdala,-0.882195071117775,-0.676231187768771,-0.3572816452818134,-0.6458688457376334,-0.734777551278675,-0.44813956980497066,-2.287227180577376,-0.7417967082155205,-0.9631184631654605
AngularGyrus,-0.48896234800635596,-0.12609230435091415,-0.1997614454327244,-0.4729670627069631,-0.22708107019899937,-0.2703823607931142,-0.5186109319942165,-0.09060183578148345,-0.7483036280551034
Brain-Stem,0.34929260398432654,-0.11231233513911307,-0.1556952499294982,0.5893423248212325,-0.4227496925650722,-0.18741654575407404,-0.47947861998892616,1.3901674409582625,-0.5496523034552476
Caudate,-1.161333240195187,-0.9020443415004062,-0.10376628156598726,-1.1212397972120747,-1.014811321181114,-0.02970591884386545,-1.0208550482215049,-0.5084743526356265,-0.5777932518653309
CentralOpercularCortex,-0.2080139612932065,-0.3592023041006692,-0.06127638825169408,-0.18444539367775684,-0.5031839940239426,0.16808312387378704,-0.3443514838348821,0.47394004035935444,-0.6521992565520182
CingulateGyrusanteriordivision,-0.15170403128325577,-0.2599580582579914,-0.17408218787666688,-0.28975292651987805,-0.41009708707554476,-0.022252350418864083,-0.005465570182179654,0.13352563202089357,-0.7691815722945126
CingulateGyrusposteriordivision,-0.02241861079209389,0.10065290373925946,-0.130884152705319,-0.14430378764928986,0.05208996800890585,-0.14266441380339093,0.16317472338420982,0.4477426233401807,-0.368819531722221
CunealCortex,0.030908770443748453,0.14911275208999594,-0.18064928628353397,-0.023161198519876695,0.12011961053044991,-0.19201917142962394,-0.2596757167671324,0.004117583316104528,-0.627970973148418
FrontalMedialCortex,-0.5870215914421703,-0.5160118364516546,0.09209890457383794,-0.5700903919127327,-0.49215234202274527,-0.2939756685689567,-0.3178091595680156,-1.1317271623122058,0.7062001363029168
FrontalOperculumCortex,-0.3082202156349137,-0.1370144026338843,-0.08594376193263975,-0.24901361025590424,-0.18038440499017433,0.07031770371300806,-0.4313886844336429,0.1597761294607182,-0.5155395982062838
FrontalOrbitalCortex,-0.4390379618062504,-0.3855416150467645,0.11900111674290136,-0.4916472234726856,-0.4416141652099546,-0.30974534493194006,-0.00043129532847726123,-0.4017014362534588,0.896224103423522
FrontalPole,-0.23655242080027816,-0.35315549859022277,-0.5150826657666177,-0.28342659515762103,-0.4583792545335898,-0.5828393819099913,0.03206546368211933,-0.3984661766541582,-0.8367530231070899
HeschlsGyrus,-0.563139603401181,-0.5683281115087491,-0.14182423001045438,-0.5933479310610457,-0.6142993320267331,0.006026068042052199,-0.5217969035238875,-0.4266311460502187,-0.7469768850820134
Hippocampus,-1.19509428634052,-0.9211741920089155,-0.38095377646030243,-1.1107282048086724,-1.0123983375791386,-0.5970905007618491,-1.3890864721506058,-0.6544409815091484,-0.8811049260984111
InferiorFrontalGyrusparsopercularis,-0.19355081311657713,-0.2191260803347867,-0.19796347642476594,-0.28905275227383276,-0.3318786532754396,-0.22990075915963237,0.17266267593462103,-0.14500200840581204,-0.645267259521918
InferiorFrontalGyrusparstriangularis,-0.24829468057423165,-0.31083094183079096,-0.30393629661261296,-0.31289729525242893,-0.41747594558779727,-0.4801007272995039,0.10190335789151336,-0.28570036312332925,-0.627557898026848
InferiorTemporalGyrusanteriordivision,-0.3833627669528398,-0.5076320876649816,0.12830145673327126,-0.2541928853957564,-0.5805640985653318,-0.21361599446060373,-0.4215858856777198,-1.1865765400052426,0.6887201463743242
InferiorTemporalGyrusposteriordivision,-0.4203895430830726,-0.3186672586070118,0.1509844128165743,-0.3548354988912926,-0.38357823817743186,-0.15181181280871425,-0.3766907158215616,-0.7533878979309506,0.732023317143204
InferiorTemporalGyrustemporooccipitalpart,-0.2704669780743186,-0.1329369035342172,-0.10968762350016473,-0.13548158983257366,-0.17241720970808277,-0.0905572297484442,-0.46062199793019015,0.022850134088939947,-0.35831182978834175
InsularCortex,-0.28742879095531554,-0.2611037215410816,-0.14148221816953305,-0.24831435236028,-0.3642305041654669,-0.019868826826275613,-0.45669602688235367,0.018790116751767203,-0.6822742614883405
IntracalcarineCortex,0.18303005542701584,0.05325043376835821,-0.21248077445135585,0.24122665637609236,0.0980587088490726,-0.2893735480817726,0.0832501978868849,0.10426449987639481,-0.6425234742481173
JuxtapositionalLobuleCortex,0.28793559667822627,0.3942985373179862,-0.22742202023250316,0.14990321695933798,0.23403807829357623,-0.31032319454854596,0.3849751577579064,0.4243630427494257,-0.6808109914747983
LateralOccipitalCortexinferiordivision,-0.11203197004093161,-0.1270226985055473,-0.14451652220696773,0.1171432360371907,-0.13285212331059176,-0.13657542237355147,-1.001559424663435,-0.34610759504726424,-0.5081374598133319
LateralOccipitalCortexsuperiordivision,-0.25247533962768254,0.0640334897383355,-0.2565991088881884,-0.28370547131199575,-0.03796511330979266,-0.46464324892144776,-0.3706141085629489,-0.08759363986425613,-0.7272848703431225
LingualGyrus,0.41710423866561763,0.3163815292955662,-0.18247327964029386,0.4732780359786588,0.35523991542859634,-0.20946503527225016,0.1123846045421916,-0.030959107464292118,-0.6159286854593119
MiddleFrontalGyrus,-0.15503054031426874,-0.14167053938132734,-0.29433759731045445,-0.19477461674818194,-0.2445821931960442,-0.5431494723789607,-0.07794018659689214,-0.15198946691142115,-0.807583688793974
MiddleTemporalGyrusanteriordivision,-0.400709856711627,-0.6138462269278039,-0.06357042111189143,-0.348430817031885,-0.7430750961720046,-0.1952182378947439,-0.22455686266033406,-0.5898826652595243,0.15746286338407878
MiddleTemporalGyrusposteriordivision,-0.5397780977065473,-0.6294934456141085,-0.17264624714903667,-0.547353807031944,-0.7062882237352621,-0.17662005868796832,-0.319047727452415,-0.4854310738281051,-0.8228576879063955
MiddleTemporalGyrustemporooccipitalpart,-0.4402280066644878,-0.42302341311137315,-0.17930543714979874,-0.3722189875052742,-0.48751934379406964,-0.18665692999503564,-0.6200056940617168,-0.1896439943828802,-0.6551548736642419
OccipitalFusiformGyrus,0.17764870091497023,0.018782142637769488,-0.27137215539313114,0.3536265933361533,0.028873206871383665,-0.5387651413681716,-0.9128587584232206,-0.148709099193711,-0.6001907053453672
OccipitalPole,-0.04304913941406056,-0.02497170127582879,-0.25050899401347,0.11715769245487934,0.042843500192701535,-0.35906182958606475,-0.7457493606111552,-0.9476396135949873,-0.7321821157971037
Pallidum,0.03975760296636195,0.2621522281625977,-0.07665251689730276,0.296562840979369,0.3916800137238613,-0.22458571449956335,-0.40590088733422547,0.3980186589835018,0.9541231865246058
ParacingulateGyrus,-0.11944395542372839,-0.18043593394057983,-0.23368757574932608,-0.26135392364856663,-0.3300998720910793,-0.1784684271574982,0.08155471833210837,-0.05300952704672705,-0.8802626602257806
ParahippocampalGyrusanteriordivision,-0.6136649386143127,-0.19151512275832192,0.06001602039886093,-0.40302699241668205,-0.18573116863403114,-0.5424297651689584,-1.4941910210096896,-1.0388549108123863,0.6854909361786357
ParahippocampalGyrusposteriordivision,-0.16227396069073563,0.17661778573425924,-0.28558889329187004,-0.05199318229686355,0.06511580278637043,-0.33238371812013906,-0.7918959266621374,0.2437287353752436,-0.6907858190676222
ParietalOperculumCortex,-0.49989981827888363,-0.46960222725608775,-0.08507279124976541,-0.40408686319140424,-0.6066541938512263,0.13481848565460863,-1.0154544842246866,0.20350776442617263,-0.6232847243479837
PlanumPolare,-0.19199070301605428,-0.580369809282946,-0.17252650852068835,-0.17485842994165615,-0.6642223825856438,-0.11316522114235485,-0.3753891705994485,-0.3995935282977843,-0.7647962126602663
PlanumTemporale,-0.5815965518410374,-0.656851165364823,-0.13735545753169576,-0.625265504712424,-0.7198707309299709,-0.009348670919606866,-0.4179475960391461,-0.44199239155280046,-0.7174784890961282
PostcentralGyrus,0.11343158211131356,0.02996534869143782,-0.21832991199355967,0.02280381137257795,-0.09799234582988205,-0.2978460663250016,0.20191211563432465,0.13937621656631913,-0.7026073332490299
PrecentralGyrus,0.17224589153073033,0.05015807502025789,-0.19641475860662577,0.07170862176262949,-0.10842763955566598,-0.2660648148269292,0.2039517539290139,0.20368552535513604,-0.708324258209015
PrecuneousCortex,-0.09524882695033537,0.21839344474935513,-0.22622490759210293,-0.20845552629480868,0.118911841405931,-0.3385993641804418,-0.04208802743532427,0.27663641750852075,-0.5982926166673769
SubcallosalCortex,-0.5878006175757544,-0.3482777025093522,0.12546372191709923,-0.4817128325093082,-0.3460768800594952,-0.23862352385312607,-0.9335494809268158,-0.7411189782332871,0.7471007835048818
SuperiorFrontalGyrus,0.05258204334243569,0.060168269267811575,-0.341587061493077,-0.06517682529098727,-0.10289550135277556,-0.5460937794440271,0.30886574588622584,0.1967533930965562,-0.9064290353541149
SuperiorParietalLobule,-0.1023201940266353,0.05355985678392774,-0.32553163093986687,-0.16113417019155515,-0.016357655687366416,-0.6460428668750973,-0.10474356249659914,0.13593631489033667,-0.6714307581503982
SuperiorTemporalGyrusanteriordivision,-0.32482394566916106,-0.6495904598799648,-0.2519202762146349,-0.2504134214980272,-0.8469063243957204,-0.2097704130148607,-0.35699400982533475,-0.36430677748106777,-0.9072825707640164
SuperiorTemporalGyrusposteriordivision,-0.5067524416899353,-0.5794284544952194,-0.20900924039906946,-0.47285847914969076,-0.6437141196617315,-0.19948718033940915,-0.4143920858300406,-0.3399713837994152,-0.8141397696053699
SupracalcarineCortex,0.06530091395723704,-0.01904185990632357,-0.22471677755320255,0.07031010231677091,0.08341415685350362,-0.32201553497819513,-0.21464087365388212,-0.36138081992156007,-0.6704954342636771
SupramarginalGyrusanteriordivision,-0.3028561619466026,-0.3090055604071902,-0.22735169640366312,-0.33204326673152373,-0.44251267432634006,-0.3723008995714157,-0.17815396271918438,0.014876300815833481,-0.717319248209688
SupramarginalGyrusposteriordivision,-0.39987679518509983,-0.285803229021648,-0.23025121500219273,-0.417857074503293,-0.41936151567609714,-0.45942319931030007,-0.3425151675919231,-0.09543363756669251,-0.7206351129264371
TemporalFusiformCortexanteriordivision,-0.4136390597590566,-0.4160287650655173,0.07372776970562397,-0.16002212097645233,-0.37449524222532476,-0.38301568543046804,-1.7958656120548737,-1.2999649330244782,0.6744969473676793
TemporalFusiformCortexposteriordivision,-0.40104962628852114,-0.32753225729510776,0.08930576235343288,-0.1868212902197525,-0.28497539390098703,-0.3450158978191784,-1.294657853078241,-1.1752238199063632,0.75259586648632
TemporalOccipitalFusiformCortex,0.03873098345273812,-0.20408402105901366,-0.25764157582911196,0.1945532215699587,-0.18446229570779024,-0.31746699860630206,-0.7136750497504853,-0.10355861081568409,-0.6893147041136999
TemporalPole,-0.5130719983238775,-0.4799897737475288,0.021793652185818756,-0.41172717921194757,-0.6128012143595016,-0.3297947204610084,-0.5415331849777234,-0.5756047771447739,0.6579049910164685
Thalamus,-0.8490225663309496,-0.7109603326789129,-0.3760935757782676,-0.8414869927536611,-0.8170553315980972,-0.47336082908294147,-0.5571887630838711,-0.31959465732237674,-0.6135386229460572
