Region,d_real_pool,d_synth_pool,d_asl_pool,d_real_dev,d_synth_dev,d_asl_dev,d_real_ho,d_synth_ho,d_asl_ho
Amygdala,-1.2725255791829078,-0.3250446794218214,-0.1766799056876671,-1.22081546149608,-0.5229090511309386,-0.015103847635970806,-1.4296660365445553,0.5015032266054942,-0.7556851910995762
Caudate,-0.43725596130627287,-0.1647871235748584,0.17457313488291964,-0.4670331574573906,-0.18161683364807146,0.07723874466366049,0.11825741816224866,0.08063438910649358,0.7475430141367877
Hippocampus,-1.7442352304236093,-0.9545341055132652,-0.9659278325166868,-1.7382799474384347,-1.0435996234399296,-1.3391526170576282,-1.7326080052629655,-0.3725026460534461,0.5810129468889081
Pallidum,-0.0942386219875443,-0.0681927539430008,0.14620175446122283,-0.15061209030681727,-0.17928440009399052,0.2559515575107338,0.2500793923201757,0.38448882384093697,-0.114155459532315
Thalamus,-1.2150935454135845,-0.7349949639840464,0.01974826841044768,-1.2088110271893333,-0.5658351934996035,0.0662808636358281,-1.5100921120038278,-1.961148095494503,-0.6506456532470326
caudalanteriorcingulate,-0.5695966763209955,-0.3588339854889296,-0.47450978985057535,-0.5598537387673247,-0.4031279833527069,-0.5433074421212215,-0.778849086517319,0.2789031506730579,-0.3177515700870882
caudalmiddlefrontal,0.06761417629205152,-0.0036720120210776805,0.028785721416991056,-0.18139937782079588,0.06905463710075345,-0.09480741782699179,0.9656940372264158,-0.31241708632429865,1.539889487116625
cuneus,0.10559345479279668,0.22963759275078993,-0.159591485816941,0.03394251299357739,0.1668067440203234,-0.1215715270157011,0.23493968478551286,0.36462620265444695,-0.2800900010747507
entorhinal,-1.0463799285589945,-0.1977031045253297,0.3044284570326861,-0.9751883725354848,-0.21682374270432284,0.337070263332307,-1.3244664283614054,-0.10216332205473828,-0.6000941164110012
fusiform,-1.4629303436473495,-0.3388957996174736,-0.3763125140802273,-1.3185943487907241,-0.3217677034569468,-0.4885406965519906,-2.382403359138742,-0.12640724036901588,0.6943515244565884
inferiorparietal,-0.6160389447040739,-0.6649266520597586,-1.1788846719856239,-0.5794932489159778,-0.6828698428051939,-1.0074352486966036,-0.6991139699226953,-0.5506359242509098,-2.322200200268152
inferiortemporal,-1.9746024934245365,-0.703318029455119,-1.1238482102802048,-1.9439646257623087,-1.0888545463347443,-1.1917806490929532,-3.1531901933828896,0.7394480859342533,-0.5960935096485062
insula,-1.5449689147947723,-0.5375568499244768,-0.7530415840880974,-1.5158736671010398,-0.6369511337660302,-0.8706349221665972,-1.7323892187643406,-0.06743476394668867,0.08371471586850708
isthmuscingulate,-0.7385154636890898,-0.41837113693144745,-1.037227238632548,-0.6235097115731789,-0.3121413152916915,-1.125434253393173,-1.5748905784967797,-1.2091234154836223,-0.5141860333135172
lateraloccipital,-0.9390909407979379,-0.13183260778000808,-1.5307227410864297,-0.6915044139484019,0.022667237185997943,-1.7466350093019904,-2.590497000152367,-1.368176650126563,-0.3554872353601295
lateralorbitofrontal,-0.8872801329930652,-0.4268677221399522,-0.8173689952178751,-1.0442698537929231,-0.5181447587849033,-0.7314017960935953,-0.0009531984561387092,0.9029728157466431,-1.5093063127488269
lingual,-0.5036218445947197,-0.12014774687133786,-0.8994414143232407,-0.351236806074092,0.10612714352482563,-0.9429627260860894,-1.3766867259106246,-1.1436632993690252,-0.6913475863462074
medialorbitofrontal,-0.8411973407932388,-0.33051995523866423,-0.26941172917610556,-0.84141342227894,-0.23185295291375202,-0.17897467793740357,-0.6243770207271134,-0.6254212573565666,-0.9262642741754584
middletemporal,-1.7155116850184389,-0.5491069725500913,-1.5350587139563505,-1.5935586316734662,-0.6179848870596654,-1.8654615928576312,-3.670871593071601,-0.5352987443929442,-0.3278809474233172
paracentral,-0.21246691548385827,-0.4065939666916813,-0.224903876114014,-0.38372000312150517,-0.6692488062080638,-0.7606655608005262,0.2846810160848441,1.3373915224957902,2.1605639293569596
parahippocampal,-1.0251064941961634,-0.025885112811166126,-0.16411301813351417,-1.0816544940266979,0.18262444012760878,-0.23188061619739897,-0.5359367653602473,-0.8805394872197734,0.6051745473566602
parsopercularis,-1.1594172685610284,-0.5222694144791683,-0.5314113850797192,-1.1429708569912795,-0.21463031624964776,-0.7300682611991477,-1.0041102604838736,-3.040142053151213,0.8465139951672809
parsorbitalis,0.0597144110389553,0.07022990004500412,-0.46443054200762457,-0.06215154243010812,-0.0926551396233853,-0.540878085565586,0.29192446586856813,0.8383815478678579,-0.008750743482537127
parstriangularis,-1.1023590980661213,-0.9643889809817224,-1.0395467225145625,-1.2440025171367588,-0.9231349432261032,-1.324795708113763,-0.6573885316471313,-1.0076139760632732,1.0721215309998906
pericalcarine,0.22689964372925406,-0.03290058062700556,-0.8683241742987581,0.24437674595165673,-0.33533039830077394,-1.086843507529475,0.17628367460693412,1.3120614702655327,-0.16236039156463136
postcentral,-0.7543089620545801,-0.7118817097826362,-0.7574903423846118,-0.6369290715809759,-0.4637981317730546,-0.541242642097582,-1.7288612313456468,-2.947959799425008,-1.8034734259845688
posteriorcingulate,-0.6642231755338462,0.1757217219085705,-0.6602443805676459,-0.4885628380659505,0.3040623393889456,-0.6739665403688676,-1.2649325805558729,-0.19205106291168275,-0.5114290247123913
precentral,-0.6440146651159813,-0.6025418112702765,-0.8080110190773417,-0.9295647234590912,-0.5426910833068479,-0.8841676620342095,1.292745518501679,-1.039371228385051,-0.011157114275554735
precuneus,-0.6614780638754343,-0.14359001415250014,-0.8187269853653387,-0.3407595676650329,0.07068769296340888,-0.7355174921892009,-1.8671281880630604,-0.9276736711864466,-1.108097915243783
rostralanteriorcingulate,-0.5185441577962526,-0.12103106307079298,0.14443286169884811,-0.5281047465604183,-0.17359776560817702,0.1979272269637636,-0.41545152864726115,1.0146362514739595,-0.10407269148198167
rostralmiddlefrontal,-0.6801760182616036,-0.5215195809918227,-0.669131970977992,-0.5457750775418131,-0.3113509855627151,-0.7239825874264088,-1.0297874872613209,-2.1657272978031346,0.1137836268991877
superiorfrontal,-0.8654197696076025,-0.3397085701377939,-0.8897315796191826,-0.8613304722823988,-0.2736520740071135,-1.0138596705820342,-0.6540971364668059,-0.5921149977019189,0.4256398769068959
