Region,d_real_pool,d_synth_pool,d_asl_pool,d_real_dev,d_synth_dev,d_asl_dev,d_real_ho,d_synth_ho,d_asl_ho
Accumbens,-0.6993263948952546,-0.5922561991305019,-0.3836661533023596,-0.6958639453399511,-0.6730634344187709,-0.24085095466209464,-1.2969586818150005,0.027184024392552665,-0.5803732649142807
Amygdala,-0.9855842150329135,-0.4506473918048602,-0.3469034829717243,-1.034600578633173,-0.6974552025952979,-0.23905576837050857,-0.5952369907825814,0.7149667080065355,-0.9417894414389931
AngularGyrus,-0.08370725008127058,-0.39957118574048023,-0.9924787515812906,-0.03638259882548128,-0.5021075147753841,-0.8730995768872699,-0.5772358918111923,0.09943773550887011,-1.475922211745842
Brain-Stem,0.009220890133803119,0.4311866594857819,-0.0492984526669535,0.05230415875882234,0.5147131161446037,-0.0883216608306309,-0.31460656800189674,-0.02739137664531745,0.4849344701859653
Caudate,-0.8150592580556838,-0.07639255840787788,0.4206383822548111,-0.8079019757725272,0.02987721944332379,0.415247725300999,-0.6052273888893538,-0.4385594489504429,0.4760016087455728
CentralOpercularCortex,-1.505448425899648,-0.8273483149263067,-0.7218814058067324,-1.360821670988056,-0.7297153010523345,-1.0065598543437362,-2.4918274175682242,-1.0044216475053254,0.24415595887992225
CingulateGyrusanteriordivision,-0.3506816665775861,0.1584076483460993,-0.2132440809628833,-0.31175372170259147,0.1359980097858186,-0.3735752543626341,-0.32721290399672953,0.5893178235541734,0.5642087827258466
CingulateGyrusposteriordivision,-0.2965313516838181,-0.014202731205807182,-0.10619906941168325,-0.16805206022406008,0.13555265357671725,-0.2020992026213217,-0.712516166209881,-0.6224493911380624,0.3169387625482707
CunealCortex,-0.19401292312239116,-0.2573560530730123,-0.34006620747373967,-0.1178945638071592,-0.18367462656740005,-0.3293895451113171,-0.3185450935004299,-0.5459287264075403,-0.015074929472032582
FrontalMedialCortex,-0.9425244164007502,-0.34547321784980756,-0.3652544524700201,-1.2831605492307867,-0.3485019811052079,-0.37767826317551784,0.3926840291964283,-0.011790463048609732,-0.001202002436541929
FrontalOperculumCortex,-1.1260502205810239,-0.5701857552505488,-0.9943413551486107,-1.2045765279866403,-0.5376905322721215,-1.0105697540698642,-0.678957348271063,-0.9892125940975602,-1.1485540014981421
FrontalOrbitalCortex,-0.8450137061160868,-0.5094476723892589,-0.9197297653137855,-0.8285894627626224,-0.5413058948240362,-0.9606879492816536,-0.9124905324918045,-0.14774746590356508,-0.46455440296737727
FrontalPole,-0.707363757537929,-0.5936081074134679,-0.8296045783149875,-0.6810092745777523,-0.5855628825777041,-0.9147980819784076,-0.6273401414730845,-0.8555139153894449,-0.02108387141308176
HeschlsGyrus,-0.8504616419723112,-0.5697860233311538,-0.7512545567154097,-0.8198639824164674,-0.9899192454504371,-1.1852316590508338,-1.6224357546622605,0.5206300697573946,1.3147748235658543
Hippocampus,-1.4546374375889313,-0.6604719438669557,-0.941957860030564,-1.3664477200992144,-0.7314341885533014,-1.1760119628260857,-1.8960047402643014,-0.16404347193145252,0.775432180122453
InferiorFrontalGyrusparsopercularis,-0.38893059959515386,-0.3651011769446603,-0.6205067426108718,-0.47869138556552837,-0.242184523028474,-0.7643074905074559,0.5205228740004226,-2.790477607349789,0.30264916005572157
