Region,n_pool,cong_synth_pool,cong_asl_pool,n_dev,cong_synth_dev,cong_asl_dev,n_ho,cong_synth_ho,cong_asl_ho,n_folds,fold_mean_synth,fold_sd_synth,fold_mean_asl,fold_sd_asl
Amygdala,85,0.611764705882353,0.5176470588235295,71,0.6197183098591549,0.49295774647887325,14,0.5714285714285714,0.6428571428571429,10,0.6232142857142857,0.2995709800845929,0.4946428571428571,0.19634738582004943
Caudate,85,0.4823529411764706,0.4823529411764706,71,0.4647887323943662,0.5070422535211268,14,0.5714285714285714,0.35714285714285715,10,0.46607142857142864,0.18102481319752076,0.5053571428571428,0.2564433276030181
Hippocampus,85,0.6588235294117647,0.5529411764705883,71,0.6619718309859155,0.5774647887323944,14,0.6428571428571429,0.42857142857142855,10,0.6624999999999999,0.16548261378420576,0.5785714285714285,0.17317234805683984
Pallidum,85,0.6,0.6470588235294118,71,0.647887323943662,0.676056338028169,14,0.35714285714285715,0.5,10,0.6535714285714285,0.20065793142105515,0.6785714285714285,0.15521910488577736
Thalamus,85,0.47058823529411764,0.5529411764705883,71,0.4507042253521127,0.5352112676056338,14,0.5714285714285714,0.6428571428571429,10,0.45357142857142857,0.2345268310175196,0.5357142857142857,0.23145502494313788
caudalanteriorcingulate,85,0.611764705882353,0.4,71,0.6338028169014085,0.352112676056338,14,0.5,0.6428571428571429,10,0.6357142857142857,0.1446318337951185,0.35,0.2391642667399559
caudalmiddlefrontal,85,0.7529411764705882,0.4823529411764706,71,0.7323943661971831,0.4647887323943662,14,0.8571428571428571,0.5714285714285714,10,0.7321428571428571,0.14211114745611098,0.4678571428571428,0.2555783535133218
cuneus,85,0.8117647058823529,0.6823529411764706,71,0.8309859154929577,0.676056338028169,14,0.7142857142857143,0.7142857142857143,10,0.8321428571428571,0.12827346425762837,0.675,0.1801123987694245
entorhinal,85,0.7411764705882353,0.47058823529411764,71,0.7605633802816901,0.4507042253521127,14,0.6428571428571429,0.5714285714285714,10,0.7571428571428572,0.24327694808466288,0.45357142857142857,0.19199542936736588
fusiform,85,0.6823529411764706,0.5176470588235295,71,0.6901408450704225,0.5492957746478874,14,0.6428571428571429,0.35714285714285715,10,0.6910714285714286,0.1852041987593565,0.5482142857142857,0.1773869446095564
inferiorparietal,85,0.8117647058823529,0.611764705882353,71,0.7887323943661971,0.5633802816901409,14,0.9285714285714286,0.8571428571428571,10,0.7875,0.16929266277347713,0.5607142857142857,0.23087259299235008
inferiortemporal,85,0.9058823529411765,0.5294117647058824,71,0.9014084507042254,0.5070422535211268,14,0.9285714285714286,0.6428571428571429,10,0.9053571428571429,0.12141981761163843,0.5017857142857144,0.22906228296788203
insula,85,0.7058823529411765,0.6352941176470588,71,0.7183098591549296,0.6338028169014085,14,0.6428571428571429,0.6428571428571429,10,0.7214285714285714,0.1188092852369014,0.6339285714285714,0.20329799235640553
isthmuscingulate,85,0.6235294117647059,0.5647058823529412,71,0.5774647887323944,0.5774647887323944,14,0.8571428571428571,0.5,10,0.5803571428571429,0.1772270825114215,0.5785714285714286,0.2087920120799405
lateraloccipital,85,0.9058823529411765,0.5647058823529412,71,0.8873239436619719,0.5915492957746479,14,1.0,0.42857142857142855,10,0.8910714285714285,0.13532996963079577,0.5928571428571429,0.13489729023062186
lateralorbitofrontal,85,0.7058823529411765,0.5176470588235295,71,0.7323943661971831,0.4647887323943662,14,0.5714285714285714,0.7857142857142857,10,0.7303571428571428,0.12723344819714685,0.4660714285714286,0.13843605316653076
lingual,85,0.7176470588235294,0.5529411764705883,71,0.704225352112676,0.5352112676056338,14,0.7857142857142857,0.6428571428571429,10,0.7053571428571428,0.18039741024633021,0.5303571428571429,0.1945345191433181
medialorbitofrontal,85,0.7294117647058823,0.4117647058823529,71,0.7464788732394366,0.43661971830985913,14,0.6428571428571429,0.2857142857142857,10,0.7428571428571429,0.18808016817268094,0.4392857142857142,0.16152792279129277
middletemporal,85,0.9529411764705882,0.5764705882352941,71,0.9436619718309859,0.5774647887323944,14,1.0,0.5714285714285714,10,0.9446428571428571,0.07165143802763888,0.5714285714285714,0.25197631533948484
paracentral,85,0.7294117647058823,0.5647058823529412,71,0.7323943661971831,0.5492957746478874,14,0.7142857142857143,0.6428571428571429,10,0.7303571428571429,0.14395658280337967,0.5517857142857141,0.16289307943801107
parahippocampal,85,0.7529411764705882,0.5764705882352941,71,0.7746478873239436,0.5915492957746479,14,0.6428571428571429,0.5,10,0.775,0.15250181218952266,0.5875,0.19857235639842616
parsopercularis,85,0.8352941176470589,0.5294117647058824,71,0.8309859154929577,0.5211267605633803,14,0.8571428571428571,0.5714285714285714,10,0.8321428571428571,0.0859289639648504,0.5232142857142857,0.14087161859356226
parsorbitalis,85,0.7647058823529411,0.4235294117647059,71,0.7464788732394366,0.36619718309859156,14,0.8571428571428571,0.7142857142857143,10,0.7428571428571428,0.16218463205644193,0.3696428571428571,0.21724967349784585
parstriangularis,85,0.8352941176470589,0.5647058823529412,71,0.8309859154929577,0.5633802816901409,14,0.8571428571428571,0.5714285714285714,10,0.8339285714285716,0.13782043676144567,0.5642857142857142,0.1918108005821222
pericalcarine,85,0.6588235294117647,0.5882352941176471,71,0.6338028169014085,0.5915492957746479,14,0.7857142857142857,0.5714285714285714,10,0.6321428571428571,0.2640872270520926,0.5928571428571427,0.19062494191664853
postcentral,85,0.8705882352941177,0.5411764705882353,71,0.8873239436619719,0.5211267605633803,14,0.7857142857142857,0.6428571428571429,10,0.8910714285714285,0.13532996963079577,0.5178571428571428,0.2388381267587962
posteriorcingulate,85,0.5882352941176471,0.49411764705882355,71,0.5774647887323944,0.5070422535211268,14,0.6428571428571429,0.42857142857142855,10,0.5785714285714285,0.21938379999598936,0.5071428571428572,0.16649651178140082
precentral,85,0.7647058823529411,0.47058823529411764,71,0.7605633802816901,0.43661971830985913,14,0.7857142857142857,0.6428571428571429,10,0.7607142857142857,0.13473960778019917,0.43571428571428567,0.1918108005821222
precuneus,85,0.8,0.6470588235294118,71,0.7746478873239436,0.6197183098591549,14,0.9285714285714286,0.7857142857142857,10,0.7732142857142856,0.1687896253971889,0.6160714285714285,0.22607296446229694
rostralanteriorcingulate,85,0.4470588235294118,0.5411764705882353,71,0.4507042253521127,0.5352112676056338,14,0.42857142857142855,0.5714285714285714,10,0.4482142857142857,0.20034868980272602,0.5339285714285714,0.1004701250708191
rostralmiddlefrontal,85,0.7294117647058823,0.47058823529411764,71,0.7183098591549296,0.43661971830985913,14,0.7857142857142857,0.6428571428571429,10,0.7160714285714285,0.17984663723620206,0.4392857142857142,0.1875141718000278
superiorfrontal,85,0.6823529411764706,0.4470588235294118,71,0.6619718309859155,0.4507042253521127,14,0.7857142857142857,0.42857142857142855,10,0.6625,0.20245971856575162,0.44642857142857145,0.2604124149312781
superiorparietal,85,0.8235294117647058,0.5764705882352941,71,0.7887323943661971,0.5915492957746479,14,1.0,0.5,10,0.7874999999999999,0.13996324833453155,0.5874999999999999,0.20968101515853516
