Region,n_pool,cong_synth_pool,cong_asl_pool,n_dev,cong_synth_dev,cong_asl_dev,n_ho,cong_synth_ho,cong_asl_ho,n_folds,fold_mean_synth,fold_sd_synth,fold_mean_asl,fold_sd_asl
Accumbens,85,0.6823529411764706,0.5529411764705883,71,0.6901408450704225,0.5352112676056338,14,0.6428571428571429,0.6428571428571429,10,0.6910714285714286,0.18520419875935654,0.5357142857142858,0.27612889297007626
Amygdala,85,0.6823529411764706,0.5529411764705883,71,0.7323943661971831,0.5633802816901409,14,0.42857142857142855,0.5,10,0.7303571428571429,0.3127634943553364,0.5607142857142857,0.2103137166483224
AngularGyrus,85,0.9176470588235294,0.7058823529411765,71,0.9014084507042254,0.704225352112676,14,1.0,0.7142857142857143,10,0.9,0.11761037176408067,0.7017857142857142,0.2085967722154032
Brain-Stem,85,0.5529411764705883,0.4588235294117647,71,0.5633802816901409,0.43661971830985913,14,0.5,0.5714285714285714,10,0.5625000000000001,0.17236228851869356,0.4428571428571428,0.2559939058231545
Caudate,85,0.7529411764705882,0.6235294117647059,71,0.7323943661971831,0.5915492957746479,14,0.8571428571428571,0.7857142857142857,10,0.732142857142857,0.14211114745611098,0.5964285714285714,0.18292316516434295
CentralOpercularCortex,85,0.788235294117647,0.6941176470588235,71,0.7605633802816901,0.676056338028169,14,0.9285714285714286,0.7857142857142857,10,0.7607142857142858,0.13473960778019917,0.6732142857142857,0.19307197029679296
CingulateGyrusanteriordivision,85,0.5882352941176471,0.4823529411764706,71,0.6338028169014085,0.5070422535211268,14,0.35714285714285715,0.35714285714285715,10,0.632142857142857,0.18292316516434298,0.5017857142857143,0.19713976590629123
CingulateGyrusposteriordivision,85,0.6235294117647059,0.5764705882352941,71,0.6619718309859155,0.6056338028169014,14,0.42857142857142855,0.42857142857142855,10,0.6660714285714285,0.1992136610939117,0.6089285714285714,0.18566276757957187
CunealCortex,85,0.6705882352941176,0.5411764705882353,71,0.647887323943662,0.4788732394366197,14,0.7857142857142857,0.8571428571428571,10,0.6499999999999998,0.19763339018521076,0.48214285714285704,0.21902820824969166
FrontalMedialCortex,85,0.5176470588235295,0.6705882352941176,71,0.5070422535211268,0.647887323943662,14,0.5714285714285714,0.7857142857142857,10,0.5107142857142857,0.2662251872759902,0.6482142857142857,0.2531057091414573
FrontalOperculumCortex,85,0.8117647058823529,0.6,71,0.8309859154929577,0.5633802816901409,14,0.7142857142857143,0.7857142857142857,10,0.8339285714285714,0.13782043676144567,0.5624999999999999,0.20812063972675104
FrontalOrbitalCortex,85,0.8352941176470589,0.5764705882352941,71,0.8450704225352113,0.5774647887323944,14,0.7857142857142857,0.5714285714285714,10,0.8428571428571429,0.20701966780270625,0.5767857142857142,0.20273952827835673
FrontalPole,85,0.9764705882352941,0.7529411764705882,71,0.971830985915493,0.704225352112676,14,1.0,1.0,10,0.9714285714285715,0.06023386019368344,0.7,0.1710312856768378
HeschlsGyrus,85,0.6235294117647059,0.6,71,0.647887323943662,0.6338028169014085,14,0.5,0.42857142857142855,10,0.65,0.18580583823930164,0.6357142857142857,0.17317234805683981
Hippocampus,85,0.6470588235294118,0.5764705882352941,71,0.6338028169014085,0.5915492957746479,14,0.7142857142857143,0.5,10,0.6357142857142857,0.1446318337951185,0.5928571428571427,0.16512896080380668
InferiorFrontalGyrusparsopercularis,85,0.9176470588235294,0.7176470588235294,71,0.9014084507042254,0.6901408450704225,14,1.0,0.8571428571428571,10,0.9017857142857142,0.11702144792462797,0.6892857142857143,0.20065793142105515
InferiorFrontalGyrusparstriangularis,85,0.7529411764705882,0.6588235294117647,71,0.7605633802816901,0.6197183098591549,14,0.7142857142857143,0.8571428571428571,10,0.7571428571428571,0.19107050140703696,0.6196428571428572,0.24281774890578628
