Region,n_pool,cong_synth_pool,cong_asl_pool,n_dev,cong_synth_dev,cong_asl_dev,n_ho,cong_synth_ho,cong_asl_ho,n_folds,fold_mean_synth,fold_sd_synth,fold_mean_asl,fold_sd_asl
Amygdala,68,0.5147058823529411,0.6176470588235294,58,0.5344827586206896,0.5862068965517241,10,0.4,0.8,10,0.5233333333333333,0.2563032540267317,0.5833333333333334,0.2019962106966427
Caudate,68,0.75,0.6029411764705882,58,0.7413793103448276,0.5862068965517241,10,0.8,0.7,10,0.74,0.09401864800580527,0.5866666666666667,0.19257834705149598
Hippocampus,68,0.6176470588235294,0.5441176470588235,58,0.5862068965517241,0.5862068965517241,10,0.8,0.3,10,0.5833333333333334,0.20199621069664267,0.5966666666666666,0.2476805987806588
Pallidum,68,0.6176470588235294,0.5441176470588235,58,0.6206896551724138,0.5689655172413793,10,0.6,0.4,10,0.63,0.24315315500754553,0.5766666666666665,0.20309336173358036
Thalamus,68,0.5882352941176471,0.5735294117647058,58,0.5862068965517241,0.603448275862069,10,0.6,0.4,10,0.5933333333333333,0.24983945462320348,0.6,0.18525924445036743
caudalanteriorcingulate,68,0.7058823529411765,0.6176470588235294,58,0.7241379310344828,0.6379310344827587,10,0.6,0.5,10,0.7233333333333333,0.21259710925644673,0.63,0.2116659375898788
caudalmiddlefrontal,68,0.6911764705882353,0.6764705882352942,58,0.7068965517241379,0.6724137931034483,10,0.6,0.7,10,0.7033333333333334,0.22024116971971017,0.6666666666666666,0.14401645996461912
cuneus,68,0.7941176470588235,0.6911764705882353,58,0.7931034482758621,0.6724137931034483,10,0.8,0.8,10,0.7966666666666666,0.13095093794298746,0.6733333333333333,0.12151309435104282
entorhinal,68,0.6323529411764706,0.6029411764705882,58,0.6206896551724138,0.603448275862069,10,0.7,0.6,10,0.6233333333333333,0.1678108870936582,0.5966666666666666,0.26779852386209313
fusiform,68,0.6029411764705882,0.5441176470588235,58,0.6206896551724138,0.5172413793103449,10,0.5,0.7,10,0.6266666666666666,0.2581032428130598,0.5199999999999999,0.16269337971309447
inferiorparietal,68,0.6617647058823529,0.6176470588235294,58,0.6551724137931034,0.6206896551724138,10,0.7,0.6,10,0.65,0.15335748602046956,0.6266666666666666,0.18908486565495689
inferiortemporal,68,0.5294117647058824,0.5735294117647058,58,0.5689655172413793,0.603448275862069,10,0.3,0.4,10,0.5633333333333334,0.13917747795663768,0.6,0.12570787221094176
insula,68,0.6176470588235294,0.6029411764705882,58,0.6379310344827587,0.5862068965517241,10,0.5,0.7,10,0.6333333333333333,0.19499920860871384,0.5833333333333334,0.18609038027160252
isthmuscingulate,68,0.6176470588235294,0.6176470588235294,58,0.6206896551724138,0.6206896551724138,10,0.6,0.6,10,0.6166666666666666,0.22784551838233197,0.6166666666666667,0.18274315781553918
lateraloccipital,68,0.7352941176470589,0.6470588235294118,58,0.7241379310344828,0.6379310344827587,10,0.8,0.7,10,0.7166666666666667,0.18274315781553918,0.6466666666666666,0.22564037813944912
lateralorbitofrontal,68,0.6911764705882353,0.5,58,0.6896551724137931,0.5172413793103449,10,0.7,0.4,10,0.6866666666666666,0.18472535502773696,0.5166666666666666,0.20502935652495483
lingual,68,0.7794117647058824,0.7205882352941176,58,0.7758620689655172,0.7068965517241379,10,0.8,0.8,10,0.7733333333333333,0.12049281521534187,0.7133333333333333,0.17441259440309856
medialorbitofrontal,68,0.75,0.6617647058823529,58,0.7413793103448276,0.6551724137931034,10,0.8,0.7,10,0.7366666666666667,0.17947110225105845,0.6566666666666666,0.2061103623825874
middletemporal,68,0.6176470588235294,0.5294117647058824,58,0.6551724137931034,0.5689655172413793,10,0.4,0.3,10,0.65,0.20502935652495483,0.5766666666666667,0.23150073993962222
paracentral,68,0.6911764705882353,0.6470588235294118,58,0.6896551724137931,0.6379310344827587,10,0.7,0.7,10,0.69,0.10546779977852702,0.6433333333333333,0.15795764395543074
parahippocampal,68,0.6764705882352942,0.45588235294117646,58,0.7068965517241379,0.46551724137931033,10,0.5,0.4,10,0.7033333333333333,0.19904091024364134,0.46333333333333326,0.1933780280393692
parsopercularis,68,0.7352941176470589,0.6764705882352942,58,0.7241379310344828,0.6551724137931034,10,0.8,0.8,10,0.7233333333333334,0.18125079821024748,0.6566666666666666,0.22057724494528969
parsorbitalis,68,0.7058823529411765,0.6029411764705882,58,0.6724137931034483,0.5862068965517241,10,0.9,0.7,10,0.6733333333333333,0.12151309435104282,0.5933333333333333,0.1698219837737138
parstriangularis,68,0.6029411764705882,0.6323529411764706,58,0.5862068965517241,0.6551724137931034,10,0.7,0.5,10,0.5833333333333334,0.2289266419781835,0.6533333333333334,0.20135344515687637
pericalcarine,68,0.6470588235294118,0.5588235294117647,58,0.6206896551724138,0.5689655172413793,10,0.8,0.5,10,0.62,0.25102259993676335,0.5599999999999999,0.23612091482914657
postcentral,68,0.7205882352941176,0.6323529411764706,58,0.7068965517241379,0.5862068965517241,10,0.8,0.9,10,0.7033333333333334,0.19904091024364132,0.59,0.1540001603334102
posteriorcingulate,68,0.6617647058823529,0.6323529411764706,58,0.6551724137931034,0.6551724137931034,10,0.7,0.5,10,0.6533333333333334,0.2299758441421379,0.6533333333333333,0.18539247657434854
precentral,68,0.75,0.5735294117647058,58,0.7758620689655172,0.603448275862069,10,0.6,0.4,10,0.7766666666666666,0.15638666862446043,0.6,0.1257078722109418
precuneus,68,0.6617647058823529,0.5882352941176471,58,0.6551724137931034,0.5689655172413793,10,0.7,0.7,10,0.6433333333333334,0.23043169363631116,0.5633333333333332,0.3100975553388973
rostralanteriorcingulate,68,0.6911764705882353,0.5735294117647058,58,0.6724137931034483,0.603448275862069,10,0.8,0.4,10,0.6766666666666666,0.17781249660982013,0.6033333333333333,0.17458946555127972
rostralmiddlefrontal,68,0.7647058823529411,0.6911764705882353,58,0.7758620689655172,0.6551724137931034,10,0.7,0.9,10,0.7666666666666667,0.18525924445036743,0.6566666666666665,0.22057724494528969
superiorfrontal,68,0.75,0.6323529411764706,58,0.7241379310344828,0.5862068965517241,10,0.9,0.9,10,0.72,0.20917238445777944,0.5933333333333334,0.20952621451241188
superiorparietal,68,0.6911764705882353,0.6470588235294118,58,0.6896551724137931,0.6551724137931034,10,0.7,0.6,10,0.6933333333333332,0.2153378052511225,0.6566666666666665,0.20611036238258737
superiortemporal,68,0.5588235294117647,0.5735294117647058,58,0.5689655172413793,0.5517241379310345,10,0.5,0.7,10,0.5633333333333332,0.25936770218797794,0.5466666666666666,0.2767536677129909
supramarginal,68,0.5735294117647058,0.5588235294117647,58,0.5862068965517241,0.603448275862069,10,0.5,0.3,10,0.5766666666666668,0.2255582922658277,0.6066666666666666,0.20415438360632626
transversetemporal,68,0.5735294117647058,0.5588235294117647,58,0.5517241379310345,0.5862068965517241,10,0.7,0.4,10,0.54,0.20715593220304743,0.5766666666666665,0.262019695801011
