Region,n_pool,cong_synth_pool,cong_asl_pool,n_dev,cong_synth_dev,cong_asl_dev,n_ho,cong_synth_ho,cong_asl_ho,n_folds,fold_mean_synth,fold_sd_synth,fold_mean_asl,fold_sd_asl
Accumbens,68,0.6911764705882353,0.6764705882352942,58,0.6724137931034483,0.6724137931034483,10,0.8,0.7,10,0.6766666666666666,0.20126145393369835,0.6633333333333333,0.18422342849089057
Amygdala,68,0.6176470588235294,0.5147058823529411,58,0.603448275862069,0.4482758620689655,10,0.7,0.9,10,0.5933333333333334,0.2112864768711949,0.44666666666666666,0.18999675110932496
AngularGyrus,68,0.75,0.7647058823529411,58,0.7413793103448276,0.7241379310344828,10,0.8,1.0,10,0.74,0.2522980796352884,0.7266666666666667,0.2077510380892488
Brain-Stem,68,0.5441176470588235,0.5,58,0.5344827586206896,0.5,10,0.6,0.5,10,0.53,0.17809000360131405,0.5,0.22553092366871602
Caudate,68,0.8235294117647058,0.5441176470588235,58,0.8103448275862069,0.5172413793103449,10,0.9,0.7,10,0.8133333333333332,0.14589020055262092,0.52,0.24504975559271508
CentralOpercularCortex,68,0.75,0.5294117647058824,58,0.7241379310344828,0.5517241379310345,10,0.9,0.4,10,0.7266666666666667,0.13590119867929473,0.55,0.25349410103444076
CingulateGyrusanteriordivision,68,0.7058823529411765,0.6470588235294118,58,0.6724137931034483,0.6206896551724138,10,0.9,0.8,10,0.6733333333333332,0.12151309435104282,0.6266666666666666,0.23296266855071782
CingulateGyrusposteriordivision,68,0.6911764705882353,0.6617647058823529,58,0.6724137931034483,0.6551724137931034,10,0.8,0.7,10,0.6733333333333333,0.16465452046971293,0.65,0.15335748602046959
CunealCortex,68,0.7205882352941176,0.6617647058823529,58,0.7413793103448276,0.603448275862069,10,0.6,1.0,10,0.7366666666666666,0.27819967959793745,0.5900000000000001,0.2393664477246055
FrontalMedialCortex,68,0.5882352941176471,0.5588235294117647,58,0.5517241379310345,0.5344827586206896,10,0.8,0.7,10,0.55,0.1649915822768611,0.5333333333333334,0.22443344307471286
FrontalOperculumCortex,68,0.7352941176470589,0.6323529411764706,58,0.7413793103448276,0.6551724137931034,10,0.7,0.5,10,0.7466666666666667,0.17860916708808997,0.6566666666666665,0.15479975117216102
FrontalOrbitalCortex,68,0.7794117647058824,0.6176470588235294,58,0.8103448275862069,0.603448275862069,10,0.6,0.7,10,0.8066666666666666,0.1734187823566815,0.6,0.20123078084749818
FrontalPole,68,0.9705882352941176,0.8529411764705882,58,0.9655172413793104,0.8275862068965517,10,1.0,1.0,10,0.9633333333333335,0.07769837216465371,0.8300000000000001,0.11160999114531275
HeschlsGyrus,68,0.6029411764705882,0.4852941176470588,58,0.5517241379310345,0.5,10,0.9,0.4,10,0.5466666666666666,0.19888578520235065,0.49333333333333335,0.20475821332959007
Hippocampus,68,0.7352941176470589,0.5588235294117647,58,0.7413793103448276,0.603448275862069,10,0.7,0.3,10,0.7466666666666666,0.2103495033990975,0.61,0.21605326275175532
InferiorFrontalGyrusparsopercularis,68,0.9558823529411765,0.9264705882352942,58,0.9482758620689655,0.9137931034482759,10,1.0,1.0,10,0.95,0.0805076485899413,0.9133333333333334,0.09189365834726813
InferiorFrontalGyrusparstriangularis,68,0.8676470588235294,0.8088235294117647,58,0.8620689655172413,0.8103448275862069,10,0.9,0.8,10,0.86,0.16390301257409579,0.8099999999999999,0.15479975117216102
InferiorTemporalGyrusanteriordivision,68,0.8529411764705882,0.7941176470588235,58,0.8275862068965517,0.7586206896551724,10,1.0,1.0,10,0.8233333333333333,0.12377797725896554,0.76,0.1769424821101723
InferiorTemporalGyrusposteriordivision,68,0.7058823529411765,0.6617647058823529,58,0.6724137931034483,0.6551724137931034,10,0.9,0.7,10,0.6799999999999999,0.1970147578604578,0.6533333333333332,0.17791661245553864
InferiorTemporalGyrustemporooccipitalpart,68,0.6470588235294118,0.5294117647058824,58,0.6551724137931034,0.5344827586206896,10,0.6,0.5,10,0.6566666666666667,0.21889170894968493,0.53,0.12905162140652987
InsularCortex,68,0.6911764705882353,0.7058823529411765,58,0.6724137931034483,0.7241379310344828,10,0.8,0.6,10,0.6666666666666666,0.21314806770278755,0.7266666666666666,0.22211108331943577
IntracalcarineCortex,68,0.7058823529411765,0.6911764705882353,58,0.7068965517241379,0.6896551724137931,10,0.7,0.7,10,0.7133333333333333,0.19129190414806527,0.6866666666666666,0.2816179006656158
JuxtapositionalLobuleCortex,68,0.75,0.6617647058823529,58,0.7413793103448276,0.6379310344827587,10,0.8,0.8,10,0.74,0.21418810240038205,0.6333333333333334,0.2084629226588191
LateralOccipitalCortexinferiordivision,68,0.9852941176470589,0.7941176470588235,58,0.9827586206896551,0.7758620689655172,10,1.0,0.9,10,0.9800000000000001,0.06324555320336757,0.77,0.1952839022273362
LateralOccipitalCortexsuperiordivision,68,0.8382352941176471,0.5441176470588235,58,0.8275862068965517,0.5344827586206896,10,0.9,0.6,10,0.8233333333333335,0.166332999331662,0.5366666666666666,0.1933780280393692
LingualGyrus,68,0.6470588235294118,0.6176470588235294,58,0.6379310344827587,0.6206896551724138,10,0.7,0.6,10,0.6433333333333333,0.2149073874607041,0.6233333333333333,0.2671523355135987
MiddleFrontalGyrus,68,0.8529411764705882,0.7352941176470589,58,0.8448275862068966,0.7241379310344828,10,0.9,0.8,10,0.8400000000000001,0.22043727586910655,0.72,0.21384198619945619
MiddleTemporalGyrusanteriordivision,68,0.6764705882352942,0.6176470588235294,58,0.7241379310344828,0.6551724137931034,10,0.4,0.4,10,0.7233333333333333,0.09033545166301268,0.6599999999999999,0.1864549063413603
MiddleTemporalGyrusposteriordivision,68,0.8970588235294118,0.8382352941176471,58,0.8793103448275862,0.8275862068965517,10,1.0,0.9,10,0.8766666666666667,0.08613798863695246,0.8266666666666668,0.13680661308107897
MiddleTemporalGyrustemporooccipitalpart,68,0.9117647058823529,0.8382352941176471,58,0.9137931034482759,0.8103448275862069,10,0.9,1.0,10,0.9100000000000001,0.09564595207403263,0.8133333333333332,0.1657009056205089
OccipitalFusiformGyrus,68,0.6323529411764706,0.5588235294117647,58,0.6206896551724138,0.5172413793103449,10,0.7,0.8,10,0.6233333333333333,0.28933725889127393,0.5199999999999999,0.21210293331537794
OccipitalPole,68,0.6617647058823529,0.5294117647058824,58,0.6206896551724138,0.5862068965517241,10,0.9,0.2,10,0.6199999999999999,0.15250986610465325,0.5933333333333334,0.24434341346495042
Pallidum,68,0.8382352941176471,0.4852941176470588,58,0.8275862068965517,0.4482758620689655,10,0.9,0.7,10,0.8266666666666668,0.136806613081079,0.4466666666666666,0.18067090332602528
ParacingulateGyrus,68,0.6176470588235294,0.5294117647058824,58,0.5862068965517241,0.5172413793103449,10,0.8,0.6,10,0.5933333333333334,0.24983945462320348,0.5166666666666666,0.24608038433722337
ParahippocampalGyrusanteriordivision,68,0.9264705882352942,0.75,58,0.9137931034482759,0.7241379310344828,10,1.0,0.9,10,0.9166666666666666,0.14163943093313291,0.73,0.22357919026820824
ParahippocampalGyrusposteriordivision,68,0.6323529411764706,0.5441176470588235,58,0.6206896551724138,0.5862068965517241,10,0.7,0.3,10,0.6133333333333335,0.19321835661585918,0.5933333333333333,0.24983945462320348
ParietalOperculumCortex,68,0.7794117647058824,0.5588235294117647,58,0.7758620689655172,0.5862068965517241,10,0.8,0.4,10,0.7766666666666666,0.1648418621169175,0.58,0.20257600311250354
PlanumPolare,68,0.7058823529411765,0.5441176470588235,58,0.7241379310344828,0.5517241379310345,10,0.6,0.5,10,0.7266666666666666,0.22211108331943577,0.5566666666666665,0.21832697191750422
PlanumTemporale,68,0.7205882352941176,0.5294117647058824,58,0.7068965517241379,0.4827586206896552,10,0.8,0.8,10,0.71,0.13151538425711382,0.48666666666666664,0.1886927085809225
PostcentralGyrus,68,0.9852941176470589,0.9852941176470589,58,0.9827586206896551,0.9827586206896551,10,1.0,1.0,10,0.9833333333333334,0.05270462766947298,0.9800000000000001,0.06324555320336758
PrecentralGyrus,68,0.9852941176470589,1.0,58,0.9827586206896551,1.0,10,1.0,1.0,10,0.9833333333333334,0.05270462766947298,1.0,0.0
PrecuneousCortex,68,0.7941176470588235,0.7205882352941176,58,0.7931034482758621,0.7068965517241379,10,0.8,0.8,10,0.7899999999999999,0.13970869163555474,0.7133333333333334,0.2597244503766574
