cohort,atlas,split,improvement_corr_r,p,n_regions
TLE,DKT,pool,0.5492921492921493,0.0005213195933704947,36
TLE,DKT,cv,0.7122265122265122,1.1059621637577116e-06,36
TLE,DKT,test,0.5114543114543115,0.0014322274396573042,36
TLE,HarvardOxford,pool,0.5891774891774892,2.221373889019909e-06,55
TLE,HarvardOxford,cv,0.5721500721500723,5.030179890563049e-06,55
TLE,HarvardOxford,test,0.4384559884559885,0.0008131897989458774,55
MCI,DKT,pool,0.883275261324042,2.1139092558742002e-14,41
MCI,DKT,cv,0.9069686411149828,3.153166833701818e-16,41
MCI,DKT,test,0.4975609756097562,0.0009333355526459124,41
MCI,HarvardOxford,pool,0.8856421356421358,2.704398606790124e-19,55
MCI,HarvardOxford,cv,0.8478354978354979,3.193638349682213e-16,55
MCI,HarvardOxford,test,0.7400432900432902,1.0762504474107812e-10,55
