region,atlas_index_left,atlas_index_right,cohens_d_real,cohens_d_synthetic,cohens_d_asl,comp_x_synth_minus_asl,comp_y_real_minus_asl,comparison_quadrant,comparison_color,quadrant_category,quadrant_color
Amygdala,18.0,54.0,-0.2698713364541702,-0.6413400209135878,0.12216490948477526,0.5191751114288126,0.14770642696939495,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
CC_Anterior,,,-0.04576198149948987,-0.09989442465527767,-0.10073412111632418,-0.0008396964610465074,-0.05497213961683431,both_lt_ASL,#d62728,similar,#888888
CC_Central,,,0.6982899566765269,0.6582263903222322,-0.11293151925073895,0.5452948710714932,0.585358437425788,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
CC_Mid_Anterior,,,0.28388060267472176,0.3896883621870365,-0.04533603641518717,0.3443523257718493,0.23854456625953457,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
CC_Mid_Posterior,,,0.459534426039696,0.533209720653675,-0.08710110159603338,0.44610861905764165,0.3724333244436626,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
CC_Posterior,,,0.4994294997367719,0.6017052139885322,-0.5125874958853618,0.08911771810317037,-0.013157996148589868,synth_gt_ASL_real_lt_ASL,#ff7f0e,synth_gt_asl,#2166ac
Caudate,11.0,50.0,0.2277438498664137,0.018395251554261683,-0.19369971719864568,-0.17530446564438398,0.03404413266776801,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
Hippocampus,17.0,53.0,-0.6766675540718858,-0.8199148794019795,0.11907683288740349,0.700838046514576,0.5575907211844824,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
Pallidum,13.0,52.0,0.5841686334992935,0.7470963836026959,0.13946865796325894,0.607627725639437,0.4446999755360346,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
Thalamus,10.0,49.0,0.47892637977687685,0.17070081719905614,-0.40445785738545825,-0.23375704018640212,0.0744685223914186,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
caudalanteriorcingulate,1002.0,2002.0,-0.1548752530502178,-0.2187685467872022,-0.43051888963968427,-0.21175034285248207,-0.27564363658946645,both_lt_ASL,#d62728,similar,#888888
caudalmiddlefrontal,1003.0,2003.0,-0.37653421116157826,-0.5431517696080029,-0.7163235965815615,-0.1731718269735586,-0.33978938541998327,both_lt_ASL,#d62728,similar,#888888
cuneus,1005.0,2005.0,0.2699830848130013,0.11180904266832101,-0.5427198221360633,-0.43091077946774226,-0.272736737323062,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
entorhinal,1006.0,2006.0,-0.017927848602451692,-0.2476761895405016,0.09867331746913995,0.14900287207136165,-0.08074546886668825,synth_gt_ASL_real_lt_ASL,#ff7f0e,synth_gt_asl,#2166ac
fusiform,1007.0,2007.0,0.40875737742184654,-0.05822174917494162,0.12588237809158825,-0.06766062891664663,0.2828749993302583,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
inferiorparietal,1008.0,2008.0,0.008029585473396843,0.07055355853004638,-0.5062259457379993,-0.43567238720795287,-0.49819636026460246,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
inferiortemporal,1009.0,2009.0,0.09359834145338781,0.0005543926032836481,0.1211811509773683,-0.12062675837408465,-0.027582809523980484,both_lt_ASL,#d62728,similar,#888888
insula,1035.0,2035.0,-0.04518438356193257,-0.4657698306703285,-0.5907420271465273,-0.12497219647619884,-0.5455576435845948,both_lt_ASL,#d62728,similar,#888888
isthmuscingulate,1010.0,2010.0,-0.2357859102565905,0.009606851041341914,-0.8520818110304729,-0.8424749599891309,-0.6162959007738824,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
lateraloccipital,1011.0,2011.0,0.3524570073508058,-0.0719770872523782,-0.35450638047322475,-0.2825292932208465,-0.0020493731224189293,both_lt_ASL,#d62728,similar,#888888
lateralorbitofrontal,1012.0,2012.0,-0.10748928709050247,0.011367411033254959,-0.17888775530045173,-0.16752034426719678,-0.07139846820994926,both_lt_ASL,#d62728,similar,#888888
lingual,1013.0,2013.0,0.5238828845158119,0.11107249762893141,-0.05520950819698455,0.05586298943194686,0.46867337631882733,both_gt_ASL,#2ca02c,similar,#888888
medialorbitofrontal,1014.0,2014.0,0.023230433723180136,0.11718524331716128,-0.14834262989255304,-0.031157386575391757,-0.1251121961693729,both_lt_ASL,#d62728,similar,#888888
middletemporal,1015.0,2015.0,-0.31334498094838764,-0.570948911245148,-0.15961542936188713,0.4113334818832609,0.1537295515865005,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
paracentral,1017.0,2017.0,0.5544088988351813,0.31247957548760685,-0.6012006616833037,-0.2887210861956968,-0.046791762848122365,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
parahippocampal,1016.0,2016.0,-0.021588097060026474,-0.22307964664426383,0.12254092843694193,0.1005387182073219,-0.10095283137691546,synth_gt_ASL_real_lt_ASL,#ff7f0e,synth_gt_asl,#2166ac
parsopercularis,1018.0,2018.0,-0.6570473530576012,-0.8009430386030865,-0.5411650138226923,0.25977802478039413,0.11588233923490887,both_gt_ASL,#2ca02c,similar,#888888
parsorbitalis,1019.0,2019.0,-0.14983177875865067,-0.2889705469068235,-0.5853452360256315,-0.296374689118808,-0.4355134572669808,both_lt_ASL,#d62728,similar,#888888
parstriangularis,1020.0,2020.0,-0.43252822753238224,-0.5746476608903538,-0.6041975475148175,-0.029549886624463673,-0.17166931998243523,both_lt_ASL,#d62728,similar,#888888
pericalcarine,1021.0,2021.0,0.47688541566421966,0.2146195425914882,-0.5145952642438242,-0.299975721652336,-0.03770984857960452,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
postcentral,1022.0,2022.0,-0.31671414279840565,-0.7802443074434127,-0.6116714742838032,0.16857283315960947,-0.29495733148539754,synth_gt_ASL_real_lt_ASL,#ff7f0e,similar,#888888
posteriorcingulate,1023.0,2023.0,0.13499858197620063,0.07277143714480828,-0.7354767750108915,-0.6627053378660832,-0.6004781930346909,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
