region,atlas_index_left,atlas_index_right,cohens_d_real,cohens_d_synthetic,cohens_d_asl,comp_x_synth_minus_asl,comp_y_real_minus_asl,comparison_quadrant,comparison_color,quadrant_category,quadrant_color
Accumbens,8026,8058,-0.9885630086514938,-0.8785131691709388,-0.05818761151456647,0.8203255576563724,0.9303753971369273,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
Amygdala,7018,7054,-0.6458688457376334,-0.734777551278675,-0.44813956980497066,0.2866379814737043,0.1977292759326627,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
AngularGyrus,210,211,-0.4729670627069631,-0.22708107019899937,-0.2703823607931142,-0.043301290594114805,0.20258470191384892,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
Brain-Stem,1016,1116,0.5893423248212325,-0.4227496925650722,-0.18741654575407404,0.23533314681099818,0.40192577906715843,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
Caudate,3011,3050,-1.1212397972120747,-1.014811321181114,-0.02970591884386545,0.9851054023372486,1.0915338783682091,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
CentralOpercularCortex,420,421,-0.18444539367775684,-0.5031839940239426,0.16808312387378704,0.3351008701501556,0.016362269803969792,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
CingulateGyrusanteriordivision,290,291,-0.28975292651987805,-0.41009708707554476,-0.022252350418864083,0.3878447366566807,0.26750057610101396,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
CingulateGyrusposteriordivision,300,301,-0.14430378764928986,0.05208996800890585,-0.14266441380339093,-0.09057444579448508,0.0016393738458989338,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
CunealCortex,320,321,-0.023161198519876695,0.12011961053044991,-0.19201917142962394,-0.07189956089917403,-0.16885797290974724,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
FrontalMedialCortex,250,251,-0.5700903919127327,-0.49215234202274527,-0.2939756685689567,0.1981766734537886,0.276114723343776,both_gt_ASL,#2ca02c,similar,#888888
FrontalOperculumCortex,410,411,-0.24901361025590424,-0.18038440499017433,0.07031770371300806,0.11006670127716627,0.1786959065428962,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
FrontalOrbitalCortex,330,331,-0.4916472234726856,-0.4416141652099546,-0.30974534493194006,0.13186882027801455,0.18190187854074552,both_gt_ASL,#2ca02c,similar,#888888
FrontalPole,10,11,-0.28342659515762103,-0.4583792545335898,-0.5828393819099913,-0.1244601273764015,-0.29941278675237026,both_lt_ASL,#d62728,similar,#888888
HeschlsGyrus,450,451,-0.5933479310610457,-0.6142993320267331,0.006026068042052199,0.608273263984681,0.5873218630189935,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
