region,atlas_index_left,atlas_index_right,cohens_d_real,cohens_d_synthetic,cohens_d_asl,comp_x_synth_minus_asl,comp_y_real_minus_asl,comparison_quadrant,comparison_color,quadrant_category,quadrant_color
Amygdala,18,54,-1.22081546149608,-0.5229090511309386,-0.015103847635970806,0.5078052034949677,1.2057116138601092,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
Caudate,11,50,-0.4670331574573906,-0.18161683364807146,0.07723874466366049,0.10437808898441098,0.3897944127937301,both_gt_ASL,#2ca02c,similar,#888888
Hippocampus,17,53,-1.7382799474384347,-1.0435996234399296,-1.3391526170576282,-0.2955529936176986,0.3991273303808065,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
Pallidum,13,52,-0.15061209030681727,-0.17928440009399052,0.2559515575107338,-0.07666715741674326,-0.10533946720391651,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
Thalamus,10,49,-1.2088110271893333,-0.5658351934996035,0.0662808636358281,0.49955432986377546,1.1425301635535052,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
caudalanteriorcingulate,1002,2002,-0.5598537387673247,-0.4031279833527069,-0.5433074421212215,-0.14017945876851462,0.016546296646103187,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
caudalmiddlefrontal,1003,2003,-0.18139937782079588,0.06905463710075345,-0.09480741782699179,-0.025752780726238336,0.08659195999380409,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
cuneus,1005,2005,0.03394251299357739,0.1668067440203234,-0.1215715270157011,0.04523521700462228,-0.08762901402212372,synth_gt_ASL_real_lt_ASL,#ff7f0e,similar,#888888
entorhinal,1006,2006,-0.9751883725354848,-0.21682374270432284,0.337070263332307,-0.12024652062798416,0.6381181092031778,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
fusiform,1007,2007,-1.3185943487907241,-0.3217677034569468,-0.4885406965519906,-0.16677299309504384,0.8300536522387335,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
inferiorparietal,1008,2008,-0.5794932489159778,-0.6828698428051939,-1.0074352486966036,-0.3245654058914097,-0.42794199978062586,both_lt_ASL,#d62728,similar,#888888
inferiortemporal,1009,2009,-1.9439646257623087,-1.0888545463347443,-1.1917806490929532,-0.1029261027582089,0.7521839766693554,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
insula,1035,2035,-1.5158736671010398,-0.6369511337660302,-0.8706349221665972,-0.23368378840056703,0.6452387449344426,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
isthmuscingulate,1010,2010,-0.6235097115731789,-0.3121413152916915,-1.125434253393173,-0.8132929381014815,-0.501924541819994,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
lateraloccipital,1011,2011,-0.6915044139484019,0.022667237185997943,-1.7466350093019904,-1.7239677721159925,-1.0551305953535886,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
lateralorbitofrontal,1012,2012,-1.0442698537929231,-0.5181447587849033,-0.7314017960935953,-0.21325703730869205,0.3128680576993278,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
lingual,1013,2013,-0.351236806074092,0.10612714352482563,-0.9429627260860894,-0.8368355825612638,-0.5917259200119974,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
medialorbitofrontal,1014,2014,-0.84141342227894,-0.23185295291375202,-0.17897467793740357,0.05287827497634845,0.6624387443415365,both_gt_ASL,#2ca02c,similar,#888888
middletemporal,1015,2015,-1.5935586316734662,-0.6179848870596654,-1.8654615928576312,-1.2474767057979659,-0.271902961184165,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
paracentral,1017,2017,-0.38372000312150517,-0.6692488062080638,-0.7606655608005262,-0.09141675459246235,-0.376945557679021,both_lt_ASL,#d62728,similar,#888888
parahippocampal,1016,2016,-1.0816544940266979,0.18262444012760878,-0.23188061619739897,-0.049256176069790186,0.8497738778292989,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
parsopercularis,1018,2018,-1.1429708569912795,-0.21463031624964776,-0.7300682611991477,-0.5154379449494999,0.41290259579213184,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
parsorbitalis,1019,2019,-0.06215154243010812,-0.0926551396233853,-0.540878085565586,-0.44822294594220075,-0.4787265431354779,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
parstriangularis,1020,2020,-1.2440025171367588,-0.9231349432261032,-1.324795708113763,-0.40166076488765967,-0.0807931909770041,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
pericalcarine,1021,2021,0.24437674595165673,-0.33533039830077394,-1.086843507529475,-0.751513109228701,-0.8424667615778182,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
postcentral,1022,2022,-0.6369290715809759,-0.4637981317730546,-0.541242642097582,-0.07744451032452737,0.0956864294833939,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
posteriorcingulate,1023,2023,-0.4885628380659505,0.3040623393889456,-0.6739665403688676,-0.369904200979922,-0.18540370230291708,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
precentral,1024,2024,-0.9295647234590912,-0.5426910833068479,-0.8841676620342095,-0.3414765787273616,0.04539706142488176,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
precuneus,1025,2025,-0.3407595676650329,0.07068769296340888,-0.7355174921892009,-0.6648297992257921,-0.394757924524168,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
rostralanteriorcingulate,1026,2026,-0.5281047465604183,-0.17359776560817702,0.1979272269637636,-0.024329461355586585,0.33017751959665465,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
rostralmiddlefrontal,1027,2027,-0.5457750775418131,-0.3113509855627151,-0.7239825874264088,-0.41263160186369363,-0.17820750988459566,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
