region,atlas_index_left,atlas_index_right,cohens_d_real,cohens_d_synthetic,cohens_d_asl,comp_x_synth_minus_asl,comp_y_real_minus_asl,comparison_quadrant,comparison_color,quadrant_category,quadrant_color
Accumbens,8026,8058,-0.6958639453399511,-0.6730634344187709,-0.24085095466209464,0.4322124797566763,0.4550129906778565,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
Amygdala,7018,7054,-1.034600578633173,-0.6974552025952979,-0.23905576837050857,0.45839943422478935,0.7955448102626643,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
AngularGyrus,210,211,-0.03638259882548128,-0.5021075147753841,-0.8730995768872699,-0.37099206211188585,-0.8367169780617887,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
Brain-Stem,1016,1116,0.05230415875882234,0.5147131161446037,-0.0883216608306309,0.4263914553139728,-0.03601750207180855,synth_gt_ASL_real_lt_ASL,#ff7f0e,synth_gt_asl,#2166ac
Caudate,3011,3050,-0.8079019757725272,0.02987721944332379,0.415247725300999,-0.38537050585767524,0.3926542504715282,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
CentralOpercularCortex,420,421,-1.360821670988056,-0.7297153010523345,-1.0065598543437362,-0.2768445532914017,0.3542618166443199,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
CingulateGyrusanteriordivision,290,291,-0.31175372170259147,0.1359980097858186,-0.3735752543626341,-0.2375772445768155,-0.061821532660042644,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
CingulateGyrusposteriordivision,300,301,-0.16805206022406008,0.13555265357671725,-0.2020992026213217,-0.06654654904460444,-0.034047142397261615,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
CunealCortex,320,321,-0.1178945638071592,-0.18367462656740005,-0.3293895451113171,-0.14571491854391702,-0.2114949813041579,both_lt_ASL,#d62728,similar,#888888
FrontalMedialCortex,250,251,-1.2831605492307867,-0.3485019811052079,-0.37767826317551784,-0.029176282070309922,0.9054822860552689,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
FrontalOperculumCortex,410,411,-1.2045765279866403,-0.5376905322721215,-1.0105697540698642,-0.47287922179774267,0.19400677391677612,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
FrontalOrbitalCortex,330,331,-0.8285894627626224,-0.5413058948240362,-0.9606879492816536,-0.41938205445761734,-0.13209848651903122,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
FrontalPole,10,11,-0.6810092745777523,-0.5855628825777041,-0.9147980819784076,-0.32923519940070356,-0.23378880740065533,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
HeschlsGyrus,450,451,-0.8198639824164674,-0.9899192454504371,-1.1852316590508338,-0.19531241360039675,-0.3653676766343664,both_lt_ASL,#d62728,similar,#888888
Hippocampus,6017,6053,-1.3664477200992144,-0.7314341885533014,-1.1760119628260857,-0.4445777742727842,0.19043575727312878,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
InferiorFrontalGyrusparsopercularis,60,61,-0.47869138556552837,-0.242184523028474,-0.7643074905074559,-0.5221229674789819,-0.2856161049419276,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
InferiorFrontalGyrusparstriangularis,50,51,-1.0893871059224667,-0.7592147241786418,-0.9012246862459938,-0.14200996206735206,0.18816241967647285,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
InferiorTemporalGyrusanteriordivision,140,141,-1.6232913605914696,-0.6154753381609538,-2.087917614758751,-1.4724422765977971,-0.4646262541672814,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
InferiorTemporalGyrusposteriordivision,150,151,-2.0421561532286363,-0.400822608297141,-0.14323684671557546,0.25758576158156554,1.898919306513061,both_gt_ASL,#2ca02c,similar,#888888
InferiorTemporalGyrustemporooccipitalpart,160,161,-1.2473534129614707,-0.47876907120168594,-0.8501233039795363,-0.37135423277785035,0.39723010898193445,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
InsularCortex,20,21,-1.3190923914223942,-0.8366169873915352,-0.912607441040537,-0.07599045364900181,0.40648495038185717,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
IntracalcarineCortex,240,241,-0.30974740443522025,-0.34275806762249345,-0.414061652061786,-0.07130358443929258,-0.10431424762656577,both_lt_ASL,#d62728,similar,#888888
JuxtapositionalLobuleCortex,260,261,0.20987045598234347,0.42271290791948746,-0.02132890029616374,0.4013840076233237,0.18854155568617972,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
LateralOccipitalCortexinferiordivision,230,231,-1.2470459507150269,-0.8745592261862353,-1.031009744140551,-0.15645051795431575,0.21603620657447586,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
LateralOccipitalCortexsuperiordivision,220,221,-0.8677001759130678,-1.1482018583344324,-0.832003005890622,0.3161988524438104,0.03569717002244577,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
LingualGyrus,360,361,-0.536732109626718,-0.23714561072367743,-0.3785478128939382,-0.14140220217026075,0.15818429673277984,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
MiddleFrontalGyrus,40,41,-0.43073030662930006,-0.5223349320400174,-0.6157334840674508,-0.09339855202743341,-0.1850031774381507,both_lt_ASL,#d62728,similar,#888888
MiddleTemporalGyrusanteriordivision,110,111,-1.5485980609528318,-0.7020839835311101,-1.0763370976698272,-0.3742531141387171,0.4722609632830046,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
MiddleTemporalGyrusposteriordivision,120,121,-1.9015039600275665,-0.9966627363550927,-1.8458431909031854,-0.8491804545480927,0.055660769124381115,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
MiddleTemporalGyrustemporooccipitalpart,130,131,-1.455762872689429,-0.9014441865796315,-1.2470686950229979,-0.34562450844336634,0.20869417766643106,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
OccipitalFusiformGyrus,400,401,-0.1383080852457264,-0.008474643578847396,-0.7326244281902075,-0.72414978461136,-0.5943163429444811,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
OccipitalPole,480,481,-0.740082463098964,0.22274772093074344,-1.091438901328949,-0.8686911803982055,-0.35135643822998497,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
Pallidum,5013,5052,-0.7678232567829686,-0.8363147959416987,0.11493236141358969,0.721382434528109,0.6528908953693789,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
ParacingulateGyrus,280,281,-0.9704502639002149,-0.31818274194474944,-0.6579392566022652,-0.3397565146575157,0.3125110072979498,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
ParahippocampalGyrusanteriordivision,340,341,-0.9643024398508148,-0.455763983018348,-0.49004811326128583,-0.03428413024293786,0.47425432658952893,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
ParahippocampalGyrusposteriordivision,350,351,-1.5955044873786888,-0.6218477338640988,-0.7631338827500891,-0.14128614888599034,0.8323706046285997,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
ParietalOperculumCortex,430,431,-0.6636275717052258,-0.7244197361001803,-0.3835308265715914,0.3408889095285889,0.2800967451336344,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
PlanumPolare,440,441,-1.0884740127452905,-1.0618259771422192,-1.1837842060970407,-0.12195822895482156,-0.09531019335175017,both_lt_ASL,#d62728,similar,#888888
PlanumTemporale,460,461,-1.1284930986771278,-1.2361697991173999,-1.2322830174850958,0.0038867816323040483,-0.10378991880796806,synth_gt_ASL_real_lt_ASL,#ff7f0e,similar,#888888
PostcentralGyrus,170,171,-0.19498372327284333,-0.8105411086900681,-1.1192573349420891,-0.308716226252021,-0.9242736116692458,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
PrecentralGyrus,70,71,-0.5375352457043896,-0.5967724552148944,-0.886669448840304,-0.28989699362540955,-0.34913420313591437,both_lt_ASL,#d62728,similar,#888888
PrecuneousCortex,310,311,-0.3590359247382028,-0.12938141650282683,-0.4086009441537278,-0.27921952765090097,-0.04956501941552499,both_lt_ASL,#d62728,similar,#888888
SubcallosalCortex,270,271,-0.6684083124611143,0.32860685602663453,0.7675267962814476,-0.43891994025481307,-0.09911848382033328,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
SuperiorFrontalGyrus,30,31,-0.5632228491032132,-0.2911681155442374,-0.8311706734168127,-0.5400025578725753,-0.26794782431359954,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
SuperiorParietalLobule,180,181,-0.4333433006291945,-0.8064960718838182,-0.7312882907902292,0.07520778109358905,-0.29794499016103465,synth_gt_ASL_real_lt_ASL,#ff7f0e,similar,#888888
SuperiorTemporalGyrusanteriordivision,90,91,-1.4937094550624814,-0.9817801950189241,-0.8142090230598098,0.1675711719591143,0.6795004320026716,both_gt_ASL,#2ca02c,similar,#888888
SuperiorTemporalGyrusposteriordivision,100,101,-1.2886629960872662,-0.588516531140516,-0.9580534524712885,-0.3695369213307724,0.3306095436159777,real_gt_ASL_synth_lt_ASL,#1f77b4,asl_gt_synth,#b2182b
SupracalcarineCortex,470,471,-0.1618596666049733,-0.21027327151485453,0.082813192566052,0.1274600789488025,0.0790464740389213,both_gt_ASL,#2ca02c,similar,#888888
SupramarginalGyrusanteriordivision,190,191,-0.32587709070739107,-0.534620999799029,-0.31439155387851636,0.22022944592051263,0.01148553682887471,both_gt_ASL,#2ca02c,similar,#888888
SupramarginalGyrusposteriordivision,200,201,-0.4738003022364816,-1.025820462801928,-0.9482239336447983,0.07759652915712978,-0.47442363140831667,synth_gt_ASL_real_lt_ASL,#ff7f0e,similar,#888888
TemporalFusiformCortexanteriordivision,370,371,-1.4199192975906292,-0.47023870424529285,0.4468666015553791,0.023372102689913743,0.9730526960352501,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
TemporalFusiformCortexposteriordivision,380,381,-1.8045259209282756,-0.7229884106698254,-0.9781791224489887,-0.2551907117791633,0.8263467984792868,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
TemporalOccipitalFusiformCortex,390,391,-1.9072212168773517,-1.1623118028612534,-0.1610991233212463,1.0012126795400071,1.7461220935561055,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
TemporalPole,80,81,-1.1910807786609714,-0.654023769453807,-0.9257196780785175,-0.2716959086247105,0.2653611005824539,real_gt_ASL_synth_lt_ASL,#1f77b4,similar,#888888
Thalamus,2010,2049,-1.00267117412679,-0.788931511174752,-0.2914328768585285,0.49749863431622354,0.7112382972682615,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
