Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Amygdala,0.293,0.0075,0.2,0.0157,0.093
Caudate,0.712,0.00696,0.22,0.01566,0.492
Hippocampus,0.429,0.0131,0.327,0.01388,0.102
Pallidum,0.488,0.00155,0.206,-0.00494,0.282
Thalamus,0.212,-0.00064,0.255,0.00283,-0.043
caudalanteriorcingulate,0.413,0.00922,0.431,0.02918,-0.018
caudalmiddlefrontal,0.521,0.00306,0.413,0.01529,0.108
cuneus,0.808,-0.00235,0.408,-0.00419,0.4
entorhinal,0.383,0.00935,0.213,0.02292,0.171
fusiform,0.344,0.00242,0.177,0.00198,0.167
inferiorparietal,0.443,0.00445,0.312,-0.00429,0.131
inferiortemporal,0.402,0.0082,0.361,0.00992,0.04
insula,0.405,0.00883,0.394,0.02544,0.011
isthmuscingulate,0.528,0.00619,0.45,0.02246,0.078
lateraloccipital,0.658,0.0035,0.419,-0.00551,0.238
lateralorbitofrontal,0.339,0.0051,0.108,-0.00885,0.232
lingual,0.704,0.00398,0.273,0.01273,0.432
medialorbitofrontal,0.613,0.00115,0.426,-0.03711,0.187
middletemporal,0.404,0.00701,0.471,0.02722,-0.068
paracentral,0.557,0.00161,0.439,0.01741,0.118
parahippocampal,0.405,0.00856,-0.025,-0.00046,0.43
parsopercularis,0.568,-0.00028,0.256,0.02773,0.312
parsorbitalis,0.349,-0.00484,0.19,0.02012,0.158
parstriangularis,0.288,0.00797,0.394,0.03266,-0.105
pericalcarine,0.328,0.00182,0.033,0.01533,0.295
postcentral,0.53,0.00743,0.086,0.02413,0.444
posteriorcingulate,0.386,0.00439,0.193,0.02604,0.193
precentral,0.568,0.0042,0.348,0.0309,0.22
precuneus,0.446,0.00297,0.128,-0.00089,0.318
rostralanteriorcingulate,0.286,0.0043,0.281,-0.01017,0.005
rostralmiddlefrontal,0.493,0.0035,0.388,0.01708,0.105
superiorfrontal,0.43,0.00605,0.352,0.0087,0.078
superiorparietal,0.572,0.0039,0.403,-0.01038,0.169
superiortemporal,0.214,0.01064,0.455,0.03372,-0.242
supramarginal,0.368,0.0087,0.185,0.01845,0.184
transversetemporal,0.231,0.00801,0.166,0.01979,0.065
