Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Accumbens,0.651,0.00427,0.264,-0.01312,0.388
Amygdala,0.405,0.00761,0.053,0.01931,0.351
AngularGyrus,0.577,0.00475,0.322,0.01469,0.255
Brain-Stem,0.305,0.0031,-0.144,-0.01783,0.449
Caudate,0.71,0.01404,0.043,0.01265,0.667
CentralOpercularCortex,0.549,0.00597,0.204,0.01885,0.344
CingulateGyrusanteriordivision,0.299,-0.00068,0.259,-0.01085,0.039
CingulateGyrusposteriordivision,0.421,0.00561,0.329,0.01572,0.092
CunealCortex,0.494,-0.00366,0.339,-0.02242,0.154
FrontalMedialCortex,0.3,-0.00139,0.373,-0.03542,-0.073
FrontalOperculumCortex,0.556,0.00245,0.467,0.03892,0.089
FrontalOrbitalCortex,0.423,0.00829,0.457,0.01137,-0.034
FrontalPole,0.196,0.0019,0.313,-0.00491,-0.117
HeschlsGyrus,0.28,0.01026,0.157,0.02356,0.122
Hippocampus,0.553,0.01235,0.348,0.01877,0.206
InferiorFrontalGyrusparsopercularis,0.413,-0.00275,0.229,0.01377,0.184
InferiorFrontalGyrusparstriangularis,0.327,0.00117,0.403,0.01994,-0.076
InferiorTemporalGyrusanteriordivision,0.417,0.00447,0.467,0.0089,-0.05
InferiorTemporalGyrusposteriordivision,0.429,0.00081,0.328,-0.00834,0.1
InferiorTemporalGyrustemporooccipitalpart,0.281,0.00789,0.159,0.00725,0.122
InsularCortex,0.571,0.00824,0.504,0.02696,0.067
IntracalcarineCortex,0.648,0.00655,0.532,0.00606,0.116
JuxtapositionalLobuleCortex,0.41,-0.00197,0.164,-0.00497,0.245
LateralOccipitalCortexinferiordivision,0.381,0.00055,0.437,-0.00461,-0.056
LateralOccipitalCortexsuperiordivision,0.318,0.0032,0.304,-0.01823,0.014
LingualGyrus,0.552,0.00893,0.165,0.01031,0.387
MiddleFrontalGyrus,0.463,0.00142,0.398,0.01211,0.065
MiddleTemporalGyrusanteriordivision,0.549,0.00539,0.49,0.03597,0.059
MiddleTemporalGyrusposteriordivision,0.384,0.00775,0.391,0.02171,-0.007
MiddleTemporalGyrustemporooccipitalpart,0.319,0.00804,0.272,0.01766,0.047
OccipitalFusiformGyrus,0.356,0.00625,0.117,-0.02512,0.239
OccipitalPole,0.405,-0.00094,0.239,-0.00166,0.166
Pallidum,0.69,-0.00174,-0.015,-0.01619,0.706
ParacingulateGyrus,0.384,0.00018,0.272,-0.01556,0.111
ParahippocampalGyrusanteriordivision,0.439,0.00852,0.293,0.01497,0.146
ParahippocampalGyrusposteriordivision,0.555,0.0087,0.039,0.00038,0.516
ParietalOperculumCortex,0.711,0.01204,0.167,0.02885,0.544
PlanumPolare,0.53,0.01343,0.228,0.03796,0.302
PlanumTemporale,0.554,0.01233,0.13,0.00524,0.424
PostcentralGyrus,0.512,0.00657,0.286,0.0191,0.226
PrecentralGyrus,0.392,0.00249,0.229,0.02019,0.164
PrecuneousCortex,0.602,0.00453,0.388,-0.00196,0.214
SubcallosalCortex,0.173,0.00028,0.178,-0.04406,-0.005
SuperiorFrontalGyrus,0.491,0.0024,0.532,0.00166,-0.041
SuperiorParietalLobule,0.55,0.01226,0.305,0.01268,0.245
SuperiorTemporalGyrusanteriordivision,0.503,0.00823,0.211,0.03745,0.291
SuperiorTemporalGyrusposteriordivision,0.587,0.01193,0.219,0.02741,0.368
SupracalcarineCortex,0.685,-0.0063,0.346,0.00246,0.339
SupramarginalGyrusanteriordivision,0.577,0.00649,0.21,0.01643,0.367
SupramarginalGyrusposteriordivision,0.431,0.0126,0.301,0.01568,0.13
TemporalFusiformCortexanteriordivision,0.377,0.01118,0.451,1.36123,-0.073
TemporalFusiformCortexposteriordivision,0.266,0.00236,0.413,0.00932,-0.146
TemporalOccipitalFusiformCortex,0.262,0.00475,0.145,0.01612,0.117
TemporalPole,0.513,0.01039,0.675,0.03604,-0.162
Thalamus,0.481,0.00231,0.329,0.0007,0.152
