Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Amygdala,0.195,-0.02274,0.163,-0.41319,0.032
Caudate,0.041,-0.01177,0.072,0.02227,-0.031
Hippocampus,0.172,-0.04675,-0.034,-0.49222,0.206
Pallidum,0.241,0.0351,0.005,0.17411,0.236
Thalamus,0.031,-0.00947,-0.141,-0.08658,0.172
caudalanteriorcingulate,0.619,-0.05171,0.144,0.06195,0.475
caudalmiddlefrontal,0.389,0.0314,0.141,-0.29623,0.248
cuneus,0.431,-0.02543,0.265,0.01874,0.166
entorhinal,0.237,0.00735,0.168,-0.2439,0.07
fusiform,0.264,-0.0042,0.086,-0.20074,0.178
inferiorparietal,0.187,-0.01109,0.342,-0.32212,-0.154
inferiortemporal,0.202,0.00837,0.212,-0.27156,-0.009
insula,0.18,-0.06931,0.107,-0.12276,0.073
isthmuscingulate,0.316,-0.03462,0.198,-0.04268,0.118
lateraloccipital,0.372,0.01703,0.257,-0.16788,0.115
lateralorbitofrontal,0.252,-0.03042,0.061,-0.25083,0.191
lingual,0.446,-0.00632,0.079,-0.03675,0.367
medialorbitofrontal,0.152,-0.01354,-0.148,-0.12845,0.3
middletemporal,0.339,-0.00835,0.33,-0.43732,0.009
paracentral,0.651,-0.03403,0.13,-0.12082,0.521
parahippocampal,0.259,-0.01584,-0.047,-0.30851,0.306
parsopercularis,0.557,-0.03481,0.298,-0.30765,0.259
parsorbitalis,0.186,0.00181,-0.172,-0.23828,0.358
parstriangularis,0.423,-0.01674,0.13,-0.35349,0.293
pericalcarine,0.447,0.01953,0.26,0.09005,0.186
postcentral,0.287,0.00659,0.092,-0.28358,0.195
posteriorcingulate,0.524,-0.07044,-0.038,-0.07636,0.561
precentral,0.364,0.00762,0.192,-0.31,0.172
precuneus,0.486,-0.03124,0.267,0.01204,0.219
rostralanteriorcingulate,0.342,-0.05884,0.077,-0.06553,0.265
rostralmiddlefrontal,0.374,0.01367,0.089,-0.36768,0.285
superiorfrontal,0.217,0.0064,-0.169,-0.21875,0.386
superiorparietal,0.301,-0.00664,0.128,-0.09263,0.173
superiortemporal,0.386,-0.0059,0.298,-0.35084,0.088
supramarginal,0.457,-0.02812,0.284,-0.33817,0.173
transversetemporal,0.458,-0.02531,0.245,-0.18602,0.213
