Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Accumbens,0.573,-0.00388,0.024,-0.03935,0.55
Amygdala,0.4,-0.04665,0.131,-0.25717,0.269
AngularGyrus,0.583,-0.02683,0.353,-0.29419,0.23
Brain-Stem,0.061,-0.01922,-0.129,-0.0978,0.191
Caudate,0.803,-0.03657,0.335,-0.12883,0.468
CentralOpercularCortex,0.443,-0.05264,0.326,-0.23513,0.117
CingulateGyrusanteriordivision,0.671,-0.05786,0.334,-0.06649,0.337
CingulateGyrusposteriordivision,0.485,-0.06503,0.261,-0.23243,0.225
CunealCortex,0.509,-0.06094,0.312,-0.06572,0.197
FrontalMedialCortex,0.275,-0.02542,0.037,-0.16974,0.238
FrontalOperculumCortex,0.463,-0.05069,0.435,-0.19732,0.029
FrontalOrbitalCortex,0.337,-0.02003,0.121,-0.2198,0.217
FrontalPole,0.391,-0.00403,0.157,-0.22114,0.234
HeschlsGyrus,0.604,-0.05289,0.305,-0.27064,0.3
Hippocampus,0.502,-0.06188,-0.031,-0.28819,0.533
InferiorFrontalGyrusparsopercularis,0.551,-0.03327,0.318,-0.32255,0.233
InferiorFrontalGyrusparstriangularis,0.279,-0.00062,0.256,-0.31348,0.023
InferiorTemporalGyrusanteriordivision,0.281,-0.00461,0.09,-0.18515,0.191
InferiorTemporalGyrusposteriordivision,0.31,-0.00363,0.139,-0.15661,0.17
InferiorTemporalGyrustemporooccipitalpart,0.406,-0.01585,0.433,-0.17719,-0.027
InsularCortex,0.416,-0.08572,0.345,-0.2243,0.071
IntracalcarineCortex,0.461,-0.04819,0.173,-0.02909,0.288
JuxtapositionalLobuleCortex,0.823,-0.06441,0.286,-0.17469,0.538
LateralOccipitalCortexinferiordivision,0.357,-0.00657,0.291,-0.29021,0.066
LateralOccipitalCortexsuperiordivision,0.485,-0.02314,0.372,-0.21384,0.113
LingualGyrus,0.712,-0.05298,-0.003,-0.11366,0.715
MiddleFrontalGyrus,0.54,-0.01647,0.21,-0.22256,0.33
MiddleTemporalGyrusanteriordivision,0.377,-0.01246,0.189,-0.36697,0.188
MiddleTemporalGyrusposteriordivision,0.495,-0.00927,0.161,-0.35982,0.335
MiddleTemporalGyrustemporooccipitalpart,0.402,-0.01706,0.339,-0.37557,0.063
OccipitalFusiformGyrus,0.576,-0.02987,-0.021,-0.00715,0.598
OccipitalPole,0.531,0.00676,0.404,-0.154,0.127
Pallidum,0.117,-0.05475,0.011,0.00148,0.107
ParacingulateGyrus,0.738,-0.07308,0.436,-0.13789,0.302
ParahippocampalGyrusanteriordivision,0.394,-0.02505,0.124,-0.14958,0.27
ParahippocampalGyrusposteriordivision,0.43,-0.05721,-0.013,-0.22906,0.443
ParietalOperculumCortex,0.46,-0.07339,0.317,-0.21028,0.143
PlanumPolare,0.535,-0.05783,0.269,-0.27182,0.266
PlanumTemporale,0.574,-0.03433,0.221,-0.37053,0.353
PostcentralGyrus,0.599,-0.01214,0.212,-0.22597,0.388
PrecentralGyrus,0.598,-0.02621,0.222,-0.20016,0.376
PrecuneousCortex,0.642,-0.06858,0.337,-0.11503,0.305
SubcallosalCortex,0.499,-0.03954,0.123,-0.04475,0.375
SuperiorFrontalGyrus,0.651,-0.01528,0.124,-0.18949,0.527
SuperiorParietalLobule,0.643,-0.03801,0.316,-0.1422,0.328
SuperiorTemporalGyrusanteriordivision,0.449,-0.0033,0.13,-0.30318,0.319
SuperiorTemporalGyrusposteriordivision,0.39,-0.01716,0.288,-0.34455,0.102
SupracalcarineCortex,0.574,-0.05786,0.256,-0.03678,0.319
SupramarginalGyrusanteriordivision,0.485,-0.02244,0.272,-0.28773,0.213
SupramarginalGyrusposteriordivision,0.504,-0.02556,0.342,-0.30427,0.163
TemporalFusiformCortexanteriordivision,0.313,0.01935,0.148,-0.14232,0.165
TemporalFusiformCortexposteriordivision,0.413,-0.00588,0.125,-0.08876,0.288
TemporalOccipitalFusiformCortex,0.364,-0.02904,0.043,-0.05044,0.321
TemporalPole,0.465,-0.00398,0.419,-0.2297,0.046
Thalamus,0.596,-0.03895,0.207,-0.16974,0.389
