Region,Congruency_ASL,Congruency_FlowGAN,Congruency_Diff
Amygdala,0.586,0.534,-0.052
Caudate,0.586,0.741,0.155
Hippocampus,0.586,0.586,0.0
Pallidum,0.569,0.621,0.052
Thalamus,0.603,0.586,-0.017
caudalanteriorcingulate,0.638,0.724,0.086
caudalmiddlefrontal,0.672,0.707,0.034
cuneus,0.672,0.793,0.121
entorhinal,0.603,0.621,0.017
fusiform,0.517,0.621,0.103
inferiorparietal,0.621,0.655,0.034
inferiortemporal,0.603,0.569,-0.034
insula,0.586,0.638,0.052
isthmuscingulate,0.621,0.621,0.0
lateraloccipital,0.638,0.724,0.086
lateralorbitofrontal,0.517,0.69,0.172
lingual,0.707,0.776,0.069
medialorbitofrontal,0.655,0.741,0.086
middletemporal,0.569,0.655,0.086
paracentral,0.638,0.69,0.052
parahippocampal,0.466,0.707,0.241
parsopercularis,0.655,0.724,0.069
parsorbitalis,0.586,0.672,0.086
parstriangularis,0.655,0.586,-0.069
pericalcarine,0.569,0.621,0.052
postcentral,0.586,0.707,0.121
posteriorcingulate,0.655,0.655,0.0
precentral,0.603,0.776,0.172
precuneus,0.569,0.655,0.086
rostralanteriorcingulate,0.603,0.672,0.069
rostralmiddlefrontal,0.655,0.776,0.121
superiorfrontal,0.586,0.724,0.138
superiorparietal,0.655,0.69,0.034
superiortemporal,0.552,0.569,0.017
supramarginal,0.603,0.586,-0.017
transversetemporal,0.586,0.552,-0.034
