Region,Congruency_ASL,Congruency_FlowGAN,Congruency_Diff
Accumbens,0.672,0.672,0.0
Amygdala,0.448,0.603,0.155
AngularGyrus,0.724,0.741,0.017
Brain-Stem,0.5,0.534,0.034
Caudate,0.517,0.81,0.293
CentralOpercularCortex,0.552,0.724,0.172
CingulateGyrusanteriordivision,0.621,0.672,0.052
CingulateGyrusposteriordivision,0.655,0.672,0.017
CunealCortex,0.603,0.741,0.138
FrontalMedialCortex,0.534,0.552,0.017
FrontalOperculumCortex,0.655,0.741,0.086
FrontalOrbitalCortex,0.603,0.81,0.207
FrontalPole,0.828,0.966,0.138
HeschlsGyrus,0.5,0.552,0.052
Hippocampus,0.603,0.741,0.138
InferiorFrontalGyrusparsopercularis,0.914,0.948,0.034
InferiorFrontalGyrusparstriangularis,0.81,0.862,0.052
InferiorTemporalGyrusanteriordivision,0.759,0.828,0.069
InferiorTemporalGyrusposteriordivision,0.655,0.672,0.017
InferiorTemporalGyrustemporooccipitalpart,0.534,0.655,0.121
InsularCortex,0.724,0.672,-0.052
IntracalcarineCortex,0.69,0.707,0.017
JuxtapositionalLobuleCortex,0.638,0.741,0.103
LateralOccipitalCortexinferiordivision,0.776,0.983,0.207
LateralOccipitalCortexsuperiordivision,0.534,0.828,0.293
LingualGyrus,0.621,0.638,0.017
MiddleFrontalGyrus,0.724,0.845,0.121
MiddleTemporalGyrusanteriordivision,0.655,0.724,0.069
MiddleTemporalGyrusposteriordivision,0.828,0.879,0.052
MiddleTemporalGyrustemporooccipitalpart,0.81,0.914,0.103
OccipitalFusiformGyrus,0.517,0.621,0.103
OccipitalPole,0.586,0.621,0.034
Pallidum,0.448,0.828,0.379
ParacingulateGyrus,0.517,0.586,0.069
ParahippocampalGyrusanteriordivision,0.724,0.914,0.19
ParahippocampalGyrusposteriordivision,0.586,0.621,0.034
ParietalOperculumCortex,0.586,0.776,0.19
PlanumPolare,0.552,0.724,0.172
PlanumTemporale,0.483,0.707,0.224
PostcentralGyrus,0.983,0.983,0.0
PrecentralGyrus,1.0,0.983,-0.017
PrecuneousCortex,0.707,0.793,0.086
SubcallosalCortex,0.5,0.569,0.069
SuperiorFrontalGyrus,0.724,0.759,0.034
SuperiorParietalLobule,0.69,0.69,0.0
SuperiorTemporalGyrusanteriordivision,0.707,0.776,0.069
SuperiorTemporalGyrusposteriordivision,0.931,0.914,-0.017
SupracalcarineCortex,0.638,0.776,0.138
SupramarginalGyrusanteriordivision,0.897,0.966,0.069
SupramarginalGyrusposteriordivision,0.81,0.914,0.103
TemporalFusiformCortexanteriordivision,0.707,0.552,-0.155
TemporalFusiformCortexposteriordivision,0.707,0.879,0.172
TemporalOccipitalFusiformCortex,0.586,0.569,-0.017
TemporalPole,0.914,0.948,0.034
Thalamus,0.586,0.707,0.121
