Region,Congruency_ASL,Congruency_FlowGAN,Congruency_Diff
Amygdala,0.493,0.62,0.127
Caudate,0.507,0.465,-0.042
Hippocampus,0.577,0.662,0.085
Pallidum,0.676,0.648,-0.028
Thalamus,0.535,0.451,-0.085
caudalanteriorcingulate,0.352,0.634,0.282
caudalmiddlefrontal,0.465,0.732,0.268
cuneus,0.676,0.831,0.155
entorhinal,0.451,0.761,0.31
fusiform,0.549,0.69,0.141
inferiorparietal,0.563,0.789,0.225
inferiortemporal,0.507,0.901,0.394
insula,0.634,0.718,0.085
isthmuscingulate,0.577,0.577,0.0
lateraloccipital,0.592,0.887,0.296
lateralorbitofrontal,0.465,0.732,0.268
lingual,0.535,0.704,0.169
medialorbitofrontal,0.437,0.746,0.31
middletemporal,0.577,0.944,0.366
paracentral,0.549,0.732,0.183
parahippocampal,0.592,0.775,0.183
parsopercularis,0.521,0.831,0.31
parsorbitalis,0.366,0.746,0.38
parstriangularis,0.563,0.831,0.268
pericalcarine,0.592,0.634,0.042
postcentral,0.521,0.887,0.366
posteriorcingulate,0.507,0.577,0.07
precentral,0.437,0.761,0.324
precuneus,0.62,0.775,0.155
rostralanteriorcingulate,0.535,0.451,-0.085
rostralmiddlefrontal,0.437,0.718,0.282
superiorfrontal,0.451,0.662,0.211
superiorparietal,0.592,0.789,0.197
superiortemporal,0.606,0.831,0.225
supramarginal,0.549,0.887,0.338
transversetemporal,0.507,0.761,0.254
