Region,Congruency_ASL,Congruency_FlowGAN,Congruency_Diff
Accumbens,0.535,0.69,0.155
Amygdala,0.563,0.732,0.169
AngularGyrus,0.704,0.901,0.197
Brain-Stem,0.437,0.563,0.127
Caudate,0.592,0.732,0.141
CentralOpercularCortex,0.676,0.761,0.085
CingulateGyrusanteriordivision,0.507,0.634,0.127
CingulateGyrusposteriordivision,0.606,0.662,0.056
CunealCortex,0.479,0.648,0.169
FrontalMedialCortex,0.648,0.507,-0.141
FrontalOperculumCortex,0.563,0.831,0.268
FrontalOrbitalCortex,0.577,0.845,0.268
FrontalPole,0.704,0.972,0.268
HeschlsGyrus,0.634,0.648,0.014
Hippocampus,0.592,0.634,0.042
InferiorFrontalGyrusparsopercularis,0.69,0.901,0.211
InferiorFrontalGyrusparstriangularis,0.62,0.761,0.141
InferiorTemporalGyrusanteriordivision,0.69,0.93,0.239
InferiorTemporalGyrusposteriordivision,0.507,0.634,0.127
InferiorTemporalGyrustemporooccipitalpart,0.577,0.845,0.268
InsularCortex,0.662,0.648,-0.014
IntracalcarineCortex,0.732,0.761,0.028
JuxtapositionalLobuleCortex,0.493,0.62,0.127
LateralOccipitalCortexinferiordivision,0.803,0.986,0.183
LateralOccipitalCortexsuperiordivision,0.69,0.859,0.169
LingualGyrus,0.634,0.746,0.113
MiddleFrontalGyrus,0.423,0.718,0.296
MiddleTemporalGyrusanteriordivision,0.592,0.704,0.113
MiddleTemporalGyrusposteriordivision,0.746,0.986,0.239
MiddleTemporalGyrustemporooccipitalpart,0.761,0.986,0.225
OccipitalFusiformGyrus,0.606,0.775,0.169
OccipitalPole,0.507,0.775,0.268
Pallidum,0.718,0.592,-0.127
ParacingulateGyrus,0.521,0.592,0.07
ParahippocampalGyrusanteriordivision,0.549,0.69,0.141
ParahippocampalGyrusposteriordivision,0.704,0.746,0.042
ParietalOperculumCortex,0.648,0.746,0.099
PlanumPolare,0.746,0.732,-0.014
PlanumTemporale,0.592,0.873,0.282
PostcentralGyrus,0.775,0.986,0.211
PrecentralGyrus,0.732,0.958,0.225
PrecuneousCortex,0.62,0.718,0.099
SubcallosalCortex,0.423,0.718,0.296
SuperiorFrontalGyrus,0.577,0.732,0.155
SuperiorParietalLobule,0.761,0.901,0.141
SuperiorTemporalGyrusanteriordivision,0.62,0.873,0.254
SuperiorTemporalGyrusposteriordivision,0.789,1.0,0.211
SupracalcarineCortex,0.577,0.606,0.028
SupramarginalGyrusanteriordivision,0.732,0.944,0.211
SupramarginalGyrusposteriordivision,0.775,0.986,0.211
TemporalFusiformCortexanteriordivision,0.451,0.69,0.239
TemporalFusiformCortexposteriordivision,0.662,0.831,0.169
TemporalOccipitalFusiformCortex,0.521,0.634,0.113
TemporalPole,0.718,0.972,0.254
Thalamus,0.606,0.62,0.014
