Region,Cohens_d_Real_FDG,Cohens_d_Synthetic_FDG,Cohens_d_ASL
Amygdala,-0.27,-0.641,0.122
CC_Anterior,-0.046,-0.1,-0.101
CC_Central,0.698,0.658,-0.113
CC_Mid_Anterior,0.284,0.39,-0.045
CC_Mid_Posterior,0.46,0.533,-0.087
CC_Posterior,0.499,0.602,-0.513
Caudate,0.228,0.018,-0.194
Hippocampus,-0.677,-0.82,0.119
Pallidum,0.584,0.747,0.139
Thalamus,0.479,0.171,-0.404
caudalanteriorcingulate,-0.155,-0.219,-0.431
caudalmiddlefrontal,-0.377,-0.543,-0.716
cuneus,0.27,0.112,-0.543
entorhinal,-0.018,-0.248,0.099
fusiform,0.409,-0.058,0.126
inferiorparietal,0.008,0.071,-0.506
inferiortemporal,0.094,0.001,0.121
insula,-0.045,-0.466,-0.591
isthmuscingulate,-0.236,0.01,-0.852
lateraloccipital,0.352,-0.072,-0.355
lateralorbitofrontal,-0.107,0.011,-0.179
lingual,0.524,0.111,-0.055
medialorbitofrontal,0.023,0.117,-0.148
middletemporal,-0.313,-0.571,-0.16
paracentral,0.554,0.312,-0.601
parahippocampal,-0.022,-0.223,0.123
parsopercularis,-0.657,-0.801,-0.541
parsorbitalis,-0.15,-0.289,-0.585
parstriangularis,-0.433,-0.575,-0.604
pericalcarine,0.477,0.215,-0.515
postcentral,-0.317,-0.78,-0.612
posteriorcingulate,0.135,0.073,-0.735
precentral,-0.25,-0.654,-0.554
precuneus,-0.143,0.128,-0.851
rostralanteriorcingulate,-0.375,-0.471,-0.221
rostralmiddlefrontal,-0.427,-0.699,-0.654
superiorfrontal,0.001,-0.259,-0.715
superiorparietal,0.081,0.138,-0.924
superiortemporal,-0.41,-0.838,-0.022
supramarginal,-0.238,-0.498,-0.583
transversetemporal,-0.436,-0.689,-0.547
