Region,Cohens_d_Real_FDG,Cohens_d_Synthetic_FDG,Cohens_d_ASL
Accumbens,-0.989,-0.879,-0.058
Amygdala,-0.646,-0.735,-0.448
AngularGyrus,-0.473,-0.227,-0.27
Brain-Stem,0.589,-0.423,-0.187
Caudate,-1.121,-1.015,-0.03
CentralOpercularCortex,-0.184,-0.503,0.168
CingulateGyrusanteriordivision,-0.29,-0.41,-0.022
CingulateGyrusposteriordivision,-0.144,0.052,-0.143
CunealCortex,-0.023,0.12,-0.192
FrontalMedialCortex,-0.57,-0.492,-0.294
FrontalOperculumCortex,-0.249,-0.18,0.07
FrontalOrbitalCortex,-0.492,-0.442,-0.31
FrontalPole,-0.283,-0.458,-0.583
HeschlsGyrus,-0.593,-0.614,0.006
Hippocampus,-1.111,-1.012,-0.597
InferiorFrontalGyrusparsopercularis,-0.289,-0.332,-0.23
InferiorFrontalGyrusparstriangularis,-0.313,-0.417,-0.48
InferiorTemporalGyrusanteriordivision,-0.254,-0.581,-0.214
InferiorTemporalGyrusposteriordivision,-0.355,-0.384,-0.152
InferiorTemporalGyrustemporooccipitalpart,-0.135,-0.172,-0.091
InsularCortex,-0.248,-0.364,-0.02
IntracalcarineCortex,0.241,0.098,-0.289
JuxtapositionalLobuleCortex,0.15,0.234,-0.31
LateralOccipitalCortexinferiordivision,0.117,-0.133,-0.137
LateralOccipitalCortexsuperiordivision,-0.284,-0.038,-0.465
LingualGyrus,0.473,0.355,-0.209
MiddleFrontalGyrus,-0.195,-0.245,-0.543
MiddleTemporalGyrusanteriordivision,-0.348,-0.743,-0.195
MiddleTemporalGyrusposteriordivision,-0.547,-0.706,-0.177
MiddleTemporalGyrustemporooccipitalpart,-0.372,-0.488,-0.187
OccipitalFusiformGyrus,0.354,0.029,-0.539
OccipitalPole,0.117,0.043,-0.359
Pallidum,0.297,0.392,-0.225
ParacingulateGyrus,-0.261,-0.33,-0.178
ParahippocampalGyrusanteriordivision,-0.403,-0.186,-0.542
ParahippocampalGyrusposteriordivision,-0.052,0.065,-0.332
ParietalOperculumCortex,-0.404,-0.607,0.135
PlanumPolare,-0.175,-0.664,-0.113
PlanumTemporale,-0.625,-0.72,-0.009
PostcentralGyrus,0.023,-0.098,-0.298
PrecentralGyrus,0.072,-0.108,-0.266
PrecuneousCortex,-0.208,0.119,-0.339
SubcallosalCortex,-0.482,-0.346,-0.239
SuperiorFrontalGyrus,-0.065,-0.103,-0.546
SuperiorParietalLobule,-0.161,-0.016,-0.646
SuperiorTemporalGyrusanteriordivision,-0.25,-0.847,-0.21
SuperiorTemporalGyrusposteriordivision,-0.473,-0.644,-0.199
SupracalcarineCortex,0.07,0.083,-0.322
SupramarginalGyrusanteriordivision,-0.332,-0.443,-0.372
SupramarginalGyrusposteriordivision,-0.418,-0.419,-0.459
TemporalFusiformCortexanteriordivision,-0.16,-0.374,-0.383
TemporalFusiformCortexposteriordivision,-0.187,-0.285,-0.345
TemporalOccipitalFusiformCortex,0.195,-0.184,-0.317
TemporalPole,-0.412,-0.613,-0.33
Thalamus,-0.841,-0.817,-0.473
