Region,Cohens_d_Real_FDG,Cohens_d_Synthetic_FDG,Cohens_d_ASL
Amygdala,-1.221,-0.523,-0.015
Caudate,-0.467,-0.182,0.077
Hippocampus,-1.738,-1.044,-1.339
Pallidum,-0.151,-0.179,0.256
Thalamus,-1.209,-0.566,0.066
caudalanteriorcingulate,-0.56,-0.403,-0.543
caudalmiddlefrontal,-0.181,0.069,-0.095
cuneus,0.034,0.167,-0.122
entorhinal,-0.975,-0.217,0.337
fusiform,-1.319,-0.322,-0.489
inferiorparietal,-0.579,-0.683,-1.007
inferiortemporal,-1.944,-1.089,-1.192
insula,-1.516,-0.637,-0.871
isthmuscingulate,-0.624,-0.312,-1.125
lateraloccipital,-0.692,0.023,-1.747
lateralorbitofrontal,-1.044,-0.518,-0.731
lingual,-0.351,0.106,-0.943
medialorbitofrontal,-0.841,-0.232,-0.179
middletemporal,-1.594,-0.618,-1.865
paracentral,-0.384,-0.669,-0.761
parahippocampal,-1.082,0.183,-0.232
parsopercularis,-1.143,-0.215,-0.73
parsorbitalis,-0.062,-0.093,-0.541
parstriangularis,-1.244,-0.923,-1.325
pericalcarine,0.244,-0.335,-1.087
postcentral,-0.637,-0.464,-0.541
posteriorcingulate,-0.489,0.304,-0.674
precentral,-0.93,-0.543,-0.884
precuneus,-0.341,0.071,-0.736
rostralanteriorcingulate,-0.528,-0.174,0.198
rostralmiddlefrontal,-0.546,-0.311,-0.724
superiorfrontal,-0.861,-0.274,-1.014
superiorparietal,-0.692,-0.92,-0.471
superiortemporal,-1.833,-1.054,-1.76
supramarginal,-1.128,-1.718,-0.993
transversetemporal,-1.065,-0.963,-1.329
