Region,Cohens_d_Real_FDG,Cohens_d_Synthetic_FDG,Cohens_d_ASL
Accumbens,-0.696,-0.673,-0.241
Amygdala,-1.035,-0.697,-0.239
AngularGyrus,-0.036,-0.502,-0.873
Brain-Stem,0.052,0.515,-0.088
Caudate,-0.808,0.03,0.415
CentralOpercularCortex,-1.361,-0.73,-1.007
CingulateGyrusanteriordivision,-0.312,0.136,-0.374
CingulateGyrusposteriordivision,-0.168,0.136,-0.202
CunealCortex,-0.118,-0.184,-0.329
FrontalMedialCortex,-1.283,-0.349,-0.378
FrontalOperculumCortex,-1.205,-0.538,-1.011
FrontalOrbitalCortex,-0.829,-0.541,-0.961
FrontalPole,-0.681,-0.586,-0.915
HeschlsGyrus,-0.82,-0.99,-1.185
Hippocampus,-1.366,-0.731,-1.176
InferiorFrontalGyrusparsopercularis,-0.479,-0.242,-0.764
InferiorFrontalGyrusparstriangularis,-1.089,-0.759,-0.901
InferiorTemporalGyrusanteriordivision,-1.623,-0.615,-2.088
InferiorTemporalGyrusposteriordivision,-2.042,-0.401,-0.143
InferiorTemporalGyrustemporooccipitalpart,-1.247,-0.479,-0.85
InsularCortex,-1.319,-0.837,-0.913
IntracalcarineCortex,-0.31,-0.343,-0.414
JuxtapositionalLobuleCortex,0.21,0.423,-0.021
LateralOccipitalCortexinferiordivision,-1.247,-0.875,-1.031
LateralOccipitalCortexsuperiordivision,-0.868,-1.148,-0.832
LingualGyrus,-0.537,-0.237,-0.379
MiddleFrontalGyrus,-0.431,-0.522,-0.616
MiddleTemporalGyrusanteriordivision,-1.549,-0.702,-1.076
MiddleTemporalGyrusposteriordivision,-1.902,-0.997,-1.846
MiddleTemporalGyrustemporooccipitalpart,-1.456,-0.901,-1.247
OccipitalFusiformGyrus,-0.138,-0.008,-0.733
OccipitalPole,-0.74,0.223,-1.091
Pallidum,-0.768,-0.836,0.115
ParacingulateGyrus,-0.97,-0.318,-0.658
ParahippocampalGyrusanteriordivision,-0.964,-0.456,-0.49
ParahippocampalGyrusposteriordivision,-1.596,-0.622,-0.763
ParietalOperculumCortex,-0.664,-0.724,-0.384
PlanumPolare,-1.088,-1.062,-1.184
PlanumTemporale,-1.128,-1.236,-1.232
PostcentralGyrus,-0.195,-0.811,-1.119
PrecentralGyrus,-0.538,-0.597,-0.887
PrecuneousCortex,-0.359,-0.129,-0.409
SubcallosalCortex,-0.668,0.329,0.768
SuperiorFrontalGyrus,-0.563,-0.291,-0.831
SuperiorParietalLobule,-0.433,-0.806,-0.731
SuperiorTemporalGyrusanteriordivision,-1.494,-0.982,-0.814
SuperiorTemporalGyrusposteriordivision,-1.289,-0.589,-0.958
SupracalcarineCortex,-0.162,-0.21,0.083
SupramarginalGyrusanteriordivision,-0.326,-0.535,-0.314
SupramarginalGyrusposteriordivision,-0.474,-1.026,-0.948
TemporalFusiformCortexanteriordivision,-1.42,-0.47,0.447
TemporalFusiformCortexposteriordivision,-1.805,-0.723,-0.978
TemporalOccipitalFusiformCortex,-1.907,-1.162,-0.161
TemporalPole,-1.191,-0.654,-0.926
Thalamus,-1.003,-0.789,-0.291
